arm,segment,scope,timeframe,width_bucket,guard_cut,n,open_share,mfe_r_pre_exit_median,cost_loss_r_median,reach_1r,breakeven_1r,ev_1r,reach_1_5r,breakeven_1_5r,ev_1_5r,reach_2r,breakeven_2r,ev_2r,reach_2_5r,breakeven_2_5r,ev_2_5r,reach_3r,breakeven_3r,ev_3r
zone_top,oos_warm,first,2h,0.00~0.30%,True,6,0.0,0.8575863550681417,0.4377378238795415,0.3333333333333333,0.6466685927305392,-0.697932625768778,0.16666666666666666,0.5318796017003002,-1.0408037029283588,0.16666666666666666,0.4516992684410234,-0.9574870362616922,0.16666666666666666,0.3925263087226835,-0.8741703695950255,0.0,0.34706103937711535,-1.4978833792358932
zone_top,oos_warm,first,2h,0.30~0.40%,False,18,0.0,1.4020994825603679,0.2995174220292771,0.6111111111111112,0.5950497174428907,0.03709697422793407,0.4444444444444444,0.4846217364453262,-0.10443626780821319,0.3333333333333333,0.4087642004502205,-0.23682657528928847,0.2777777777777778,0.3534403971021516,-0.2757486836685966,0.2222222222222222,0.3113068645296492,-0.3708169255189573
zone_top,oos_warm,first,2h,0.40~0.50%,False,17,0.058823529411764705,0.847046224246155,0.24290394994373088,0.47058823529411764,0.5775413048713046,-0.22982077582885935,0.4117647058823529,0.4688024253093039,-0.15014985182944543,0.4117647058823529,0.39452219455169213,0.05569132464114279,0.4117647058823529,0.3405613484025412,0.26153250111173104,0.29411764705882354,0.29958548787327954,-0.022820343010403817
zone_top,oos_warm,first,2h,0.50~0.75%,False,76,0.039473684210526314,1.0305283713526507,0.16965371293610146,0.5,0.5561600559792532,-0.11769382874781727,0.4342105263157895,0.4496256528052312,-0.03962412651627916,0.3815789473684211,0.37734407581040025,0.013637668939349873,0.35526315789473684,0.32508378257843723,0.10969945085866288,0.32894736842105265,0.28553815635406893,0.17915407562444355
zone_top,oos_warm,first,2h,0.75~1.00%,False,134,0.022388059701492536,1.0413090251491106,0.12348467721877401,0.5149253731343284,0.5410065255476771,-0.05388512781090477,0.3582089552238806,0.43612791902187237,-0.2005726339617821,0.30597014925373134,0.36530961690803904,-0.1820927711990181,0.26865671641791045,0.31427736587887733,-0.16299296194132382,0.23880597014925373,0.27575546197385453,-0.15049414057886784
zone_top,oos_warm,first,2h,1.00~1.50%,False,255,0.0196078431372549,0.925381678603342,0.08779856436553655,0.49019607843137253,0.5294090984354811,-0.07688793751663552,0.3764705882352941,0.42584959660751304,-0.12256265238089717,0.3176470588235294,0.35617667434887335,-0.11411320203473976,0.26666666666666666,0.30609646851073474,-0.13277557655932276,0.23137254901960785,0.2683632634945185,-0.1427807113630705
zone_top,oos_warm,first,2h,≥1.50%,False,775,0.016774193548387096,1.0306855660184264,0.04529025049653086,0.5096774193548387,0.5154014393680572,-0.011611130182601806,0.4154838709677419,0.4134947009094254,0.006423871566783521,0.3496774193548387,0.3452339879411334,0.016097737141718686,0.30193548387096775,0.2963172192263554,0.023910205684007126,0.26193548387096777,0.2595422527082633,0.013674027382149267
zone_top,oos_warm,first,4h,0.30~0.40%,False,1,0.0,0.0,0.31802312382926384,0.0,0.5985977600934381,-1.318023123829264,0.0,0.48784032480684986,-1.318023123829264,0.0,0.4116698201613795,-1.318023123829264,0.0,0.3560731962819205,-1.318023123829264,0.0,0.313706645420604,-1.318023123829264
zone_top,oos_warm,first,4h,0.40~0.50%,False,6,0.0,0.49198476175690137,0.257013355473928,0.3333333333333333,0.5804036093888447,-0.5309634455453294,0.16666666666666666,0.47138141345393064,-0.8096010530171217,0.16666666666666666,0.3968396187882703,-0.726284386350455,0.16666666666666666,0.34265409060600976,-0.6429677196837885,0.16666666666666666,0.30148810904597956,-0.5596510530171218
zone_top,oos_warm,first,4h,0.50~0.75%,False,18,0.1111111111111111,0.605038024383985,0.17771517959776287,0.4444444444444444,0.5569781813536864,-0.2345475325222918,0.4444444444444444,0.45035657952626107,-0.01236975474451401,0.3333333333333333,0.3779970924986634,-0.13734513531898138,0.2222222222222222,0.32567102589916197,-0.3729714608089673,0.2222222222222222,0.2860703596778952,-0.2618825719200784
zone_top,oos_warm,first,4h,0.75~1.00%,False,18,0.0,1.2076749311177235,0.11816999172992745,0.5555555555555556,0.5405704492691048,0.03111711663897607,0.3888888888888889,0.43574063108893396,-0.12026727080803284,0.3333333333333333,0.3649650001594721,-0.0974039781718412,0.3333333333333333,0.3139683588067812,0.06922935516149216,0.3333333333333333,0.27547603116821395,0.2358626884948255
zone_top,oos_warm,first,4h,1.00~1.50%,False,85,0.047058823529411764,0.9979687317893444,0.08302941744931529,0.49411764705882355,0.5289902985446798,-0.07190754875074094,0.4,0.42547926868758473,-0.06548380337639306,0.36470588235294116,0.3558481148748618,0.026716216447630486,0.32941176470588235,0.3058024812247166,0.08365234636233589,0.2823529411764706,0.2680978380753908,0.05775397574813306
zone_top,oos_warm,first,4h,≥1.50%,False,512,0.01953125,1.1738828766348335,0.038318470310637245,0.537109375,0.513445470996503,0.050328058360537005,0.447265625,0.4117746717431284,0.09199255277211088,0.390625,0.34371362050250215,0.14670564573981928,0.33984375,0.2949604551657187,0.1677518894156982,0.306640625,0.2583197600614052,0.206880707175912
zone_top,oos_warm,first_fill,all,0.00~0.30%,True,1986,0.0075528700906344415,1.0133936197795193,0.4807525004214883,0.5040281973816717,0.6598163679855262,-0.36862910105115615,0.3892245720040282,0.5440666122851032,-0.44474763916734056,0.3197381671701913,0.46286711744711273,-0.4824060996557367,0.270392749244713,0.4027573886681894,-0.5131859189123744,0.243202416918429,0.3564654016112928,-0.49579212403087103
zone_top,oos_warm,first_fill,all,0.30~0.40%,False,1523,0.0026263952724885093,1.0117084959359846,0.31131676182391277,0.504924491135916,0.5976970656130555,-0.20393554900484243,0.3860801050558109,0.48702285318183136,-0.2722358701825983,0.31910702560735393,0.4109315824279971,-0.2935146770369869,0.267892317793828,0.35540410589927374,-0.3234255857312776,0.23177938279711097,0.31309665625369854,-0.34115355568142525
zone_top,oos_warm,first_fill,all,0.40~0.50%,False,1528,0.003926701570680628,1.1106225897568374,0.2441305538813441,0.5281413612565445,0.5776138115639302,-0.10672667587217245,0.3992146596858639,0.46886772062419224,-0.18497285596755372,0.32918848167539266,0.3945808463477136,-0.20634944505714206,0.281413612565445,0.34061429980694546,-0.2163450135119963,0.24214659685863874,0.2996336191600004,-0.2388353174799948
zone_top,oos_warm,first_fill,all,0.50~0.75%,False,3211,0.006540018685767673,1.114077338989283,0.17770986589420285,0.5312986608533167,0.5579462310281595,-0.05590853282663315,0.42759265026471505,0.4512217426551555,-0.06136743523605766,0.3600124571784491,0.37877021406813816,-0.058039090341300954,0.3039551541575833,0.32636639187691996,-0.08069557060600205,0.26907505450015573,0.28670063065093565,-0.07223996841176847
zone_top,oos_warm,first_fill,all,0.75~1.00%,False,2084,0.008157389635316698,1.019119672495611,0.1272435118525797,0.5071976967370442,0.5417548308019247,-0.07135187252800627,0.40547024952015354,0.4367926517643624,-0.0803214975623295,0.33877159309021115,0.36590119874975613,-0.08307793373541805,0.28982725527831094,0.3148078763569866,-0.08900580348607257,0.2600767754318618,0.27623523450447396,-0.0654771678255029
