scope,arm,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
all,freeze,oos,XRP,24,8,1503,0.5508982035928144,19.340631891530936,0.1421288510763287,136.07815545588466,9,0.08882742681317277,0
all,band,full,,27,9,4557,0.597103357472021,2400987.081039459,0.15591428031410318,15399404.571553402,12,0.11359069619721221,0
all,band,is,,27,9,2959,0.6191280838120987,78274.08181756217,0.13830994666131038,565932.412722547,11,0.10790157069274135,0
all,band,oos_warm,,27,9,1598,0.5563204005006258,29.673721768001514,0.15591428031410345,190.32074360489054,12,0.1135906961972122,0
all,band,oos,,27,9,1525,0.5449180327868852,17.122410924195194,0.15591428031410334,109.81938851079296,8,0.08043451242237028,0
all,band,full,BNB,24,8,4101,0.5971714216044867,578753.1874057242,0.16185893716582392,3575664.078485784,11,0.10761808353674925,0
all,band,is,BNB,24,8,2652,0.6176470588235294,24046.620652267367,0.12455346594631579,193062.6375554397,11,0.10761808353674925,0
all,band,oos_warm,BNB,24,8,1449,0.559696342305038,23.06700420696945,0.16185893716582408,142.5130092343147,10,0.09621871062424449,0
all,band,oos,BNB,24,8,1378,0.548621190130624,13.956290238625893,0.161858937165824,86.22502089166517,8,0.08043451242237028,0
all,band,full,BTC,24,8,4057,0.5942814887848163,524572.393933044,0.15048918279421777,3485781.3976593646,11,0.10772322631319359,0
all,band,is,BTC,24,8,2621,0.6146508966043495,20727.300741807125,0.1402371716265463,147801.75970037558,10,0.1001082821323135,0
all,band,oos_warm,BTC,24,8,1436,0.5571030640668524,24.307110335148057,0.1504891827942179,161.52064808795004,11,0.10772322631319359,0
all,band,oos,BTC,24,8,1363,0.5451210564930301,13.999155454436055,0.15048918279421838,93.0243303505658,8,0.08043451242237029,0
all,band,full,DOGE,24,8,4075,0.5977914110429448,509039.0106019267,0.16053532923579555,3170884.645922682,11,0.1071603198130939,0
all,band,is,DOGE,24,8,2658,0.6173814898419865,20677.137173711337,0.1427946828623187,144803.27109692202,11,0.1071603198130939,0
all,band,oos_warm,DOGE,24,8,1417,0.5610444601270289,23.617305046659837,0.16053532923579603,147.115934910318,10,0.09966840886277312,0
