symbol,timeframe,segment,feature,remove_fraction,arm,seed,lens,threshold,num_candidates,num_trades,total_return,max_drawdown,win_rate,death_rate
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,default,-1,baseline,-0.2445328339317729,220.0,169.0,0.8870676692253524,0.0426168653073974,0.6568047337278107,0.0828402366863905
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,filter_bot3,-1,baseline,-0.2445328339317729,165.0,139.0,0.5734774927161755,0.0448538179475311,0.6187050359712231,0.1007194244604316
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,0,baseline,-0.2445328339317729,165.0,133.0,0.6896172206818297,0.0320753272215213,0.6691729323308271,0.0977443609022556
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,1,baseline,-0.2445328339317729,165.0,130.0,0.4895116213974242,0.0542556442650726,0.6230769230769231,0.0846153846153846
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,2,baseline,-0.2445328339317729,165.0,131.0,0.7598924890029455,0.0485875990365773,0.6793893129770993,0.0610687022900763
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,3,baseline,-0.2445328339317729,165.0,125.0,0.6093770608282881,0.0427066660618827,0.672,0.064
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,4,baseline,-0.2445328339317729,165.0,137.0,0.7111475357637366,0.0426168653073975,0.6715328467153284,0.0948905109489051
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,5,baseline,-0.2445328339317729,165.0,131.0,0.5219206792930948,0.0599385755684371,0.6335877862595419,0.0763358778625954
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,6,baseline,-0.2445328339317729,165.0,127.0,0.4635153131227111,0.0520505265722456,0.6220472440944882,0.0944881889763779
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,7,baseline,-0.2445328339317729,165.0,128.0,0.4220288506108409,0.0426168653073973,0.609375,0.0859375
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,8,baseline,-0.2445328339317729,165.0,129.0,0.4188009783771629,0.0570502397720878,0.6046511627906976,0.0930232558139534
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,9,baseline,-0.2445328339317729,165.0,126.0,0.6102403086142449,0.0470010938159061,0.6428571428571429,0.0873015873015873
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,10,baseline,-0.2445328339317729,165.0,131.0,0.6318721391119781,0.0503213418742005,0.6564885496183206,0.0687022900763358
BTC/USDT:USDT,1h,is,rsi_ema_slope,0.25,matched_random,11,baseline,-0.2445328339317729,165.0,126.0,0.4695712926263602,0.0460008164676597,0.626984126984127,0.0555555555555555
