symbol,timeframe,entry_ms,entry_utc,day,entry_price,stop_price,take_profit_price,is_reentry,take_profit_derived,net_r
TRX/USDT:USDT,1h,1763308440000,2025-11-16 15:54,2025-11-16,0.292078404,0.29087,0.29389101,False,False,1.2328221260455967
TRX/USDT:USDT,2h,1738536060000,2025-02-02 22:41,2025-02-02,0.221574306,0.22021,0.223620765,False,False,1.3200339032834232
TRX/USDT:USDT,2h,1738547760000,2025-02-03 01:56,2025-02-03,0.204530898,0.20202,0.20829724499999996,True,True,1.4090635937218496
TRX/USDT:USDT,4h,1763710440000,2025-11-21 07:34,2025-11-21,0.272884566,0.27013,0.277016415,False,False,1.3896972214799002
TRX/USDT:USDT,4h,1768921440000,2026-01-20 15:04,2026-01-20,0.298529694,0.29687,0.301019235,False,False,1.3008289199979255
XRP/USDT:USDT,15m,1727902500000,2024-10-02 20:55,2024-10-02,0.5645781658555898,0.5616,0.5690454146389746,False,False,1.2901585312684023
XRP/USDT:USDT,15m,1732378980000,2024-11-23 16:23,2024-11-23,1.42848564,1.4032,1.4664140999999995,False,False,1.4365182556114888
XRP/USDT:USDT,15m,1736778960000,2025-01-13 14:36,2025-01-13,2.3353669800000003,2.3241,2.3522674500000007,False,False,1.2706888937843177
XRP/USDT:USDT,15m,1748001600000,2025-05-23 12:00,2025-05-23,2.34016794,2.3291,2.3567698500000005,False,False,1.2661122937936309
XRP/USDT:USDT,15m,1762183800000,2025-11-03 15:30,2025-11-03,2.30005992,2.2881,2.3179997999999995,False,False,1.2871433752031831
XRP/USDT:USDT,15m,1762183860000,2025-11-03 15:31,2025-11-03,2.30005992,2.2881,2.3179997999999995,True,True,1.2871433752031831
XRP/USDT:USDT,1h,1755174900000,2025-08-14 12:35,2025-08-14,2.9823963599999996,2.963,3.011490899999999,False,False,1.3295443689527482
XRP/USDT:USDT,2h,1779522600000,2026-05-23 07:50,2026-05-23,1.30486092,1.294,1.3211522999999996,False,False,1.3665172910269057
XRP/USDT:USDT,4h,1768780920000,2026-01-19 00:02,2026-01-19,1.84746942,1.8106,1.90277355,False,False,1.4435410287362818
