symbol,timeframe,exit_ms,day,stop_price,quantity,notional,num_ticks,minute_volume,fill_price,filled_qty,first_price,slippage_bp,first_tick_bp,size_share_of_minute,slippage_bp_x10,slippage_bp_x100,short_fill_x10,short_fill_x100,tick_high_matches_bar,note
SOL/USDT:USDT,15m,1740358980000,2025-02-24,166.31,59.65394033365165,9921.046816889606,390,31397.0,166.31,59.65394033365165,166.31,0.0,0.0,0.0018999885445632272,0.27470831291010067,2.8514678765675567,False,False,True,
SOL/USDT:USDT,1h,1745804040000,2025-04-28,145.06,37.74245754728358,5474.920891808956,1307,105083.36000000006,145.06,37.74245754728358,145.06,0.0,0.0,0.0003591668323822493,0.5682174804347903,0.6577715615164539,False,False,True,
SOL/USDT:USDT,15m,1745968020000,2025-04-29,145.37,68.26371147282038,9923.495736803898,542,58971.58,145.37,68.26371147282038,145.37,0.0,0.0,0.0011575696542778806,0.257839698342077,2.191198173820249,False,False,True,
SOL/USDT:USDT,15m,1748622600000,2025-05-30,158.51,62.801510049748856,9954.66735798569,2461,225242.23999999973,158.51,62.801510049748856,158.51,0.0,0.0,0.0002788176411748921,0.14780514024723962,0.7599229314214951,False,False,True,
SOL/USDT:USDT,15m,1765815180000,2025-12-15,125.89,79.07308130275241,9954.510205203502,1259,108475.5,125.89,79.07308130275241,125.89,0.0,0.0,0.0007289487608054576,0.0,1.654724372353034,False,False,True,
SOL/USDT:USDT,1h,1783244280000,2026-07-05,80.03,93.1699017230114,7456.387234892602,312,42011.149999999994,80.03,93.1699017230114,80.03,0.0,0.0,0.0022177422356448565,0.7946328410314202,1.602168736752855,False,False,True,
TRX/USDT:USDT,15m,1730728260000,2024-11-04,0.16446,60617.07943965318,9969.08488464536,291,4837760.0,0.16443648611264744,60617.07943965318,0.16446,1.4297633073425349,0.0,0.012529988970030175,0.8591876276864967,5.15110648217437,False,True,True,
TRX/USDT:USDT,15m,1734676140000,2024-12-20,0.2488,40016.19384936883,9956.029029722964,212,1326336.0,0.24878775885885526,40016.19384936883,0.2488,0.49200728073677497,0.0,0.030170480066415168,1.0336245313391645,1.0336245313391645,True,True,True,
TRX/USDT:USDT,4h,1740467160000,2025-02-25,0.23218,42716.90738610836,9918.011556906638,802,5186622.0,0.23218,42716.90738610836,0.23218,0.0,0.0,0.008235978520530002,6.028167071397526,15.865705646871541,False,False,True,
TRX/USDT:USDT,15m,1747264920000,2025-05-14,0.27433,36289.34965807788,9955.257291700504,368,2890025.0,0.2743401287842473,36289.34965807788,0.27433,0.36921897886765453,0.0,0.012556759771309203,2.9944996305459015,6.274915487166616,False,True,True,
XRP/USDT:USDT,15m,1723179600000,2024-08-09,0.6,12100.745669629634,7260.44740177778,1510,13337811.300000004,0.6,12100.745669629634,0.6,0.0,0.0,0.0009072512271657067,0.3016274175426936,0.05386004294967902,False,False,True,
XRP/USDT:USDT,15m,1728813840000,2024-10-13,0.5331,18672.235188744657,9954.168579119776,131,656240.7000000002,0.5331,18672.235188744657,0.5331,0.0,0.0,0.028453333035797158,0.4510909327160782,1.3183167526305457,False,True,True,
XRP/USDT:USDT,15m,1731472200000,2024-11-13,0.664,4966.032338802602,3297.445472964928,831,7582438.799999995,0.664,4966.032338802602,0.664,0.0,0.0,0.0006549386641673395,0.0,0.5976914652763742,False,False,True,
XRP/USDT:USDT,15m,1749672180000,2025-06-11,2.2818,4358.706251599972,9945.695924900818,458,1895678.399999999,2.2818331956299986,4358.706251599972,2.2818,0.14548001577085945,0.0,0.002299285707744507,0.12897765152914162,2.7470565889697083,False,False,True,
XRP/USDT:USDT,15m,1755151380000,2025-08-14,3.2522,3061.4929799163565,9956.587469283975,1935,7133147.300000001,3.2522,3061.4929799163565,3.2522,0.0,0.0,0.0004291924519652575,0.5124207400811686,5.124227423861791,False,False,True,
XRP/USDT:USDT,1h,1760643540000,2025-10-16,2.3102,2470.9637054967225,5708.420352438528,2664,6661991.400000011,2.3102,2470.9637054967225,2.3102,0.0,0.0,0.0003709046675588201,0.24522961153442674,0.883711292446213,False,False,True,
XRP/USDT:USDT,1h,1765393380000,2025-12-10,2.0398,4872.192266796757,9938.297785812028,4830,12609714.600000009,2.0398,4872.192266796757,2.0398,0.0,0.0,0.00038638402385385897,1.1030523036309057,8.443336355411828,False,False,True,
