segment,threshold,scope,seed,is_actual,num_trades,mean_net_r,sum_net_r,win_rate,max_drawdown,blocked_candidates,trip_days
oos_warm,-15.0,both,16,False,870,-0.07330005395393586,-63.771046939924204,0.39080459770114945,0.7810916740148319,10,2
oos_warm,-15.0,both,17,False,872,-0.07275913125954084,-63.44596245831961,0.39105504587155965,0.7949124692640828,1,1
oos_warm,-15.0,both,18,False,871,-0.06868933126707888,-59.82840753362571,0.39265212399540755,0.7810916740148319,7,1
oos_warm,-15.0,both,19,False,873,-0.070968952394592,-61.95589544047881,0.3917525773195876,0.7810916740148319,1,1
oos_warm,-20.0,both,-1,True,846,-0.054860164945165484,-46.41169954361,0.3983451536643026,0.6379596535171931,27,1
oos_warm,-20.0,both,0,False,872,-0.07274653960294265,-63.43498253376599,0.39105504587155965,0.7948106273420147,2,1
oos_warm,-20.0,both,1,False,872,-0.07274638660131474,-63.434849116346456,0.39105504587155965,0.794809389857515,1,1
oos_warm,-20.0,both,2,False,873,-0.070968952394592,-61.95589544047881,0.3917525773195876,0.7810916740148319,0,0
oos_warm,-20.0,both,3,False,871,-0.07154245276988323,-62.313476362568295,0.39150401836969,0.7836909140211337,3,1
oos_warm,-20.0,both,4,False,872,-0.0727253115776002,-63.41647169566738,0.39105504587155965,0.7810916740148319,3,1
oos_warm,-20.0,both,5,False,872,-0.07273548948610058,-63.42534683187971,0.39105504587155965,0.7947212534673773,1,1
oos_warm,-20.0,both,6,False,873,-0.070968952394592,-61.95589544047881,0.3917525773195876,0.7810916740148319,0,0
oos_warm,-20.0,both,7,False,872,-0.06981774406760284,-60.881072826949676,0.3922018348623853,0.7711223886786752,1,1
oos_warm,-20.0,both,8,False,871,-0.06864471808118523,-59.789549448712336,0.39265212399540755,0.760998199001456,6,1
oos_warm,-20.0,both,9,False,862,-0.06715021878518233,-57.88348859282717,0.39327146171693733,0.7506439533468865,19,1
oos_warm,-20.0,both,10,False,873,-0.070968952394592,-61.95589544047881,0.3917525773195876,0.7810916740148319,0,0
oos_warm,-20.0,both,11,False,871,-0.07154245276988323,-62.313476362568295,0.39150401836969,0.7836909140211337,3,1
oos_warm,-20.0,both,12,False,873,-0.070968952394592,-61.95589544047881,0.3917525773195876,0.7810916740148319,2,1
oos_warm,-20.0,both,13,False,871,-0.07159534682895229,-62.359547088017436,0.39150401836969,0.7840270586194564,4,1
oos_warm,-20.0,both,14,False,871,-0.07154245276988323,-62.313476362568295,0.39150401836969,0.7836909140211337,3,1
oos_warm,-20.0,both,15,False,872,-0.07275500677547161,-63.442365908211244,0.39105504587155965,0.7948791102392496,3,1
oos_warm,-20.0,both,16,False,872,-0.07275338349397967,-63.440950406750275,0.39105504587155965,0.7948659810607407,1,1
oos_warm,-20.0,both,17,False,873,-0.070968952394592,-61.95589544047881,0.3917525773195876,0.7810916740148319,0,0
oos_warm,-20.0,both,18,False,871,-0.06876139799510068,-59.8911776537327,0.39265212399540755,0.7619408294981505,7,1
oos_warm,-20.0,both,19,False,870,-0.07346447096283225,-63.91408973766406,0.39080459770114945,0.7992544828788692,6,1
oos_warm,-30.0,both,-1,True,860,-0.0651619375401886,-56.0392662845622,0.3941860465116279,0.7262132563660975,13,1
oos_warm,-30.0,both,0,False,870,-0.06758796340717196,-58.801528164239606,0.3931034482758621,0.758231443487636,3,1
oos_warm,-30.0,both,1,False,872,-0.07273548948610058,-63.42534683187971,0.39105504587155965,0.7947212534673773,1,1
oos_warm,-30.0,both,2,False,871,-0.07159534682895229,-62.359547088017436,0.39150401836969,0.7840270586194564,4,1
oos_warm,-30.0,both,3,False,873,-0.070968952394592,-61.95589544047881,0.3917525773195876,0.7810916740148319,0,0
oos_warm,-30.0,both,4,False,846,-0.06400904791079697,-54.15165453253424,0.3947990543735225,0.7127999185644245,36,1
oos_warm,-30.0,both,5,False,873,-0.070968952394592,-61.95589544047881,0.3917525773195876,0.7810916740148319,0,0
oos_warm,-30.0,both,6,False,869,-0.07223317375460245,-62.770627992749525,0.3912543153049482,0.7810916740148319,8,1
oos_warm,-30.0,both,7,False,860,-0.07344572649239874,-63.16332478346291,0.39069767441860465,0.7922909244696887,18,1
oos_warm,-30.0,both,8,False,868,-0.06526864763624216,-56.653186148258186,0.39400921658986177,0.7328141320755194,8,1
oos_warm,-30.0,both,9,False,872,-0.0727518399214684,-63.43960441152045,0.39105504587155965,0.7948534965722884,1,1
oos_warm,-30.0,both,10,False,872,-0.06985369664412946,-60.91242347368089,0.3922018348623853,0.7810916740148319,7,1
oos_warm,-30.0,both,11,False,873,-0.070968952394592,-61.95589544047881,0.3917525773195876,0.7810916740148319,0,0
oos_warm,-30.0,both,12,False,870,-0.07612592536365684,-66.22955506638145,0.3896551724137931,0.7810916740148319,17,1
oos_warm,-30.0,both,13,False,872,-0.0695135401446649,-60.61580700614779,0.3922018348623853,0.7770826836588853,1,1
oos_warm,-30.0,both,14,False,869,-0.06638038973975116,-57.68455868384376,0.39355581127733025,0.7810916740148319,13,1
oos_warm,-30.0,both,15,False,872,-0.06986991032238783,-60.92656180112219,0.3922018348623853,0.77154431184764,2,1
oos_warm,-30.0,both,16,False,872,-0.07274627074863946,-63.43474809281361,0.39105504587155965,0.7810916740148319,2,1
oos_warm,-30.0,both,17,False,871,-0.0687217035212241,-59.8566037669862,0.39265212399540755,0.7661731134377098,5,1
oos_warm,-30.0,both,18,False,872,-0.07274653960294265,-63.43498253376599,0.39105504587155965,0.7948106273420147,2,1
oos_warm,-30.0,both,19,False,871,-0.0686510756361117,-59.79508687905329,0.39265212399540755,0.762159334050624,3,1
