symbol,timeframe,segment,tp_rule,guard,r_multiple,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data
ETH/USDT:USDT,1h,full,zone_height,0.003,2.0,692,527,252,0.7615606936416185,0.4729882639596397,0.1273755087442049,0.4087301587301587,10.874923658558062,0.3510497747773796,103,149,0
ETH/USDT:USDT,1h,full,zone_height,0.0,2.0,692,527,261,0.7615606936416185,0.4712247857924656,0.1334511612780954,0.4061302681992337,10.632303425027272,0.4058481050484016,106,155,0
ETH/USDT:USDT,1h,full,entry_r,0.003,3.0,692,527,227,0.7615606936416185,0.159936435954814,0.1950386012375171,0.3039647577092511,4.505732378265331,0.2158590308370043,69,158,0
ETH/USDT:USDT,1h,full,entry_r,0.0,3.0,692,527,234,0.7615606936416185,0.1819097563094062,0.1944381370644693,0.3162393162393162,4.902260625076811,0.2649572649572649,74,160,0
ETH/USDT:USDT,1h,full,zone_height,0.003,3.0,692,527,227,0.7615606936416185,0.1540512655315377,0.1949078245073763,0.2819383259911894,4.247259088959249,0.1901029648932037,64,163,0
ETH/USDT:USDT,1h,full,zone_height,0.0,3.0,692,527,233,0.7615606936416185,0.1578255288395565,0.1949078245073765,0.2832618025751073,4.265944111467815,0.2140743974726431,66,167,0
ETH/USDT:USDT,1h,is,entry_r,0.003,1.0,443,339,200,0.7652370203160271,0.3034639066086722,0.0646771040933673,0.645,14.72266993257822,0.29,129,71,0
ETH/USDT:USDT,1h,is,entry_r,0.0,1.0,443,339,211,0.7652370203160271,0.3177664788322999,0.0629490093697949,0.6635071090047393,14.907071923345862,0.3270142180094786,140,71,0
ETH/USDT:USDT,1h,is,zone_height,0.003,1.0,443,339,196,0.7652370203160271,0.2258771622283422,0.0847075447234664,0.5918367346938775,10.977581691364236,0.2495151093010141,116,80,0
ETH/USDT:USDT,1h,is,zone_height,0.0,1.0,443,339,204,0.7652370203160271,0.2187605367159685,0.0884119086578592,0.5833333333333334,10.422539235190198,0.2591052938232184,119,85,0
ETH/USDT:USDT,1h,is,entry_r,0.003,1.5,443,339,176,0.7652370203160271,0.2041532338870665,0.1162612747507517,0.5113636363636364,9.471975559696832,0.2784090909090909,90,86,0
ETH/USDT:USDT,1h,is,entry_r,0.0,1.5,443,339,185,0.7652370203160271,0.2282745994372517,0.111870879359168,0.5351351351351351,10.16960133299676,0.3378378378378376,99,86,0
ETH/USDT:USDT,1h,is,zone_height,0.003,1.5,443,339,171,0.7652370203160271,0.1896834996488192,0.1307955787793802,0.47953216374269,8.721863702284699,0.280860535205608,82,89,0
ETH/USDT:USDT,1h,is,zone_height,0.0,1.5,443,339,179,0.7652370203160271,0.1917018157713268,0.1276443382179154,0.4748603351955307,8.565900980743983,0.3153962530478531,85,94,0
ETH/USDT:USDT,1h,is,entry_r,0.003,2.0,443,339,159,0.7652370203160271,0.1701997781906489,0.1261139297505601,0.4339622641509434,7.781092029351793,0.3018867924528302,69,90,0
ETH/USDT:USDT,1h,is,entry_r,0.0,2.0,443,339,168,0.7652370203160271,0.1952654987145135,0.1219236607290969,0.4583333333333333,8.504254421906854,0.375,77,91,0
ETH/USDT:USDT,1h,is,zone_height,0.003,2.0,443,339,157,0.7652370203160271,0.1363201903624511,0.1273755087442049,0.4012738853503185,6.280449225531666,0.2890766093048755,63,94,0
ETH/USDT:USDT,1h,is,zone_height,0.0,2.0,443,339,165,0.7652370203160271,0.1266826727635562,0.1334511612780954,0.3939393939393939,5.7447908458781205,0.2940346695862258,65,100,0
ETH/USDT:USDT,1h,is,entry_r,0.003,3.0,443,339,144,0.7652370203160271,0.0733314404710072,0.1950386012375171,0.3055555555555556,3.607318113421061,0.2222222222222222,44,100,0
ETH/USDT:USDT,1h,is,entry_r,0.0,3.0,443,339,150,0.7652370203160271,0.0873884510530444,0.1944381370644693,0.32,4.048271843078503,0.28,48,102,0
ETH/USDT:USDT,1h,is,zone_height,0.003,3.0,443,339,146,0.7652370203160271,0.1152982601981533,0.1949078245073763,0.2945205479452055,4.955637817257204,0.2420705429366911,43,103,0
ETH/USDT:USDT,1h,is,zone_height,0.0,3.0,443,339,151,0.7652370203160271,0.1063117059221256,0.1949078245073765,0.2913907284768212,4.563960736316569,0.2424909649119663,44,107,0
ETH/USDT:USDT,1h,oos,entry_r,0.003,1.0,232,176,111,0.7586206896551724,0.2642863049704561,0.0351571322543318,0.6846846846846847,23.77871419830908,0.3693693693693695,76,35,0
ETH/USDT:USDT,1h,oos,entry_r,0.0,1.0,232,176,114,0.7586206896551724,0.2667041252960705,0.0351571322543314,0.6842105263157895,23.6431653814281,0.3859649122807019,79,35,0
ETH/USDT:USDT,1h,oos,zone_height,0.003,1.0,232,176,109,0.7586206896551724,0.2948121733321897,0.0319920938655106,0.6330275229357798,23.73210081981767,0.4310933324740422,69,40,0
ETH/USDT:USDT,1h,oos,zone_height,0.0,1.0,232,176,112,0.7586206896551724,0.3253675169102272,0.0319920938655107,0.6428571428571429,25.339393051037028,0.5823467730168727,72,40,0
ETH/USDT:USDT,1h,oos,entry_r,0.003,1.5,232,176,97,0.7586206896551724,0.3684743347071447,0.0425358515989968,0.5979381443298969,27.589232365625463,0.494845360824742,58,39,0
ETH/USDT:USDT,1h,oos,entry_r,0.0,1.5,232,176,99,0.7586206896551724,0.374074391431247,0.0425358515989966,0.6060606060606061,27.656908589418553,0.5151515151515158,60,39,0
ETH/USDT:USDT,1h,oos,zone_height,0.003,1.5,232,176,95,0.7586206896551724,0.3269130865470137,0.0723216756835027,0.5263157894736842,23.02467732536059,0.4887996976435091,50,45,0
ETH/USDT:USDT,1h,oos,zone_height,0.0,1.5,232,176,97,0.7586206896551724,0.3541672584965694,0.0581092176360247,0.5360824742268041,24.265095002653787,0.6058255399223532,52,45,0
ETH/USDT:USDT,1h,oos,entry_r,0.003,2.0,232,176,86,0.7586206896551724,0.2028035852264025,0.0897614944946905,0.4534883720930232,15.534172844261562,0.3604651162790701,39,47,0
ETH/USDT:USDT,1h,oos,entry_r,0.0,2.0,232,176,88,0.7586206896551724,0.210253028437065,0.0873250871289085,0.4659090909090909,15.851042666181538,0.397727272727273,41,47,0
ETH/USDT:USDT,1h,oos,zone_height,0.003,2.0,232,176,86,0.7586206896551724,0.1960626561256398,0.1107176361414295,0.3953488372093023,13.72465280603994,0.3891043533089345,34,52,0
ETH/USDT:USDT,1h,oos,zone_height,0.0,2.0,232,176,87,0.7586206896551724,0.2048494539867981,0.1106179656077321,0.4022988505747126,14.16682157921044,0.5493573992809163,35,52,0
ETH/USDT:USDT,1h,oos,entry_r,0.003,3.0,232,176,76,0.7586206896551724,0.0355611798299061,0.1331576541532952,0.2894736842105263,3.3535408013739563,0.157894736842105,22,54,0
