symbol,entry_tf,resistance_tf,segment,combine,n_setups,n_with_resistance,frac_no_resistance,dist_median,dist_q25,dist_q75,frac_below_near,frac_above_far,frac_within_mfe
SOL/USDT:USDT,15m,5m,oos,False,669,669,0.0,2.4700904327102307,1.3178326894525147,4.60283713714235,0.05530642750373692,0.4260089686098655,0.3602391629297459
SOL/USDT:USDT,15m,combined,is,False,1297,1297,0.0,1.622617854195834,0.9684799747509083,2.7883892085581516,0.06630686198920586,0.220508866615266,0.448727833461835
SOL/USDT:USDT,15m,combined,oos,False,669,669,0.0,1.5268757591077613,0.8487160355551749,2.679841706481346,0.10612855007473841,0.21973094170403587,0.4678624813153961
BNB/USDT:USDT,15m,15m,is,False,1184,1168,0.013513513513513514,3.2448280356167474,1.8704887659507707,6.086152900825534,0.008561643835616438,0.5376712328767124,0.2970890410958904
BNB/USDT:USDT,15m,15m,oos,False,587,577,0.017035775127768313,3.349264551019694,1.8564674724821906,6.597882531516189,0.01386481802426343,0.5528596187175043,0.268630849220104
BNB/USDT:USDT,15m,1m,is,False,1184,1182,0.0016891891891891893,1.6139111108534616,0.9953499695733848,2.7721330185252446,0.0583756345177665,0.2225042301184433,0.43993231810490696
BNB/USDT:USDT,15m,1m,oos,False,587,585,0.0034071550255536627,1.7642751995240722,0.968641870676898,3.0231941628442787,0.07521367521367521,0.2547008547008547,0.39316239316239315
BNB/USDT:USDT,15m,5m,is,False,1184,1178,0.005067567567567568,2.3329947304708347,1.4327844282030697,4.107546228305981,0.015280135823429542,0.3769100169779287,0.33446519524617996
BNB/USDT:USDT,15m,5m,oos,False,587,583,0.0068143100511073255,2.419630044306382,1.3209684095120462,4.1945999693515965,0.04288164665523156,0.38078902229845624,0.31732418524871353
BNB/USDT:USDT,15m,combined,is,False,1184,1182,0.0016891891891891893,1.5001502617061018,0.9202369386961469,2.5031023262992975,0.07106598984771574,0.19035532994923857,0.4517766497461929
BNB/USDT:USDT,15m,combined,oos,False,587,586,0.0017035775127768314,1.5860463302053183,0.8729719442640249,2.865231227761533,0.08703071672354949,0.23208191126279865,0.41467576791808874
XRP/USDT:USDT,15m,15m,is,False,1211,1205,0.00495458298926507,3.1191161677478303,1.7492522665846895,6.282378703072909,0.022406639004149378,0.5136929460580912,0.2556016597510373
XRP/USDT:USDT,15m,15m,oos,False,638,638,0.0,3.377229859456074,1.7709693890939426,6.478693387141248,0.018808777429467086,0.554858934169279,0.31347962382445144
XRP/USDT:USDT,15m,1m,is,False,1211,1211,0.0,1.5080988296736453,0.8732798670242259,2.6794541180575076,0.09413707679603633,0.21056977704376548,0.44838976052848883
XRP/USDT:USDT,15m,1m,oos,False,638,638,0.0,1.5389505140682946,0.9074139825599892,2.593585281681653,0.09717868338557993,0.20532915360501566,0.4670846394984326
