symbol,timeframe,segment,lens,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,real_zones,fake_zones,pool_k,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold,real_mean_net_r,random_mean_net_r,real_taps,real_invalidation_taps,fake_taps,fake_invalidation_taps
LINK/USDT:USDT,4h,oos_warm,baseline,False,-0.0972855096066918,64,64,0,335,373,1492,4,-0.1287670947846375,-0.2286780405688631,-0.0239813603853681,0.275,200,0,-0.1834135295782621,-0.1608118775214639,-0.2829690058724067,1075,120,4165,477
LINK/USDT:USDT,4h,oos_warm,pen_5bp,False,-0.0746347879694982,64,64,0,334,373,1492,4,-0.1264651643068373,-0.2325048676818573,-0.0117160370114424,0.2,200,0,-0.1834135295782621,-0.1220318555090664,-0.2809533966199876,1075,120,4165,477
LTC/USDT:USDT,4h,is,baseline,False,-0.1474032042659964,135,135,0,873,238,952,4,-0.015398900231318,-0.2099517826982918,0.1610849360297483,0.94,200,0,0.2315131976627038,-0.0895419103039285,-0.0163701376476367,641,77,2670,331
LTC/USDT:USDT,4h,is,pen_5bp,False,-0.1465105216948595,135,135,0,870,238,952,4,-0.0425521970430963,-0.1959385056194624,0.1249074400757692,0.895,200,0,0.2315131976627038,-0.0887813089161326,-0.042672475854319,641,77,2670,331
LTC/USDT:USDT,4h,oos_warm,baseline,False,-0.1461219763792429,66,66,0,385,356,1424,4,-0.033219422509915,-0.1606765225918056,0.1188747673767678,0.965,200,0,-0.2288819364399802,-0.2683753598520392,-0.0647301275698255,1027,117,4229,498
LTC/USDT:USDT,4h,oos_warm,pen_5bp,False,-0.1497065297941573,64,64,0,377,356,1424,4,-0.0621073312696659,-0.1736160982864035,0.0694438713612517,0.94,200,0,-0.2288819364399802,-0.2832601919961974,-0.1307239296564827,1027,117,4229,498
ADA/USDT:USDT,4h,is,baseline,False,-0.0619859011407639,122,122,0,866,248,992,4,-0.0694080469773956,-0.2208403583868105,0.082660767257971,0.465,200,0,2.6104830421377185,-0.0472093610689131,-0.0996570101604524,713,76,2595,310
ADA/USDT:USDT,4h,is,pen_5bp,False,-0.0829308319509291,122,122,0,863,248,992,4,-0.073801589157646,-0.2132042549628257,0.1123603771624853,0.495,200,0,2.6104830421377185,-0.0695645235238802,-0.1091279640278163,713,76,2595,310
ADA/USDT:USDT,4h,oos_warm,baseline,False,-0.1143535901770659,60,60,0,351,365,1460,4,-0.1155496260624898,-0.2287103045624046,-0.0086732575492629,0.5,200,0,-0.5062571103526735,-0.2155387487445259,-0.2650951075421771,1077,113,4006,495
ADA/USDT:USDT,4h,oos_warm,pen_5bp,False,-0.1140468425402396,60,60,0,349,365,1460,4,-0.1131648248800782,-0.2216501485972926,-0.0046753039987803,0.44,200,0,-0.5062571103526735,-0.2159785503880599,-0.2618469098950275,1077,113,4006,495
