arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades,exclude
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,804,0.39925373134328357,-0.05218458618157979,-41.95640728999015,-0.3309573020683277,0.6234449852561159,-0.5308524567446282,7,0.13740638373992603,0,True,0,218,0.0,0,0.0,-0.0008777481185223475,0.051306838063057525,0.019240590306164686,0.012964003370197121,0.005267591698106685,0.015378981772144102,5.794236666924454e-06,-0.0015501233202219944,2.842170943040401e-14,0.021861439824999968,81,0,61,LTC/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,577,0.38128249566724437,-0.10175185225878007,-58.7108187533161,-0.49561330901164985,0.6390770062352836,-0.7755142246960831,7,0.15649299563998617,0,True,36,218,0.1651376146788991,351,0.43656716417910446,-0.045417174154752035,0.05633467810402819,0.021623408992717977,0.014183652369488214,0.005525205337569136,0.01728200405886302,8.073771716130434e-06,-0.0022876664263263846,2.842170943040401e-14,0.02022873391330053,35,0,42,LTC/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,704,0.4034090909090909,-0.04304297883661777,-30.30225710097891,-0.2183641427608579,0.5156053922292677,-0.42351019995493117,7,0.10844115717298705,0,True,4,218,0.01834862385321101,110,0.13681592039800994,0.009650980841914862,0.05269395967853263,0.019831631348566338,0.013348020533635924,0.005417298190376891,0.015850755144667387,6.617281648021677e-06,-0.0017603628203619653,2.842170943040401e-14,0.02167964562855281,46,0,55,LTC/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,795,0.3886792452830189,-0.08027661780331954,-63.81991115363904,-0.5242599545044203,0.7423379960919219,-0.7062281026492176,7,0.1867487620321144,0,True,0,225,0.0,0,0.0,-0.027302779229298066,0.05297383857402162,0.019901621884777232,0.013165079685272526,0.00519897037551486,0.015907477027270717,5.8598317990028435e-06,-0.0012051702306127413,2.842170943040401e-14,0.021085369079962023,75,0,61,SOL/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,585,0.4017094017094017,-0.05138795961082656,-30.061956372333537,-0.1943299464464444,0.4298217374657621,-0.4521175396856795,7,0.0778751248214803,0,True,28,225,0.12444444444444444,350,0.44025157232704404,0.0056312658336890534,0.057019225444515625,0.02154840912102372,0.014303677080150339,0.005685439684906627,0.017222144572009716,7.963361162747454e-06,-0.001748408374737612,2.842170943040401e-14,0.01980216650026059,35,0,43,SOL/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,693,0.3997113997113997,-0.05413136952478839,-37.513039080678354,-0.2640131246328285,0.5090423588220517,-0.518646670669544,7,0.102463309060287,0,True,4,225,0.017777777777777778,112,0.14088050314465408,0.0004246616344994166,0.054556031159287796,0.020503970755175894,0.013614655458663184,0.005413152088918803,0.016388252697975846,6.722317864656941e-06,-0.0013707221593106157,2.842170943040401e-14,0.020636124347457447,41,0,55,SOL/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,796,0.38819095477386933,-0.07826800547748844,-62.30133236008079,-0.5306168214221311,0.8343117660725023,-0.6359934535263645,8,0.34140131393509504,0,True,0,210,0.0,0,0.0,-0.028524760662427002,0.04974324481506162,0.01804823850658582,0.011939704671708351,0.004714704316940742,0.01442551903966636,5.852470201265403e-06,0.0006092258099590215,2.842170943040401e-14,0.022712030429464555,74,0,61,TRX/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,563,0.3872113676731794,-0.08573402078214092,-48.26825370034533,-0.391381332122868,0.549677601378254,-0.7120197933143425,8,0.12997173531396972,0,True,32,210,0.1523809523809524,369,0.4635678391959799,-0.030560762854870124,0.055173257927270916,0.02010907472568747,0.0131962443891376,0.00514650234629078,0.016070941610199223,8.274540462179858e-06,0.0006422203154935705,2.842170943040401e-14,0.021758881775099406,31,0,41,TRX/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,693,0.40115440115440115,-0.046920574268731245,-32.51595796823075,-0.236460958895398,0.5568252667474529,-0.42465917589663627,8,0.14022628261753015,0,True,3,210,0.014285714285714285,111,0.13944723618090452,0.004032165242003017,0.050952739510734375,0.01835085824456447,0.012288790098640777,0.0049492532338625906,0.014666623934490693,6.722317864656941e-06,0.000690491681311117,2.842170943040401e-14,0.022225452627806376,42,0,55,TRX/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,812,0.39532019704433496,-0.061553399577382505,-49.981360456834594,-0.406435058045236,0.7167157046536182,-0.5670798831478964,7,0.20435307111058462,0,True,0,223,0.0,0,0.0,-0.010721317102576308,0.05083208247480637,0.019105745874406742,0.012834425557997933,0.005189982944813855,0.015271217250585997,5.737150591388252e-06,-0.001575026303589551,2.842170943040401e-14,0.021840217614122494,80,0,62,XRP/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,576,0.390625,-0.07732325154826537,-44.538192891800854,-0.36077937387460396,0.58861029404038,-0.6129341901211358,7,0.13621822176845796,0,True,34,223,0.15246636771300448,377,0.4642857142857143,-0.022058523415437337,0.05526472813282813,0.021096664375883502,0.014072344454071857,0.005629266999034436,0.016860805046277374,8.087788680915383e-06,-0.0024024405311200213,2.842170943040401e-14,0.0200206035612808,32,0,42,XRP/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,705,0.4014184397163121,-0.04750559110389375,-33.49144172824509,-0.245484213341982,0.5674584837852138,-0.4326029486853159,7,0.13792108506298872,0,True,4,223,0.017937219730941704,117,0.1440886699507389,0.004672752500295136,0.052178343604188916,0.0196642123880435,0.013229757942081956,0.005365007537363726,0.015716896330048434,6.6078954329181e-06,-0.0018041384887816393,2.842170943040401e-14,0.021646878190215667,42,0,56,XRP/USDT:USDT
