hold,floor,threshold,segment,num_trades,mean_net_r,se_net_r,fixed_return,fixed_mdd,compound_return,compound_mdd,compound_ruined
4,0.04,20.0,is,1333,0.10281525517504889,0.04146576165227904,1.3705273514833993,0.423759490669639,2.4093935587575155,0.4360571656502715,False
4,0.04,20.0,oos_warm,478,0.1057314597914558,0.0544107716189303,0.5053963778031585,0.34151196423857644,0.6028089940874237,0.3991868556540977,False
8,0.04,20.0,full,1811,0.10002453932368956,0.03402065344620862,1.8114444071520261,0.41449353870767336,4.083686832914017,0.5090206587914392,False
8,0.04,20.0,is,1333,0.0947875597869279,0.040423919706429036,1.263518171959754,0.41449353870767336,2.0720868304787707,0.5090206587914392,False
8,0.04,20.0,oos_warm,478,0.11270642406400282,0.0623437846221389,0.5387367070259335,0.43437803494884086,0.6401564682905829,0.412627188922141,False
12,0.04,20.0,full,1811,0.09038358915742997,0.03708077649602062,1.636846799641067,0.438441747687663,3.125392947094193,0.6229810236034314,False
12,0.04,20.0,is,1333,0.0755841787753585,0.04376617423806893,1.0075371030755327,0.438441747687663,1.3218994319107185,0.6229810236034314,False
12,0.04,20.0,oos_warm,478,0.1305980140752823,0.06927774339857402,0.6242585072798497,0.4530858333567983,0.7686855277966078,0.4218428152390765,False
16,0.04,20.0,full,1811,0.09168657077631344,0.041596352266578464,1.660443796759047,0.4634398705125542,3.0022771655373193,0.673596334285536,False
16,0.04,20.0,is,1333,0.0761294134023598,0.04913169280752382,1.0148050806534559,0.4634398705125542,1.2455672856043778,0.673596334285536,False
16,0.04,20.0,oos_warm,478,0.11174091504746957,0.07505011291872705,0.5341215739269027,0.4421489723478359,0.6019921359189404,0.4249138176687126,False
24,0.04,20.0,full,1811,0.09369499435263925,0.045354838513143064,1.6968163477263039,0.5149858944216925,2.9460020816769448,0.7313023544941595,False
24,0.04,20.0,is,1333,0.08979363349623505,0.053785716188737946,1.196949134504814,0.5149858944216925,1.5877955362828349,0.7313023544941595,False
24,0.04,20.0,oos_warm,478,0.06686078592608506,0.0772914352251215,0.3195945567266867,0.513297545623191,0.2878551443293038,0.45090050651848235,False
4,0.04,25.0,full,2710,0.11993938495773666,0.027239221393050028,3.2503573323546666,0.5920010218404552,18.85704641083336,0.6212500927572563,False
4,0.04,25.0,is,2031,0.10556972836865906,0.03227065308937996,2.1441211831674702,0.5920010218404552,5.9552614400840875,0.6212500927572563,False
4,0.04,25.0,oos_warm,679,0.1645918014627884,0.05007088909794505,1.1175783319323336,0.3282745248277211,1.8871509036227332,0.44843929842417063,False
8,0.04,25.0,full,2709,0.11728426517086596,0.028617229109745422,3.1772307434787583,0.4832550035691866,16.883305026053627,0.6364034387952473,False
8,0.04,25.0,is,2030,0.10712434330892856,0.033393408218690024,2.174624169171251,0.4832550035691866,6.035537442652042,0.6364034387952473,False
8,0.04,25.0,oos_warm,679,0.14623267190756667,0.05529957086851299,0.9929198422523757,0.4350576781874562,1.5181165271105188,0.4673936178181556,False
12,0.04,25.0,full,2709,0.11378494482653795,0.031786551968393924,3.082434155350917,0.4598704124658707,14.225518984201019,0.6599906559568396,False
12,0.04,25.0,is,2030,0.09904802897164604,0.03681274835872585,2.0106749881244177,0.4598704124658707,4.700494629367324,0.6599906559568396,False
12,0.04,25.0,oos_warm,679,0.15734205865782966,0.06284317339134964,1.068352578286662,0.4550624484784387,1.6631710365271535,0.4791637049373271,False
16,0.04,25.0,full,2709,0.12176961913096623,0.0348603059922776,3.2987389822578717,0.45047416840582466,16.610685693131185,0.7494428286167911,False
16,0.04,25.0,is,2030,0.09797736566084862,0.040140851166258186,1.9889405229152253,0.45047416840582466,4.309672660252392,0.7494428286167911,False
16,0.04,25.0,oos_warm,679,0.17406132832064106,0.06867194932730736,1.1818764192971574,0.4343172909794497,1.9333281134964917,0.4809159444747415,False
24,0.04,25.0,full,2709,0.12117256497293714,0.0375570655728319,3.282564785116861,0.5357637120733691,15.184765393596138,0.8204946024171367,False
24,0.04,25.0,is,2030,0.10563606263396857,0.043357008101121856,2.1444120714695636,0.5357637120733691,4.882403226403671,0.8204946024171367,False
24,0.04,25.0,oos_warm,679,0.13812053502337399,0.07153011371163075,0.9378384328087139,0.5186643232837866,1.2783559584107218,0.5351747313731359,False
