arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades
기준,0.005,0.8,oos,False,48,12,13180,0.5749620637329287,-0.03930725636474704,0.012679304162735897,-4.034330012888498,3.9214204914143176,-1.0287930156231366,16,289.3381512027882,289.3381512027882,0.5745068285280729,0.13968693040458532,9046,37148,85798,0,471
기준,0.006,0.8,full,False,48,12,43150,0.5780764774044033,-0.019442242583250738,0.022705484842468985,-7.057952355573692,3.1511330899837033,-2.239814109409829,22,85.4863165775516,85.4863165775516,0.41279258400927,0.03272303062164316,21280,46350,76596,0,2178
기준,0.006,0.8,is,False,48,12,31457,0.5794258829513304,-0.015359333742699061,0.02569775199266696,-3.89642262945874,1.8481127995231008,-2.108325114389229,22,85.4863165775516,85.4863165775516,0.3846838541501097,0.03272303062164316,9587,46350,76596,0,1819
기준,0.006,0.8,oos_warm,False,48,12,11693,0.5744462498930984,-0.030426255530932225,0.014655562004576315,-3.161529726114896,3.469118704811344,-0.9113351243156221,16,77.01946984292779,77.01946984292779,0.4884118703497819,0.07027184650222913,6671,46350,76596,0,359
기준,0.006,0.8,oos,False,48,12,11367,0.572974399577725,-0.033629738306951526,0.011817172399269474,-3.4004247552120432,3.564061941672233,-0.9540868848133958,16,44.05250119999862,44.05250119999862,0.4932699920823436,0.05817412071005431,6564,46350,76596,0,359
기준,0.008,0.8,full,False,48,12,34458,0.5736258633698996,-0.016438672872030553,0.017929155281163952,-5.311528099628165,2.6416799772695634,-2.010662966495341,22,6470.193240306309,6470.193240306309,0.24125021765627722,0.10938191677826517,17837,61355,61591,0,1625
기준,0.008,0.8,is,False,48,12,25653,0.5758390831481698,-0.011580993452947065,0.022258082115935968,-2.7279718295019375,1.5283982900775301,-1.7848566353496491,22,6470.193240306309,6470.193240306309,0.2243012513156356,0.10938191677826517,9032,61355,61591,0,1361
기준,0.008,0.8,oos_warm,False,48,12,8805,0.5671777399204997,-0.030591319111411837,0.005317007627302437,-2.5835562701262234,2.7898870711059804,-0.9260433143991157,16,86.64670002265434,86.64670002265434,0.2906303236797274,0.09107249810953932,4573,61355,61591,0,264
기준,0.008,0.8,oos,False,48,12,8522,0.5658296174606899,-0.03352463417962378,0.002720066159883049,-2.7929422812006592,2.8450555468016225,-0.9816828653276917,16,112.77468438177166,112.77468438177166,0.2939450833137761,0.07251519851050997,4515,61355,61591,0,265
기준,0.003,1.0,full,False,48,12,56585,0.5207210391446496,-0.05555003610509637,0.010355929360006172,-18.68938300709383,7.5731292762721605,-2.4678547434348825,21,3.4660387817037375,3.4660387817037375,0.6014491473005213,0.008588247082485123,42780,17803,105143,0,3478
