symbol,timeframe,segment,arm,fill,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,mean_net_r,net_r_win,net_r_loss,hold_bars_median,n_take_profit,n_stop_loss,n_end_of_data
SOL/USDT:USDT,4h,is,fixed_1.5r,baseline,72,44,38,0.6111111111111112,0.1839623396345101,0.02110188125852,0.6052631578947368,17.311087806082032,0.5131578947368423,0.4642962999286322,1.4441864796772304,-1.0382019756858851,1.5979166666666669,23,15,0
SOL/USDT:USDT,4h,is,ob_extend,baseline,72,44,38,0.6111111111111112,0.1852289816811589,0.0211018812585202,0.6052631578947368,17.39562490365289,0.5167368476759128,0.4678720325258481,1.4500942117943698,-1.0382019756858851,1.5979166666666669,23,15,0
SOL/USDT:USDT,4h,is,fixed_1.5r,pen_5bp,72,43,37,0.5972222222222222,0.1674289009064736,0.0211501361560286,0.5945945945945946,16.22995252107246,0.4864864864864865,0.4385717514977123,1.445684585277415,-1.0385270713791848,1.6083333333333334,22,15,0
SOL/USDT:USDT,4h,is,ob_extend,pen_5bp,72,43,37,0.5972222222222222,0.1680751625199178,0.0211501361560286,0.5945945945945946,16.279162876702987,0.4887466749212089,0.4408299062148814,1.4494823909381085,-1.0385270713791848,1.6083333333333334,22,15,0
SOL/USDT:USDT,4h,oos_warm,fixed_1.5r,baseline,54,44,38,0.8148148148148148,0.1288034100167548,0.0412724490098483,0.5526315789473685,12.251722167284656,0.3815789473684208,0.3339827123331221,1.4470780425655794,-1.0410174014834428,2.05,21,17,0
SOL/USDT:USDT,4h,oos_warm,ob_extend,baseline,54,44,38,0.8148148148148148,0.1307078789504859,0.0412724490098483,0.5526315789473685,12.388850326588411,0.386969700672593,0.3395717815657653,1.4571915964151243,-1.0410174014834428,2.05,21,17,0
SOL/USDT:USDT,4h,oos_warm,fixed_1.5r,pen_5bp,54,44,38,0.8148148148148148,0.1010017936455593,0.0509585827243625,0.5263157894736842,9.750746261706096,0.3157894736842103,0.2682248260597218,1.4466089112157192,-1.0410908241136088,2.05,20,18,0
SOL/USDT:USDT,4h,oos_warm,ob_extend,pen_5bp,54,44,38,0.8148148148148148,0.1028593568787793,0.0509585827243625,0.5263157894736842,9.891790138422682,0.3211802269883825,0.273813895292365,1.4572281427577414,-1.0410908241136088,2.05,20,18,0
SOL/USDT:USDT,4h,oos,fixed_1.5r,baseline,47,37,32,0.7872340425531915,0.0870083192687559,0.0412724490098482,0.53125,10.02308711985432,0.3281249999999998,0.2770452877385556,1.4426690172860637,-1.0439949390819536,2.1645833333333333,17,15,0
SOL/USDT:USDT,4h,oos,ob_extend,baseline,47,37,32,0.7872340425531915,0.0888422733092778,0.0412724490098482,0.53125,10.189651232894064,0.3345265195487044,0.2836823074523195,1.4551622308649137,-1.0439949390819536,2.1645833333333333,17,15,0
SOL/USDT:USDT,4h,oos,fixed_1.5r,pen_5bp,47,37,32,0.7872340425531915,0.0602360859317223,0.0509585827243625,0.5,7.101678889349299,0.2499999999999998,0.1989577977888927,1.4418070390187687,-1.0438914434409834,2.0541666666666667,16,16,0
SOL/USDT:USDT,4h,oos,ob_extend,pen_5bp,47,37,32,0.7872340425531915,0.0620248710028516,0.0509585827243625,0.5,7.275324390110148,0.2564015195487044,0.2055948175026565,1.4550810784462964,-1.0438914434409834,2.0541666666666667,16,16,0
BNB/USDT:USDT,4h,full,fixed_1.5r,baseline,107,71,61,0.6635514018691588,0.3620290124854666,0.0365578064770352,0.6229508196721312,19.996060101150057,0.5573770491803276,0.5069544284327343,1.4487394497818973,-1.049038215535448,1.7833333333333334,38,23,0
