칸(종목),칸(TF),진입시각(UTC),청산시각(UTC),청산사유,진입가,손절가,tp,tp_derived,재진입,bar_open,bar_high,bar_low,bar_close,bar_span,fill_position,entry_bar_mae_r,entry_bar_mfe_r,can_stop,can_tp,bar_range_pct,range_over_r,recorded_same_tp,recorded_same_sl
SOL/USDT:USDT,15m,2024-08-14 16:44,2024-08-14 16:54,익절,143.89814760491038,143.108,145.08336901227594,False,False,144.368,144.383,143.715,144.248,0.6680000000000064,0.2741730612430725,0.23178910341840323,0.613622558717531,False,False,0.46421723359085937,0.8454116621359343,False,False
ADA/USDT:USDT,15m,2024-08-14 18:45,2024-08-14 20:01,익절,0.332209345280711,0.3302,0.3352233632017775,False,False,0.3326,0.333,0.3322,0.3329,0.0008000000000000229,0.011681600888754582,0.004650908333532956,0.3934887283330649,False,False,0.24081200946470582,0.39813963666659785,False,False
SOL/USDT:USDT,15m,2024-08-14 21:58,2024-08-14 22:02,손절,143.70732434422598,143.108,144.60631086056495,False,False,143.8,143.801,143.521,143.738,0.28000000000000114,0.6654440865214055,0.310890665498714,0.15630210365472186,False,False,0.19484045178470494,0.4671927691534359,False,False
XRP/USDT:USDT,15m,2024-08-14 22:03,2024-08-14 23:20,익절,0.565113,0.5622,0.5694824999999999,False,False,0.5669,0.567,0.5647,0.5654,0.0022999999999999687,0.17956521739130535,0.1417782354960538,0.6477857878475828,False,False,0.4069982463684199,0.7895640233436366,False,False
ADA/USDT:USDT,15m,2024-08-14 22:03,2024-08-14 23:25,익절,0.3325108797384105,0.3302,0.3359771993460262,True,True,0.3333,0.3333,0.3319,0.3322,0.0014000000000000123,0.43634267029321616,0.2643494285992982,0.34148045373070424,False,False,0.4210388547591002,0.6058298823300025,False,False
BTC/USDT:USDT,1h,2024-08-14 14:11,2024-08-15 01:58,손절,58953.68838,58360.0,59844.22095,False,False,59175.0,59178.7,58809.4,58887.3,369.29999999999563,0.39070777145951757,0.2430372310807199,0.37900627261729064,False,False,0.6264239102727294,0.6220435036980105,False,False
BTC/USDT:USDT,15m,2024-08-14 18:45,2024-08-15 01:58,손절,58770.34322935649,58360.0,59385.858073391224,False,False,58888.7,58900.0,58749.9,58862.0,150.09999999999854,0.13619739744496875,0.04981982860677174,0.31597151206037793,False,False,0.2554009246027711,0.36579134066714963,False,False
ADA/USDT:USDT,1h,2024-08-14 14:00,2024-08-15 02:35,익절,0.3340668,0.3302,0.339867,False,False,0.3346,0.3346,0.3336,0.3339,0.0010000000000000009,0.46679999999998906,0.12071997517326705,0.13789179683459474,False,False,0.2993413293389229,0.2586117720078618,False,False
XRP/USDT:USDT,15m,2024-08-15 05:57,2024-08-15 06:22,손절,0.565113,0.5622,0.5694824999999999,True,True,0.5658,0.5658,0.5651,0.5654,0.0006999999999999229,0.018571428571330238,0.004462753175396494,0.2358393408856871,False,False,0.12386903150342018,0.2403020940610836,False,False
LINK/USDT:USDT,15m,2024-08-15 17:58,2024-08-15 18:00,손절,10.337067,10.263,10.448167500000004,False,False,10.383,10.383,10.333,10.346,0.049999999999998934,0.08133999999998483,0.05490974388052959,0.6201547247762178,False,False,0.4836961973836383,0.6750644686567474,False,False
XRP/USDT:USDT,1h,2024-08-14 14:02,2024-08-15 18:01,손절,0.5661132,0.5596,0.5758829999999999,False,False,0.5665,0.567,0.565,0.5669,0.0020000000000000018,0.5566000000000177,0.17091445065406205,0.1361542713259175,False,False,0.35328623321272173,0.30706872197997953,False,False
BTC/USDT:USDT,15m,2024-08-15 18:03,2024-08-15 18:18,손절,58045.70682,57679.6,58594.86705,False,False,58199.7,58259.2,58000.0,58259.2,259.1999999999971,0.17633804012345655,0.12484558468481771,0.5831445041094759,False,False,0.4465446528263967,0.7079900887942936,False,False
BNB/USDT:USDT,15m,2024-08-15 19:00,2024-08-15 19:18,손절,517.1334059999999,514.06,521.7435149999999,False,False,518.91,518.92,517.12,517.6,1.7999999999999545,0.007447777777732463,0.004361935910816271,0.5813075135533834,False,False,0.3480726596107687,0.5856694494641996,False,False
BTC/USDT:USDT,15m,2024-08-15 19:28,2024-08-15 19:36,손절,56929.3836,56636.9,57368.109,False,False,57113.2,57114.1,56915.0,56986.6,199.09999999999854,0.07224309392265761,0.049177458154922346,0.6315444695018723,False,False,0.3497315224751503,0.6807219276567945,False,False
LTC/USDT:USDT,15m,2024-08-15 19:29,2024-08-15 20:35,익절,63.902778,63.56,64.416945,False,False,63.99,64.02,63.87,64.02,0.14999999999999858,0.21852000000000485,0.09562457333901488,0.34197643956146445,False,False,0.23473157927500204,0.43760101290047937,False,False
BCH/USDT:USDT,2h,2024-08-15 18:03,2024-08-15 20:55,손절,331.47457982339597,327.11,338.0214495584899,False,False,333.42,333.87,331.38,333.26,2.490000000000009,0.03798386481766047,0.021669857631881968,0.5488317944750579,False,False,0.7511888245930167,0.5705016521069398,False,False
SOL/USDT:USDT,15m,2024-08-16 11:52,2024-08-16 12:12,손절,142.1844312,141.517,143.18557800000002,False,False,142.556,142.556,142.07,142.123,0.4860000000000184,0.23545514403293907,0.1714501809325231,0.5567147595137898,False,False,0.3418095749993888,0.7281649404463129,False,False
ETH/USDT:USDT,15m,2024-08-16 13:53,2024-08-16 13:59,익절,2566.5132,2551.0,2589.782999999999,False,False,2584.88,2588.48,2566.0,2566.0,22.480000000000018,0.022829181494656108,0.03308150478301537,1.4160070133821734,False,False,0.8758965276313412,1.449088518165189,False,False
ETH/USDT:USDT,15m,2024-08-16 15:27,2024-08-16 15:35,손절,2562.418316376737,2551.0,2579.545790941843,False,False,2565.78,2568.24,2558.13,2564.69,10.109999999999673,0.4241658137227565,0.375564683552969,0.5098548184497214,False,False,0.39454916222637787,0.8854195020026904,False,False
BNB/USDT:USDT,4h,2024-08-15 19:20,2024-08-17 14:10,익절,511.80234,498.53,531.7108499999999,False,False,513.24,513.4,511.79,512.34,1.6099999999999568,0.007664596273288832,0.0009297531558108554,0.12037515615181324,False,False,0.31457456798653105,0.1213049093076241,False,False
SOL/USDT:USDT,15m,2024-08-18 04:31,2024-08-18 04:54,익절,140.47546676612876,140.03,141.1436669153219,False,False,140.597,140.764,140.462,140.723,0.3020000000000209,0.044591940823745846,0.03023068644559597,0.6477098984929653,False,False,0.21498415841024188,0.6779405849385612,False,False
ETH/USDT:USDT,15m,2024-08-18 04:27,2024-08-18 08:35,익절,2599.1125062889987,2591.2,2610.981265722497,False,False,2600.45,2600.68,2598.77,2599.8,1.9099999999998545,0.1793226643972494,0.043286700381511514,0.19810331312854584,False,False,0.07348662265978413,0.24139001351005737,False,False
DOT/USDT:USDT,15m,2024-08-18 09:39,2024-08-18 09:50,익절,4.35091776332019,4.336,4.373294408300475,False,False,4.353,4.353,4.35,4.351,0.0030000000000001137,0.30592110673013695,0.061521509658779686,0.13958102398578454,False,False,0.06895096996066435,0.2011025336445642,False,False
ETH/USDT:USDT,4h,2024-08-15 18:02,2024-08-18 12:46,익절,2577.76545,2506.13,2685.2186249999995,False,False,2588.96,2592.58,2553.88,2567.38,38.69999999999982,0.6171950904392733,0.33343058499667194,0.2068047314562846,False,False,1.5013002831580282,0.5402353164529565,False,False
DOGE/USDT:USDT,15m,2024-08-18 17:25,2024-08-18 21:25,손절,0.1020904139999999,0.1017,0.1026760349999999,False,False,0.1024,0.10242,0.10204,0.10226,0.00037999999999999146,0.13266842105233878,0.12912959063942692,0.8441961609988189,False,False,0.3722190802360659,0.9733257516382458,False,False
BCH/USDT:USDT,1h,2024-08-18 18:02,2024-08-18 21:56,손절,337.81755,335.4,341.443875,False,False,338.07,338.14,337.74,338.14,0.39999999999997726,0.19387499999994554,0.03207793013587046,0.13337883394345626,False,False,0.11840711058379806,0.16545676407932672,False,False
DOGE/USDT:USDT,15m,2024-08-18 21:56,2024-08-18 22:03,익절,0.100990194,0.10067,0.101470485,False,False,0.10126,0.10126,0.10088,0.10099,0.00038000000000000533,0.2899842105263325,0.3441476105111418,0.8426329038020364,False,False,0.37627415588488256,1.1867805143131782,False,False
LTC/USDT:USDT,15m,2024-08-18 21:56,2024-08-18 23:34,익절,66.073212,65.84,66.42302999999998,False,False,66.3,66.31,66.03,66.1,0.28000000000000114,0.1543285714285598,0.1852906368454364,1.0153336878034134,False,False,0.42377234513739265,1.2006243246488497,False,False
DOGE/USDT:USDT,1h,2024-08-18 23:25,2024-08-19 00:00,손절,0.100560108,0.09984,0.1016402699999999,False,False,0.10059,0.10064,0.10055,0.10059,8.999999999999286e-05,0.11231111111106211,0.014036783371376,0.11094446944069278,False,False,0.08949871056223693,0.12498125281206879,False,False
LINK/USDT:USDT,15m,2024-08-18 23:49,2024-08-19 00:03,손절,10.1040204,10.049,10.186551,False,False,10.122,10.126,10.098,10.098,0.027999999999998693,0.21501428571425346,0.10942123285179328,0.39948091980428796,False,False,0.27711741357923914,0.5089021526560812,False,False
ETH/USDT:USDT,15m,2024-08-19 00:03,2024-08-19 00:14,익절,2605.8510659999997,2597.51,2618.3626649999987,False,False,2612.43,2612.62,2605.36,2606.68,7.2599999999997635,0.06763994490352719,0.058873290296422645,0.8115190552383326,False,False,0.278603796461166,0.8703923455347552,False,False
LTC/USDT:USDT,15m,2024-08-19 00:06,2024-08-19 00:14,익절,66.073212,65.84,66.42302999999998,False,False,66.09,66.2,66.06,66.14,0.14000000000000057,0.09437142857139806,0.056652316347340984,0.5436598459770839,False,False,0.21188617256869632,0.6003121623244249,False,False
DOT/USDT:USDT,15m,2024-08-19 00:11,2024-08-19 00:14,익절,4.3568712,4.341,4.380677999999999,False,False,4.363,4.364,4.353,4.359,0.01100000000000012,0.35192727272725544,0.24391350370482348,0.44916578456578765,False,False,0.25247475757374055,0.6930792882706112,False,False
ETH/USDT:USDT,15m,2024-08-19 00:21,2024-08-19 00:47,익절,2605.8510659999997,2597.51,2618.3626649999987,True,True,2616.22,2616.23,2601.8,2604.71,14.429999999999836,0.2807391545391256,0.4856772503658141,1.2443174529491698,False,False,0.5537538268505111,1.729994703314984,False,False
LTC/USDT:USDT,15m,2024-08-19 00:32,2024-08-19 00:48,익절,66.0450522247338,65.84,66.35263056183447,False,False,66.07,66.09,66.03,66.08,0.060000000000002274,0.2508704122298771,0.0734067857753543,0.21920159766402209,False,False,0.09084707783383711,0.2926083834393764,False,False
DOT/USDT:USDT,15m,2024-08-19 00:21,2024-08-19 00:59,손절,4.3568712,4.341,4.380677999999999,True,True,4.368,4.368,4.345,4.354,0.023000000000000576,0.5161391304347636,0.7479711679016264,0.7011946166642171,False,False,0.5279017658360105,1.4491657845658437,False,False
LTC/USDT:USDT,15m,2024-08-19 04:08,2024-08-19 04:52,익절,66.04453812738845,65.84,66.35134531847112,False,False,66.06,66.09,66.04,66.04,0.04999999999999716,0.09076254776886633,0.022187195347811772,0.2222660058152179,False,False,0.07570648749720353,0.24445320116302968,False,False
LTC/USDT:USDT,1h,2024-08-18 21:14,2024-08-19 09:26,익절,66.3214190314647,65.84,67.04354757866174,False,False,66.37,66.38,66.32,66.33,0.060000000000002274,0.023650524411777056,0.002947601511284952,0.12168394829981181,False,False,0.09046851059012569,0.12463154981109677,False,False
SOL/USDT:USDT,15m,2024-08-19 09:55,2024-08-19 10:00,손절,141.113217,140.462,142.09004249999998,False,False,141.269,141.269,140.914,141.237,0.3550000000000182,0.5611746478873076,0.3059149254396056,0.23921826365099982,False,False,0.2515710487983689,0.5451331890906054,False,False
DOT/USDT:USDT,15m,2024-08-19 10:05,2024-08-19 10:21,익절,4.3568712,4.341,4.380677999999999,False,False,4.365,4.369,4.355,4.369,0.013999999999999346,0.13365714285709085,0.11789908765558074,0.7642018246887825,False,False,0.32133150963928764,0.8821009123443633,False,False
SOL/USDT:USDT,15m,2024-08-19 10:00,2024-08-19 10:28,익절,140.6361216,140.03,141.545304,False,False,140.883,140.89,140.252,140.854,0.6379999999999768,0.6020714733542321,0.6337368607223197,0.41885720621075545,False,False,0.4536530108634458,1.0525940669330751,False,False
ADA/USDT:USDT,15m,2024-08-19 10:04,2024-08-19 11:08,익절,0.32846568,0.327,0.3306642000000001,False,False,0.3286,0.3288,0.3282,0.3283,0.0005999999999999894,0.44279999999999176,0.1812673980677883,0.22809890289831755,False,False,0.18266748599122729,0.4093663009661059,False,False
LTC/USDT:USDT,15m,2024-08-19 13:52,2024-08-19 14:27,손절,66.193236,65.93,66.58809,False,False,66.27,66.27,66.11,66.26,0.1599999999999966,0.5202250000000075,0.31620295096416123,0.2916166481788186,False,False,0.24171654034257609,0.6078195991429798,False,False
BCH/USDT:USDT,15m,2024-08-19 16:38,2024-08-19 16:56,익절,331.3171144480623,329.97,333.33778612015567,False,False,332.05,332.18,331.18,331.42,1.0,0.13711444806227746,0.10178381522038335,0.640543610217329,False,False,0.30182563966425024,0.7423274254377122,False,False
ADA/USDT:USDT,1h,2024-08-19 08:02,2024-08-19 17:32,익절,0.32996598,0.327,0.33441495,False,False,0.3302,0.3304,0.3299,0.3304,0.0005000000000000004,0.1319599999999309,0.022245598419397963,0.1463327466807052,False,False,0.15153077296029138,0.16857834510010317,False,False
BCH/USDT:USDT,15m,2024-08-20 08:18,2024-08-20 11:23,손절,342.54840846106356,341.36,344.3310211526589,False,False,343.08,343.08,342.09,342.5,0.9900000000000091,0.46303884955917163,0.38573308427418923,0.4473138288334689,False,False,0.289010246594837,0.8330469131076581,False,False
ADA/USDT:USDT,15m,2024-08-20 14:12,2024-08-20 14:19,손절,0.34236846,0.3408,0.34472115,False,False,0.3434,0.3435,0.342,0.3422,0.0015000000000000013,0.24563999999997269,0.23491832753143901,0.7214337630542357,False,False,0.43812446975986086,0.9563520905856747,False,False
XRP/USDT:USDT,15m,2024-08-20 14:41,2024-08-20 14:46,손절,0.5962192199999999,0.5937,0.5999980499999998,False,False,0.5975,0.598,0.5962,0.5965,0.0018000000000000238,0.01067777777777012,0.007629345591090488,0.706877525583349,False,False,0.3019023774510362,0.7145068711744396,False,False
ETH/USDT:USDT,15m,2024-08-20 14:36,2024-08-20 14:51,손절,2598.929682,2588.69,2614.289205,False,False,2601.12,2603.0,2596.32,2602.18,6.679999999999836,0.39067095808381097,0.254859672399965,0.39750433656045975,False,False,0.25702888563184434,0.6523640089604248,False,False
SOL/USDT:USDT,15m,2024-08-20 14:21,2024-08-20 14:57,손절,143.383671,142.5,144.70917749999998,False,False,143.49,143.82,143.334,143.715,0.48599999999999,0.10220370370368392,0.05620983375033217,0.49376860845269827,False,False,0.3389507303101411,0.5499784422030304,False,False
DOT/USDT:USDT,15m,2024-08-20 15:05,2024-08-20 15:16,익절,4.4648928,4.449,4.488732000000001,False,False,4.48,4.481,4.458,4.468,0.022999999999999687,0.2996869565217494,0.43370582905466204,1.0134903855833493,False,False,0.5151299489206032,1.4471962146380113,False,False
BCH/USDT:USDT,15m,2024-08-20 15:05,2024-08-20 15:36,익절,331.76633999999996,329.97,334.4608499999998,False,False,332.84,332.93,331.52,332.17,1.410000000000025,0.17470921985813528,0.13713439549304962,0.6477949608649228,False,False,0.4249979066592546,0.7849293563579725,False,False
LTC/USDT:USDT,15m,2024-08-20 15:42,2024-08-20 15:49,손절,63.902778,63.56,64.416945,False,False,64.13,64.15,63.74,63.77,0.4100000000000037,0.3970195121951083,0.4748787845194206,0.7212306507419117,False,False,0.6415996500183508,1.1961094352613324,False,False
LINK/USDT:USDT,15m,2024-08-20 15:05,2024-08-20 17:55,익절,10.0610118,9.989,10.169029499999995,False,False,10.092,10.094,10.034,10.062,0.05999999999999872,0.4501966666666527,0.3751024137710645,0.4580943678674997,False,False,0.5963614911971252,0.8331967816385643,False,False
