threshold_atr,lens,barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate,guard,threshold_fraction,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,17,70.0,56.0,0.2161699247979544,0.0620843851728873,0.5714285714285714,0.003,0.3333333333333333,0.3684355999341299,1.4352727297496224,-1.0540139064865268,0.0419272699788485,0.4167709079915395,0.1546576634370319,1.7388059448093047,0.0714285714285714,0.0097212656851209,0.0142857142857142
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,18,70.0,53.0,0.0876632562502552,0.0773022204214674,0.490566037735849,0.003,0.3333333333333333,0.1667412907062318,1.4331791885752112,-1.052791499834267,0.0434987493970556,0.4173994997588222,0.0731665379770268,1.299928388402031,0.0566037735849056,0.0097924091234381,0.0142857142857142
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,19,70.0,51.0,0.0091882559231755,0.0812480115984587,0.4313725490196078,0.003,0.3333333333333333,0.0304739729231354,1.4429474237768514,-1.041057610483132,0.0403364697794231,0.4161345879117692,0.0152379611078386,1.0291293987023988,0.0392156862745098,0.0098553709644321,0.0142857142857142
1.6,baseline,zone,ETH/USDT:USDT,4h,is,matched_random,-1,70.0,54.4,0.1056633401676546,0.0807926704424844,0.496087706486574,0.003,0.3333333333333333,0.1876701260030666,1.4412450001940464,-1.0467886263294237,0.0410826194970369,0.4164330477988147,0.0796546586877593,1.3571258058649662,0.0505135196394699,0.0098157662826906,0.0192857142857142
1.6,baseline,atr,ETH/USDT:USDT,4h,is,default,-1,142.0,94.0,-0.0307609613587286,0.1468746827742093,0.4042553191489361,0.003,0.3333333333333333,-0.0292849055321767,1.4608972383284218,-1.0404799317232971,0.038253107230213,0.4153012428920852,-0.011045923743149,0.9498603375631524,0.0106382978723404,0.0099693383666897,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,filter_bot3,-1,70.0,51.0,0.0215803609976806,0.0816625509435742,0.4313725490196078,0.003,0.3333333333333333,0.0495041570130337,1.46925357575657,-1.0275471261717175,0.0277934506552945,0.4111173802621178,0.02025516875749,1.068729198242245,0.0,0.01,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,0,70.0,59.0,-0.0635054734400335,0.129529040323887,0.3728813559322034,0.003,0.3333333333333333,-0.1072691835824477,1.459067330685726,-1.0386044082824428,0.0393261101592544,0.4157304440637017,-0.0428490881314983,0.8335574438122262,0.0169491525423728,0.0099706035231303,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,1,70.0,59.0,0.0113418061694927,0.115990466581827,0.423728813559322,0.003,0.3333333333333333,0.0210756733362238,1.4648950471377886,-1.040556219164927,0.0358433313815976,0.414337332552639,0.0093914810066829,1.030277880624636,0.0169491525423728,0.0099511492621836,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,2,70.0,53.0,-0.1002512356851073,0.1894283709033382,0.3396226415094339,0.003,0.3333333333333333,-0.1958639323088379,1.4616216764365173,-1.048285102520735,0.0421470204717714,0.4168588081887085,-0.0772361666792745,0.7281945923216429,0.0188679245283018,0.0099672756200884,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,3,70.0,54.0,-0.1066787161280146,0.1762907233641538,0.3333333333333333,0.003,0.3333333333333333,-0.2079744138810174,1.4573632106998164,-1.0406432261714342,0.0397924568324255,0.4159169827329702,-0.0825836493996368,0.7065709309583712,0.0185185185185185,0.0099466260457191,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,4,70.0,59.0,0.0900331504448373,0.0534145873159634,0.4745762711864407,0.003,0.3333333333333333,0.1482934521189517,1.460912762816322,-1.0372981833496406,0.0381090650280637,0.4152436260112255,0.0593326451752151,1.2604536518184553,0.0169491525423728,0.0099511492621836,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,5,70.0,56.0,-0.0782499916432076,0.1196361122444768,0.3571428571428571,0.003,0.3333333333333333,-0.1478205995251794,1.4579519349240708,-1.0399164519969852,0.0376330422016516,0.4150532168806607,-0.0579103597378035,0.7885695179167233,0.0357142857142857,0.0099175609702414,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,6,70.0,54.0,0.0631495099546151,0.0765209141992902,0.4629629629629629,0.003,0.3333333333333333,0.1150572743790077,1.4631780958129643,-1.0471158475468172,0.0367452967360155,0.4146981186944062,0.0482648442685567,1.192205206348745,0.0185185185185185,0.0099466260457191,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,7,70.0,55.0,-0.0209573848994528,0.1149071618928547,0.4,0.003,0.3333333333333333,-0.0371023051987486,1.4645213293997523,-1.038184728264416,0.0330848511241396,0.4132339404496559,-0.0132339404496558,0.9409260456320232,0.0181818181818181,0.0099475964812515,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,8,70.0,59.0,0.0322789603165465,0.075900962503046,0.4406779661016949,0.003,0.3333333333333333,0.061553300935673,1.460582233093329,-1.0407119183400555,0.0339281270221811,0.4135712508088724,0.0271067152928224,1.0904601388070276,0.0,0.01,0.0
