arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades,exclude
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,44,11,6376,0.4189146800501882,-0.0773979465081931,-493.48930693623913,-2.896845695912721,3.3324832634256567,-0.8692753922295418,14,2.3321266979387127,4432,False,392,706,0.5552407932011332,18778,1.3262236033618193,0.04704217941722291,0.12444012592541616,0.044504975571215855,0.03126571629648884,0.013473134503884016,0.035556717266133575,2.9461200614698625e-05,-0.0003898789129210138,2.842170943040401e-14,0.0068841191039783894,382,0,306,BTC/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,44,11,10026,0.4168162776780371,-0.08104405013126276,-812.5476466160404,-4.279358387149203,4.226042187307624,-1.0126161068627537,15,374.3675103030637,7358,False,165,706,0.23371104815864022,8329,0.5882477576100007,0.04188347536535708,0.12292752549662042,0.04414748683921803,0.030718790018039375,0.01306817197742334,0.03528160479682136,1.8725679821452293e-05,-0.0003072538147037064,2.842170943040401e-14,0.0070106830547662004,661,0,488,BTC/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,44,11,13722,0.4025652237283195,-0.11519993898367421,-1580.7735627339775,-9.47674154467485,8.49083562825963,-1.1161141211041559,16,100.15123073810003,11219,False,0,708,0.0,0,0.0,0.006479407534995014,0.12167934651866942,0.04413094847730634,0.029995068173113242,0.012343984663695759,0.03528224213991102,4.864262547132164e-06,-7.776119790399662e-05,2.842170943040401e-14,0.007192613713185173,1434,0,695,DOGE/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,44,11,6288,0.4142811704834606,-0.09180558701570832,-577.2735311547739,-3.386715456806081,3.4551621184088477,-0.9801900289314681,13,55.94028644697262,4632,False,385,708,0.5437853107344632,18203,1.3265558956420347,0.03584771472570017,0.12765330174140826,0.04568905630614609,0.03190348110615942,0.013635028126644168,0.036522354376172114,1.0615046226422957e-05,-0.00010723321994005917,2.842170943040401e-14,0.0067049763672036005,353,0,314,DOGE/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,44,11,9699,0.41715640787710073,-0.08212093014109328,-796.4909014384638,-4.107500800705083,3.839459932432234,-1.0698121280049533,14,210.70508593669334,7073,False,167,708,0.23587570621468926,8253,0.6014429383471797,0.042984888152923104,0.1251058182940168,0.04488071582747775,0.031178918407983314,0.013235229054620844,0.03587973848982462,6.881885830678168e-06,-7.566537172083563e-05,2.842170943040401e-14,0.006866083436179978,621,0,476,DOGE/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,44,11,13755,0.400945110868775,-0.11967707743824867,-1646.1582001631105,-9.988390475727707,8.740381870978773,-1.1427865078633204,16,81.14821599255887,11079,False,0,708,0.0,0,0.0,0.0022530131867299166,0.12193009062497866,0.04427493943072365,0.029958762597659342,0.012249237428005261,0.035388564103835785,1.3677464974878494e-05,4.49095997794012e-05,2.842170943040401e-14,0.007198210128284195,1457,0,686,DOT/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,44,11,6332,0.4169298799747315,-0.08555189539217307,-541.7146016232399,-3.059543790764366,3.2520142574563744,-0.9408149991191759,13,24.156600783754442,4588,False,387,708,0.5466101694915254,18390,1.3369683751363142,0.042078480095422116,0.12763037548759515,0.045710309057850125,0.03190789207815631,0.013632184151033365,0.036520297201132444,2.9665921528635255e-05,-0.0001699729221056555,2.842170943040401e-14,0.006695749872697946,390,0,314,DOT/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,44,11,9811,0.4164713077158292,-0.0848393510526648,-832.3588731776944,-4.217732573327932,3.9375907485292414,-1.0711454904000188,15,2.1643511244354765,7246,False,164,708,0.23163841807909605,8131,0.591130498000727,0.04101760513842307,0.12585695619108833,0.04518157715310501,0.0312838143326104,0.013219386992394146,0.036108053053925365,1.9136037701547316e-05,4.498862135131865e-05,2.842170943040401e-14,0.006850093303270083,687,0,477,DOT/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,44,11,13717,0.3979004155427572,-0.12588222697943022,-1726.7265074768443,-10.835460309981794,10.191858579363618,-1.063148612748742,17,117.40040990501547,11207,False,0,708,0.0,0,0.0,-0.005359029205841575,0.1205231977735886,0.043864678960544565,0.029641699251939182,0.01209475586187834,0.03506048194140376,1.3715355451589537e-05,-0.00015213359762888628,2.842170943040401e-14,0.007284433275276546,1422,0,698,ETH/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,44,11,6264,0.4198595146871009,-0.07623944405683844,-477.56387757203595,-2.7058408915638936,2.8619288656606647,-0.9454605682308813,14,115.88892542858483,4540,False,373,708,0.5268361581920904,18172,1.3247794707297513,0.049399893991732606,0.12563933804857128,0.04488626116157228,0.03155542998864714,0.013610805502814658,0.03586106645942066,2.998796537664726e-05,-0.00030421302926052614,2.842170943040401e-14,0.006797013258759489,357,0,312,ETH/USDT:USDT
