sizing,scope,universe,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_open_notional_ratio,max_concurrent_risk_ratio,clamped_entries,skipped_notional,liquidations
risk_pct,series,1h,SOL/USDT:USDT,1h,is,single,1.0,0.29238924165072694,0.5189873417721519,0.06339721773509432,158,0.5062972292191436,0.2974683544303797,13.589680360083177,1,,,,,
risk_pct,series,1h,SOL/USDT:USDT,1h,is,lev_1,1.0,0.3038374866482309,0.5114942528735632,0.10837203747523044,174,0.5062972292191436,0.27873563218390807,12.744189297332376,3,1.0000000000000002,0.03010298761853539,41.0,0.0,0.0
risk_pct,series,1h,SOL/USDT:USDT,1h,is,lev_2,2.0,0.36611948745458506,0.5114942528735632,0.1129447741839341,174,0.5062972292191436,0.27873563218390807,14.203572882790859,3,2.0,0.03010298761853539,11.0,0.0,0.0
risk_pct,series,1h,SOL/USDT:USDT,1h,is,lev_3,3.0,0.3781540177369703,0.5114942528735632,0.11294477418393357,174,0.5062972292191436,0.27873563218390807,14.454926756679376,3,3.0,0.030102987618535387,1.0,0.0,0.0
risk_pct,series,1h,SOL/USDT:USDT,1h,oos,single,1.0,-0.0020949986310290114,0.4461538461538462,0.05408158780844708,65,0.47619047619047616,0.11538461538461539,0.25808976247893894,1,,,,,
risk_pct,series,1h,SOL/USDT:USDT,1h,oos,lev_1,1.0,-0.04603793952871128,0.4166666666666667,0.0812492743496617,72,0.47619047619047616,0.041666666666666664,-4.944417541676644,3,1.0,0.025478810684769683,23.0,0.0,0.0
risk_pct,series,1h,SOL/USDT:USDT,1h,oos,lev_2,2.0,-0.041562461431095654,0.4166666666666667,0.08025873533248606,72,0.47619047619047616,0.041666666666666664,-3.983157322899439,3,2.0,0.030000000000000006,5.0,0.0,0.0
risk_pct,series,1h,SOL/USDT:USDT,1h,oos,lev_3,3.0,-0.04008276360262371,0.4166666666666667,0.07883877931311244,72,0.47619047619047616,0.041666666666666664,-3.7560206253824746,3,2.9107008833054797,0.030000000000000006,0.0,0.0,0.0
risk_pct,series,4h,SOL/USDT:USDT,4h,is,single,1.0,0.03296811339906908,0.45,0.098781154169163,40,0.6716417910447762,0.125,3.304521897999587,1,,,,,
risk_pct,series,4h,SOL/USDT:USDT,4h,is,lev_1,1.0,0.0479251288238982,0.4634146341463415,0.08573182185832999,41,0.6716417910447762,0.15853658536585366,4.530044552749107,2,0.6462571578849987,0.02,0.0,0.0,0.0
