scenario,k,variant,scope,segment,exclude,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,max_open_notional_ratio,liquidation_events
k2.00_pure,2.0,pure,4h,oos_warm,-XRP,11,11,307,0.5570032573289903,-0.3512242279116065,0.4282313820716306,6,0.05535375294728063,0.11070750589456126,2.9301157484842317,0
k1.00_pure,1.0,pure,4h,full,-new3,9,9,665,0.6,13.872587267638668,0.08501719904760083,7,0.07,0.07,3.4278398192736965,0
k1.00_pure,1.0,pure,4h,oos_warm,-new3,9,9,258,0.562015503875969,1.2034314120346272,0.07235922231323695,5,0.04916787996269937,0.04916787996269937,3.427839819273697,0
k1.25_pure,1.25,pure,4h,full,-new3,9,9,665,0.6,6.6897588113060005,0.13927916377739824,7,0.06999999999999999,0.0875,3.427839819273697,0
k1.25_pure,1.25,pure,4h,oos_warm,-new3,9,9,258,0.562015503875969,0.6760793988307778,0.09910339614522246,5,0.04916787996269936,0.0614598499533742,3.4278398192736965,0
k1.50_pure,1.5,pure,4h,full,-new3,9,9,665,0.6,2.9638125053728044,0.21414171124278844,7,0.06999999999999999,0.105,3.4278398192736965,0
k1.50_pure,1.5,pure,4h,oos_warm,-new3,9,9,258,0.562015503875969,0.2733540713273935,0.14640870382146112,5,0.049167879962699355,0.07375181994404904,3.4278398192736965,0
k2.00_pure,2.0,pure,4h,full,-new3,9,9,665,0.6,0.04344464439587773,0.4067208149491458,7,0.07,0.14,3.4278398192736965,0
k2.00_pure,2.0,pure,4h,oos_warm,-new3,9,9,258,0.562015503875969,-0.26783436979417763,0.35973033379935615,5,0.04916787996269937,0.09833575992539874,3.4278398192736965,0
k1.00_pure,1.0,pure,2h,full,-ADA,11,11,1609,0.6096954630205096,386.27892504590403,0.09828680302212375,6,0.050435858794191914,0.050435858794191914,2.9999999999999996,0
k1.00_pure,1.0,pure,2h,oos_warm,-ADA,11,11,558,0.5752688172043011,3.3677886354963715,0.08436900476612401,6,0.055557278005933165,0.055557278005933165,3.3804481164679294,0
k1.25_pure,1.25,pure,2h,full,-ADA,11,11,1609,0.6096954630205096,100.75208991021552,0.1393707318297408,6,0.051679009355433986,0.06459876169429249,3.3815089847060156,0
k1.25_pure,1.25,pure,2h,oos_warm,-ADA,11,11,558,0.5752688172043011,1.5241221865450432,0.10252251985479326,6,0.05555727800593316,0.06944659750741644,3.3815089847060156,0
k1.50_pure,1.5,pure,2h,full,-ADA,11,11,1609,0.6096954630205096,22.49819308428954,0.2484384197687675,6,0.05555727800593315,0.08333591700889972,3.3825726536392033,0
k1.50_pure,1.5,pure,2h,oos_warm,-ADA,11,11,558,0.5752688172043011,0.45504614384698416,0.20366281921712448,6,0.05555727800593316,0.08333591700889974,3.3825726536392033,0
k2.00_pure,2.0,pure,2h,full,-ADA,11,11,1609,0.6096954630205096,0.16005516164333713,0.6518178618009026,6,0.05555727800593315,0.1111145560118663,3.384708438071371,0
k2.00_pure,2.0,pure,2h,oos_warm,-ADA,11,11,558,0.5752688172043011,-0.5201470729145962,0.5683710552507264,6,0.055557278005933165,0.11111455601186633,3.3847084380713715,0
k1.00_pure,1.0,pure,2h,full,-BCH,11,11,1597,0.5948653725735754,235.0132176810828,0.10215613826893513,6,0.055972515445410466,0.055972515445410466,3.6382294284558614,0
k1.00_pure,1.0,pure,2h,oos_warm,-BCH,11,11,553,0.5678119349005425,2.9008208167303686,0.08783234061313622,6,0.05948415681179407,0.05948415681179407,3.62092462605574,0
k1.25_pure,1.25,pure,2h,full,-BCH,11,11,1597,0.5948653725735754,51.29721527727421,0.13638394972806775,6,0.05948415681179407,0.0743551960147426,3.6388189041600945,0
k1.25_pure,1.25,pure,2h,oos_warm,-BCH,11,11,553,0.5678119349005425,1.2405255164550564,0.12415938572209533,6,0.05948415681179409,0.07435519601474261,3.6236059839544206,0
k1.50_pure,1.5,pure,2h,full,-BCH,11,11,1597,0.5948653725735754,10.374149817472142,0.2602685496139429,6,0.05948415681179407,0.0892262352176911,3.63941011888737,0
k1.50_pure,1.5,pure,2h,oos_warm,-BCH,11,11,553,0.5678119349005425,0.2835693860569281,0.21492692604635727,6,0.05948415681179407,0.0892262352176911,3.6263278699528985,0
k2.00_pure,2.0,pure,2h,full,-BCH,11,11,1597,0.5948653725735754,-0.491772023099722,0.731541179233135,6,0.05948415681179407,0.11896831362358815,3.6405977962840725,0
k2.00_pure,2.0,pure,2h,oos_warm,-BCH,11,11,553,0.5678119349005425,-0.5820494016185784,0.6168637305452525,6,0.05948415681179407,0.11896831362358815,3.6318969580918785,0
k1.00_pure,1.0,pure,2h,full,-BNB,11,11,1607,0.6017423771001866,308.8675155754703,0.09185348765928922,6,0.05478744933558369,0.05478744933558369,3.6382294284558614,0
k1.00_pure,1.0,pure,2h,oos_warm,-BNB,11,11,566,0.5742049469964664,3.428997955378276,0.084369004766124,6,0.05948415681179408,0.05948415681179408,3.6155299417994815,0
k1.25_pure,1.25,pure,2h,full,-BNB,11,11,1607,0.6017423771001866,72.90372113041427,0.13234900548102188,6,0.059484156811794066,0.07435519601474258,3.6388189041600945,0
k1.25_pure,1.25,pure,2h,oos_warm,-BNB,11,11,566,0.5742049469964664,1.5215994244439188,0.1150052600644611,6,0.05948415681179408,0.0743551960147426,3.6155299417994824,0
k1.50_pure,1.5,pure,2h,full,-BNB,11,11,1607,0.6017423771001866,15.309278039534096,0.22597676525920207,6,0.05948415681179407,0.08922623521769112,3.63941011888737,0
k1.50_pure,1.5,pure,2h,oos_warm,-BNB,11,11,566,0.5742049469964664,0.43197654410724956,0.1953973310877465,6,0.05948415681179408,0.08922623521769112,3.615529941799482,0
k2.00_pure,2.0,pure,2h,full,-BNB,11,11,1607,0.6017423771001866,-0.25709979319189663,0.6825041641796473,6,0.059484156811794066,0.11896831362358813,3.6405977962840725,0
k2.00_pure,2.0,pure,2h,oos_warm,-BNB,11,11,566,0.5742049469964664,-0.5417894308585328,0.5564984164279513,6,0.05948415681179408,0.11896831362358816,3.615529941799482,0
k1.00_pure,1.0,pure,2h,full,-BTC,11,11,1591,0.5989943431803897,286.41324993982784,0.08852241165413441,6,0.05049483845113862,0.05049483845113862,3.0397187338921907,0
k1.00_pure,1.0,pure,2h,oos_warm,-BTC,11,11,558,0.5716845878136201,3.431703494107016,0.07408665289238021,6,0.05555727800593316,0.05555727800593316,3.615529941799482,0
k1.25_pure,1.25,pure,2h,full,-BTC,11,11,1591,0.5989943431803897,66.44155133006718,0.16115030203274255,6,0.0525025653329191,0.06562820666614888,3.375308880187507,0
k1.25_pure,1.25,pure,2h,oos_warm,-BTC,11,11,558,0.5716845878136201,1.5319364736676275,0.10944301689473374,6,0.05555727800593316,0.06944659750741644,3.6155299417994815,0
k1.50_pure,1.5,pure,2h,full,-BTC,11,11,1591,0.5989943431803897,13.809624324765354,0.27933608939858384,6,0.05555727800593315,0.08333591700889972,3.6155299417994815,0
k1.50_pure,1.5,pure,2h,oos_warm,-BTC,11,11,558,0.5716845878136201,0.4428735267089494,0.2122281250261469,6,0.05555727800593316,0.08333591700889974,3.6155299417994815,0
k2.00_pure,2.0,pure,2h,full,-BTC,11,11,1591,0.5989943431803897,-0.3301307837870949,0.6774578431329598,6,0.055557278005933144,0.11111455601186629,3.6155299417994824,0
k2.00_pure,2.0,pure,2h,oos_warm,-BTC,11,11,558,0.5716845878136201,-0.535051952919316,0.5570387808037848,6,0.055557278005933165,0.11111455601186633,3.6155299417994815,0
k1.00_pure,1.0,pure,2h,full,-DOGE,11,11,1599,0.5997498436522827,291.4909425755842,0.10831918781375226,5,0.05043585879419192,0.05043585879419192,3.614883446069492,0
k1.00_pure,1.0,pure,2h,oos_warm,-DOGE,11,11,553,0.5786618444846293,3.5638677218335144,0.0842519581817368,5,0.04948415681179407,0.04948415681179407,3.62092462605574,0
k1.25_pure,1.25,pure,2h,full,-DOGE,11,11,1599,0.5997498436522827,67.54471001156642,0.1482064304476477,5,0.05053821645960013,0.06317277057450017,3.6236059839544206,0
k1.25_pure,1.25,pure,2h,oos_warm,-DOGE,11,11,553,0.5786618444846293,1.6652466959807752,0.11679952452207468,5,0.04948415681179407,0.06185519601474258,3.6236059839544206,0
k1.50_pure,1.5,pure,2h,full,-DOGE,11,11,1599,0.5997498436522827,14.250027663274883,0.26502067305527044,5,0.05064109364805368,0.07596164047208051,3.6263278699528985,0
k1.50_pure,1.5,pure,2h,oos_warm,-DOGE,11,11,553,0.5786618444846293,0.5528132478269759,0.21322459952506928,5,0.04948415681179407,0.0742262352176911,3.6263278699528985,0
