arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades,exclude
2_교차,0.003,1.5,full,False,44,11,25872,0.36680581323438466,-0.22008720100121118,-0.1523566997345234,-43.75631898746104,41.8505475457683,-1.045537550962949,27,24.79854027530542,24.79854027530542,0.9999226963512677,0.06950430364906955,25146,1800,58958,0,2137,-ETH
2_교차,0.003,1.5,oos_warm,False,44,11,8546,0.37093377018488183,-0.2323198516044618,-0.15517583943769686,-14.30092269428483,13.080158272710399,-1.0933294839498506,22,4.540248991843979,4.540248991843979,1.0,0.025820676546015577,7934,1800,58958,0,615,-ETH
2_교차,0.003,1.5,full,False,44,11,25827,0.3651604909590738,-0.22639416243761054,-0.15760310370265432,-44.34914079733182,42.478635765186844,-1.0440340184765995,29,8.992594585679461,8.992594585679461,0.999922561660278,0.06557030342516611,25161,1867,59146,0,2131,-LINK
2_교차,0.003,1.5,oos_warm,False,44,11,8669,0.3712077517591418,-0.23317560709942148,-0.15522890534663414,-14.278092904335187,12.297691713709346,-1.1610384482494474,22,4.033460756223803,4.033460756223803,1.0,0.023744844831537482,8030,1867,59146,0,613,-LINK
2_교차,0.003,1.5,full,False,44,11,25969,0.36451153298163197,-0.22664960870447373,-0.15847356577600316,-44.730412263143634,43.798788811158964,-1.0212705300140015,26,46.990482918114566,46.990482918114566,0.9999229850976163,0.17087036351096008,25517,1829,59051,0,2129,-LTC
2_교차,0.003,1.5,oos_warm,False,44,11,8607,0.37028000464738003,-0.2335696646368463,-0.15660105143135522,-14.473979184358907,12.125745746203366,-1.1936568263350553,22,20.80228606599833,20.80228606599833,1.0,0.031347269783406205,7972,1829,59051,0,612,-LTC
2_교차,0.003,1.5,full,False,44,11,25636,0.3661647682945857,-0.22484664133949406,-0.15543474163942078,-43.99025993742023,42.256060974320455,-1.0410402418756841,30,43.82008755450524,43.82008755450524,0.999921984709003,0.10951720289857225,24972,1869,58960,0,2103,-SOL
2_교차,0.003,1.5,oos_warm,False,44,11,8599,0.36841493196883357,-0.2400492751710624,-0.16200242991797448,-14.875252575578706,12.802944255014776,-1.1618618560923772,21,26.24847992698686,26.24847992698686,1.0,0.03570987472655941,7975,1869,58960,0,603,-SOL
2_교차,0.003,1.5,full,False,44,11,26159,0.3647310677013647,-0.221672170900472,-0.15521624559876554,-45.31123761685986,43.35103605488092,-1.0452169484368814,28,1257.6056230579243,1257.6056230579243,0.9999235444779999,0.7226193070194201,25468,1383,60344,0,2221,-TRX
2_교차,0.003,1.5,oos_warm,False,44,11,8812,0.36938266000907855,-0.2299119305620333,-0.15514770344405868,-15.048126163063193,12.27338094993788,-1.2260783091833678,22,2.3585677818258595,2.3585677818258595,1.0,0.018266283380970433,8151,1383,60344,0,692,-TRX
2_교차,0.003,1.5,full,False,44,11,26030,0.36577026507875526,-0.22355875752285986,-0.1553904762629736,-44.34528217990282,43.415378182215804,-1.021418769952531,29,93.09539767285946,93.09539767285946,0.9999231655781791,0.19529266109779728,25196,1841,59192,0,2141,-XRP
2_교차,0.003,1.5,oos_warm,False,44,11,8683,0.37256708510883335,-0.22796798400724683,-0.15101749007594475,-14.3202897244942,11.51559850628832,-1.2435558357365728,22,4.554752471532364,4.554752471532364,1.0,0.020071617784140877,8032,1841,59192,0,606,-XRP
2_교차,0.003,1.5,full,False,36,9,21905,0.3625199726089934,-0.23553389080918632,-0.16584392227184105,-39.17874168773532,38.378536132722054,-1.0208503407281082,23,60.33118344436826,60.33118344436826,0.9999086966446017,0.13182033140796698,21418,1708,48096,0,2189,-new3
2_교차,0.003,1.5,oos_warm,False,36,9,7258,0.37214108569853954,-0.23411209755871296,-0.15495811127840364,-11.96217164789494,10.253395536720493,-1.166654656504258,21,75.98551423287797,75.98551423287797,1.0,0.06741203346667766,6720,1708,48096,0,637,-new3
