symbol,entry_tf,segment,arm,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data,frac_no_resistance,dist_median_r
ETH/USDT:USDT,15m,is,resistance_combined,1549,1254,677,0.8095545513234345,0.012422396017760184,0.24751197344179868,0.48301329394387,1.3192814074658592,0.2062331335583151,327,350,0,0.001936733376371853,1.7220727006540315
ETH/USDT:USDT,15m,oos,fixed_1.5r,886,711,341,0.8024830699774267,0.6081230916532456,0.07498753176007861,0.5454545454545454,28.31210135456767,0.36363636363636365,186,155,0,,
ETH/USDT:USDT,15m,oos,resistance_self,886,711,297,0.8024830699774267,0.3212658483097561,0.1252733771818692,0.40404040404040403,14.771988381013076,0.2973510445160844,120,177,0,0.028216704288939052,3.2158759541997535
ETH/USDT:USDT,15m,oos,resistance_combined,886,711,388,0.8024830699774267,0.25405440089605547,0.15657531092799412,0.5541237113402062,13.464115933419661,0.24677599019013982,217,171,0,0.0,1.415171358397528
SOL/USDT:USDT,15m,full,fixed_1.5r,2429,1966,1168,0.8093865788390284,1.4730996852010139,0.15935614549449192,0.5085616438356164,15.74951663628155,0.27140410958904115,594,574,0,,
SOL/USDT:USDT,15m,full,resistance_self,2429,1966,900,0.8093865788390284,0.7103462804961626,0.3797703563176679,0.29888888888888887,7.728972018527981,0.19508988985567577,268,632,0,0.015232606010703994,4.312894347329857
SOL/USDT:USDT,15m,full,resistance_combined,2429,1966,1239,0.8093865788390284,2.590228612444518,0.2381254198548307,0.4794188861985472,13.194841849880644,0.2838957786316728,594,645,0,0.0,1.7987903472297475
SOL/USDT:USDT,15m,is,fixed_1.5r,1614,1297,794,0.8035935563816605,0.9239273300540506,0.15935614549449192,0.5062972292191436,16.33969050092745,0.2657430730478588,402,392,0,,
SOL/USDT:USDT,15m,is,resistance_self,1614,1297,645,0.8035935563816605,0.37538910969491246,0.3797703563176679,0.29767441860465116,6.898569178774417,0.16567424857451848,192,453,0,0.02292441140024783,4.434949518906911
SOL/USDT:USDT,15m,is,resistance_combined,1614,1297,836,0.8035935563816605,1.1735974713090178,0.2381254198548307,0.47248803827751196,14.958191463280045,0.24077928543784433,395,441,0,0.0,1.8671709878359564
SOL/USDT:USDT,15m,oos,fixed_1.5r,788,645,358,0.8185279187817259,0.20689974148899856,0.13962754678480702,0.505586592178771,11.535163048395662,0.26396648044692794,181,177,0,,
SOL/USDT:USDT,15m,oos,resistance_self,788,645,297,0.8185279187817259,0.06052157937709271,0.16784086726028385,0.31313131313131315,3.852417781728292,0.24367411266617237,93,204,0,0.025380710659898477,4.124306850670622
SOL/USDT:USDT,15m,oos,resistance_combined,788,645,384,0.8185279187817259,0.04994761404382389,0.1594666005035354,0.4895833333333333,3.4077457510716385,0.20276859523047164,188,196,0,0.0,1.6606072238685496
BNB/USDT:USDT,15m,full,fixed_1.5r,2146,1771,833,0.8252562907735321,-0.11845930747930779,0.31471635973134765,0.46218487394957986,-2.5175180130168435,0.1554621848739506,385,448,0,,
BNB/USDT:USDT,15m,full,resistance_self,2146,1771,685,0.8252562907735321,0.15366104898973498,0.37549662170081766,0.291970802919708,3.5119932438125914,0.21723038562322688,202,483,0,0.014445479962721343,3.8640695351399224
BNB/USDT:USDT,15m,full,resistance_combined,2146,1771,890,0.8252562907735321,0.2721066316663082,0.2858847729499531,0.4764044943820225,4.146009281549021,0.2176650522935799,427,463,0,0.0013979496738117428,1.7824255281006136
BNB/USDT:USDT,15m,is,fixed_1.5r,1426,1184,558,0.8302945301542777,0.06760610368099533,0.24812458611373825,0.4731182795698925,3.3528054665352345,0.18279569892473232,264,294,0,,
BNB/USDT:USDT,15m,is,resistance_self,1426,1184,455,0.8302945301542777,0.2684411911606092,0.23640442005105766,0.3120879120879121,7.450931303266232,0.2507624298115354,142,313,0,0.01332398316970547,3.7917514082510384
