universe,scope,arm,leverage_mode,multiple,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional,skipped_sizing
nine,both,book,cap_only,2.0,oos,BTC,16,2818,0.5468417317246274,18.53346638353585,0.1259927035778253,4.0,0.04,2.0000000000000004,0.0,2446.0,573.0,305.0,1388.0
nine,both,book,cap_only,3.0,oos,BTC,16,2991,0.5513206285523237,31.46284641056194,0.1338909133970627,5.0,0.04438159267169931,3.0000000000000004,0.0,2571.0,603.0,68.0,1422.0
nine,both,book,cap_only,5.0,oos,BTC,16,3028,0.5508586525759577,37.17399386037866,0.1286791102297486,6.0,0.05676608832788301,5.0,0.0,2591.0,613.0,6.0,1437.0
nine,both,isolated,,1.0,oos,DOGE,16,2820,0.5415589470410538,0.24197207110090566,0.05952335140359423,,,,,,,,
nine,both,book,combined,1.0,oos,DOGE,16,2021,0.5388421573478476,5.5384897413442955,0.11347256746593899,3.0,0.02,1.0000000000000002,0.0,1820.0,387.0,1301.0,1357.0
nine,both,book,combined,2.0,oos,DOGE,16,2024,0.54100790513834,35.560591023444005,0.21566993825584932,3.0,0.04,2.0000000000000004,0.0,1823.0,384.0,1298.0,1360.0
nine,both,book,combined,3.0,oos,DOGE,16,2024,0.5390316205533597,187.58511878817635,0.30750603780190267,3.0,0.060000000000000005,3.000000000000001,0.0,1823.0,394.0,1293.0,1355.0
nine,both,book,combined,5.0,oos,DOGE,16,2032,0.5388779527559056,3228.922515886327,0.4635075554300538,3.0,0.1,5.000000000000001,0.0,1831.0,389.0,1281.0,1364.0
nine,both,book,cap_only,1.0,oos,DOGE,16,2021,0.5388421573478476,5.5384897413442955,0.11347256746593899,3.0,0.02,1.0000000000000002,0.0,1820.0,387.0,1301.0,1357.0
nine,both,book,cap_only,2.0,oos,DOGE,16,2635,0.5445920303605313,10.485786839644655,0.12755915672630966,5.0,0.035868520509013305,2.0000000000000004,0.0,2344.0,521.0,299.0,1611.0
nine,both,book,cap_only,3.0,oos,DOGE,16,2773,0.5470609448250991,18.16533547969848,0.12128711198441326,5.0,0.044282103433143434,3.0000000000000004,0.0,2433.0,554.0,70.0,1669.0
nine,both,book,cap_only,5.0,oos,DOGE,16,2818,0.5479063165365508,23.195414224789555,0.14164655094940412,6.0,0.0565435828402328,5.0,0.0,2465.0,564.0,3.0,1681.0
nine,both,isolated,,1.0,oos,ETH,16,2904,0.5283315295513962,0.23424479139699483,0.061902199820785334,,,,,,,,
nine,both,book,combined,1.0,oos,ETH,16,2114,0.5402081362346263,6.4076374164862715,0.09427998700428454,3.0,0.02579535916553596,1.0000000000000002,0.0,1877.0,405.0,1282.0,1279.0
nine,both,book,combined,2.0,oos,ETH,16,2100,0.5423809523809524,47.49170993213048,0.1717289274487306,3.0,0.05159071833107192,2.0000000000000004,0.0,1863.0,405.0,1313.0,1262.0
nine,both,book,combined,3.0,oos,ETH,16,2106,0.5451092117758785,272.88001889861573,0.26122324836946703,3.0,0.07738607749660789,3.000000000000001,0.0,1869.0,404.0,1299.0,1271.0
nine,both,book,combined,5.0,oos,ETH,16,2111,0.5452392231170061,6084.6727319007505,0.40197444373500235,3.0,0.1289767958276798,5.000000000000002,0.0,1875.0,413.0,1282.0,1274.0
nine,both,book,cap_only,1.0,oos,ETH,16,2114,0.5402081362346263,6.4076374164862715,0.09427998700428454,3.0,0.02579535916553596,1.0000000000000002,0.0,1877.0,405.0,1282.0,1279.0
nine,both,book,cap_only,2.0,oos,ETH,16,2718,0.5393671817512877,11.771745396231129,0.12976534557979652,4.0,0.04,2.0000000000000004,0.0,2371.0,537.0,303.0,1522.0
nine,both,book,cap_only,3.0,oos,ETH,16,2863,0.5410408662242403,16.235320991767708,0.13420692717030264,5.0,0.039999999999999994,3.0000000000000004,0.0,2470.0,579.0,72.0,1566.0
nine,both,book,cap_only,5.0,oos,ETH,16,2902,0.542039972432805,20.549540020742754,0.1374170190067284,6.0,0.04564902260035572,5.0,0.0,2492.0,590.0,2.0,1586.0
nine,both,isolated,,1.0,oos,LINK,16,2833,0.543751345033108,0.24905361264754958,0.0598154387814476,,,,,,,,
nine,both,book,combined,1.0,oos,LINK,16,2051,0.5426621160409556,6.3661698183952975,0.10296239035274796,3.0,0.02579535916553596,1.0000000000000002,0.0,1839.0,392.0,1296.0,1306.0
nine,both,book,combined,2.0,oos,LINK,16,2053,0.5479785679493424,47.721546641362,0.19672967299593636,3.0,0.05159071833107192,2.0000000000000004,0.0,1842.0,403.0,1281.0,1308.0
nine,both,book,combined,3.0,oos,LINK,16,2047,0.5451880801172447,284.9983607109248,0.2819598745060934,3.0,0.07738607749660789,3.000000000000001,0.0,1836.0,389.0,1294.0,1315.0
nine,both,book,combined,5.0,oos,LINK,16,2038,0.5466143277723258,6391.107179998718,0.42929595954525984,3.0,0.12897679582767982,5.000000000000001,0.0,1827.0,390.0,1314.0,1303.0
nine,both,book,cap_only,1.0,oos,LINK,16,2051,0.5426621160409556,6.3661698183952975,0.10296239035274796,3.0,0.02579535916553596,1.0000000000000002,0.0,1839.0,392.0,1296.0,1306.0
nine,both,book,cap_only,2.0,oos,LINK,16,2643,0.5455921301551268,12.728867106332965,0.13303753945654662,5.0,0.04,2.0000000000000004,0.0,2332.0,539.0,300.0,1563.0
nine,both,book,cap_only,3.0,oos,LINK,16,2794,0.5465282748747315,19.53319343127959,0.1445961196252784,5.0,0.0451604286654748,3.0000000000000004,0.0,2442.0,564.0,70.0,1617.0
nine,both,book,cap_only,5.0,oos,LINK,16,2833,0.5485351217790329,24.902828317780067,0.1488462876437587,6.0,0.04890521702134553,5.0,0.0,2464.0,571.0,1.0,1640.0
nine,both,isolated,,1.0,oos,LTC,16,2867,0.5432898587548588,0.267633873016751,0.058087326004105724,,,,,,,,
nine,both,book,combined,1.0,oos,LTC,16,2069,0.542774287095215,6.386576314499284,0.09083288620259869,3.0,0.02579535916553596,1.0000000000000002,0.0,1839.0,402.0,1263.0,1289.0
nine,both,book,combined,2.0,oos,LTC,16,2084,0.5427063339731286,46.30098163157735,0.17521764256748504,3.0,0.05159071833107193,2.0000000000000004,0.0,1854.0,401.0,1246.0,1292.0
nine,both,book,combined,3.0,oos,LTC,16,2076,0.546242774566474,277.64879593562,0.2534051079295308,3.0,0.07738607749660786,3.0000000000000004,0.0,1846.0,408.0,1260.0,1279.0
nine,both,book,combined,5.0,oos,LTC,16,2082,0.5437079731027857,6875.904309262377,0.37698299596058815,3.0,0.1289767958276798,5.000000000000002,0.0,1853.0,404.0,1248.0,1289.0
nine,both,book,cap_only,1.0,oos,LTC,16,2069,0.542774287095215,6.386576314499284,0.09083288620259869,3.0,0.02579535916553596,1.0000000000000002,0.0,1839.0,402.0,1263.0,1289.0
nine,both,book,cap_only,2.0,oos,LTC,16,2670,0.5483146067415731,13.316226647430298,0.13337913274594634,5.0,0.03962805855550509,2.0000000000000004,0.0,2335.0,524.0,307.0,1522.0
nine,both,book,cap_only,3.0,oos,LTC,16,2819,0.5509045760908123,24.942641741203005,0.11437614700299209,5.0,0.044282103433143434,3.0000000000000004,0.0,2436.0,552.0,76.0,1576.0
nine,both,book,cap_only,5.0,oos,LTC,16,2862,0.5517120894479385,30.72631121827761,0.11667359646159749,6.0,0.05654358284023281,5.0,0.0,2462.0,563.0,6.0,1592.0
nine,both,isolated,,1.0,oos,SOL,16,2811,0.536148312023258,0.22359014697514826,0.061543032873847825,,,,,,,,
nine,both,book,combined,1.0,oos,SOL,16,2037,0.5355915562101129,5.034872514706062,0.10639914290834072,3.0,0.02579535916553596,1.0000000000000002,0.0,1813.0,393.0,1267.0,1333.0
nine,both,book,combined,2.0,oos,SOL,16,2025,0.5367901234567901,31.732848255122917,0.20461371053217373,3.0,0.05159071833107193,2.0000000000000004,0.0,1801.0,383.0,1285.0,1337.0
nine,both,book,combined,3.0,oos,SOL,16,2026,0.5365251727541954,160.1894394635203,0.2948253884564554,3.0,0.07738607749660788,3.000000000000001,0.0,1803.0,392.0,1281.0,1331.0
