timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,death_rate,ambiguous_rate,winner_rate,mean_r
1h,is,rsi_ema_slope,Q1,1,-5.6181007797431874,-1.3970727131219292,483,0.09523809523809523,0.28778467908902694,0.6169772256728778,0.5424430641821946
1h,is,rsi_ema_slope,Q2,2,-1.3964953040814052,-0.6770015349320744,482,0.12863070539419086,0.26141078838174275,0.6099585062240664,0.524896265560166
1h,is,rsi_ema_slope,Q3,3,-0.6757073272837602,2.8996181754813577,483,0.09109730848861283,0.28778467908902694,0.6211180124223602,0.5527950310559007
1h,is,rsi_ema_curv,Q1,1,-5.3678584540980125,-0.5972223815703899,483,0.09937888198757763,0.2691511387163561,0.6314699792960663,0.5786749482401656
1h,is,rsi_ema_curv,Q2,2,-0.5964467469667056,-0.10753561023332026,482,0.1016597510373444,0.2842323651452282,0.6141078838174274,0.5352697095435685
1h,is,rsi_ema_curv,Q3,3,-0.10715305716045975,3.8869290483959418,483,0.11387163561076605,0.2836438923395445,0.6024844720496895,0.5062111801242236
1h,is,rsi_ema_death_shape,Q1,1,0.0,1.0,1448,0.10497237569060773,0.27900552486187846,0.6160220994475138,0.5400552486187845
1h,oos,trend_dev,Q1,1,-0.29227817502342546,-0.03036909197251958,257,0.10505836575875487,0.2490272373540856,0.6459143968871596,0.6147859922178989
1h,oos,trend_dev,Q2,2,-0.030298243918864376,-0.0009164999961206455,256,0.19140625,0.3203125,0.48828125,0.220703125
1h,oos,trend_dev,Q3,3,-0.000859662643598047,0.16365585141139483,256,0.125,0.36328125,0.51171875,0.279296875
1h,oos,volume_pctl,Q1,1,0.0,0.24675324675324675,257,0.13618677042801555,0.3346303501945525,0.5291828793774319,0.3229571984435798
1h,oos,volume_pctl,Q2,2,0.24778761061946902,0.5643153526970954,256,0.1484375,0.31640625,0.53515625,0.337890625
1h,oos,volume_pctl,Q3,3,0.5652173913043478,1.0,256,0.13671875,0.28125,0.58203125,0.455078125
1h,oos,vol_balance,Q1,1,0.01169117245446802,0.2049533144765259,257,0.10505836575875487,0.29571984435797666,0.5992217898832685,0.4980544747081712
1h,oos,vol_balance,Q2,2,0.20586995936534247,0.3537307838255073,256,0.15234375,0.31640625,0.53125,0.328125
1h,oos,vol_balance,Q3,3,0.35397376228074934,0.9999926626718032,256,0.1640625,0.3203125,0.515625,0.2890625
1h,oos,rsi_slope_5_3,Q1,1,-21.69129688300699,-5.098397701482995,257,0.14785992217898833,0.3229571984435798,0.5291828793774319,0.3229571984435798
1h,oos,rsi_slope_5_3,Q2,2,-5.093331510980221,-1.1383805733142012,256,0.1328125,0.3359375,0.53125,0.328125
1h,oos,rsi_slope_5_3,Q3,3,-1.1176144190154673,10.764790596681848,256,0.140625,0.2734375,0.5859375,0.46484375
1h,oos,rsi_slope_10_5,Q1,1,-22.450382719861096,-4.593342160908449,257,0.1517509727626459,0.2607003891050584,0.5875486381322957,0.4688715953307393
1h,oos,rsi_slope_10_5,Q2,2,-4.582488418418482,-0.6736552671353095,256,0.14453125,0.359375,0.49609375,0.240234375
1h,oos,rsi_slope_10_5,Q3,3,-0.6488998911966988,11.315554762809356,256,0.125,0.3125,0.5625,0.40625
1h,oos,rsi_slope_14_5,Q1,1,-12.5698090901111,-3.7150928835084045,257,0.13618677042801555,0.2723735408560311,0.5914396887159533,0.4785992217898833
1h,oos,rsi_slope_14_5,Q2,2,-3.6815992540124043,-0.6085659693542169,256,0.171875,0.32421875,0.50390625,0.259765625
1h,oos,rsi_slope_14_5,Q3,3,-0.5972051166137717,9.630644985501647,256,0.11328125,0.3359375,0.55078125,0.376953125
1h,oos,zone_width_atr,Q1,1,0.2315656469356457,0.8035539458645662,257,0.07003891050583658,0.245136186770428,0.6848249027237354,0.7120622568093385
1h,oos,zone_width_atr,Q2,2,0.8038003681741337,1.0580193598431256,256,0.15625,0.375,0.46875,0.171875
1h,oos,zone_width_atr,Q3,3,1.0595601790568108,1.2788208713803302,256,0.1953125,0.3125,0.4921875,0.23046875
1h,oos,freshness_bars,Q1,1,1.0,35.0,257,0.17509727626459143,0.3657587548638132,0.4591439688715953,0.14785992217898833
1h,oos,freshness_bars,Q2,2,36.0,145.0,257,0.15953307392996108,0.3229571984435798,0.5175097276264592,0.29377431906614787
1h,oos,freshness_bars,Q3,3,146.0,23637.0,255,0.08627450980392157,0.24313725490196078,0.6705882352941176,0.6764705882352942
1h,oos,prior_taps,Q1,1,0.0,1.0,656,0.13871951219512196,0.3125,0.5487804878048781,0.3719512195121951
1h,oos,prior_taps,Q2,2,2.0,13.0,113,0.1504424778761062,0.3008849557522124,0.5486725663716814,0.37168141592920356
1h,oos,approach_mom,Q1,1,-6.905180417157858,-2.0106494755425923,257,0.1245136186770428,0.311284046692607,0.5642023346303502,0.41050583657587547
1h,oos,approach_mom,Q2,2,-2.001232196026767,-0.9308494554415806,256,0.125,0.3203125,0.5546875,0.38671875
