symbol,timeframe,segment,lens,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,real_zones,fake_zones,pool_k,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
SOL/USDT:USDT,4h,oos_warm,baseline,False,0.1288034100167548,38,38,0,285,349,2792,8,0.1189287004687187,-0.0147736494278862,0.2831845535027842,0.45,200,0,-0.5093534417644393
SOL/USDT:USDT,4h,oos_warm,pen_5bp,False,0.1010017936455593,38,38,0,279,349,2792,8,0.1118478144831609,-0.0033954028848955,0.2365997171951343,0.545,200,0,-0.5093534417644393
BNB/USDT:USDT,4h,is,baseline,False,0.2251429162465778,40,40,0,381,241,1928,8,0.1571966060526897,0.0338951526136444,0.2889286236352864,0.15,200,0,16.737564322469982
BNB/USDT:USDT,4h,is,pen_5bp,False,0.1949773102857316,40,40,0,374,241,1928,8,0.1644176422459765,0.0338113329819161,0.2905826955710319,0.315,200,0,16.737564322469982
BNB/USDT:USDT,4h,oos_warm,baseline,False,0.1117307168197659,21,21,0,206,365,2920,8,0.0607449648860075,-0.0263246201560923,0.1597966340217082,0.14,200,0,0.1131613705228808
BNB/USDT:USDT,4h,oos_warm,pen_5bp,False,0.1240072462356158,20,20,0,202,365,2920,8,0.054664562270287,-0.0279398196222591,0.1534619916792331,0.1,200,0,0.1131613705228808
XRP/USDT:USDT,4h,is,baseline,False,0.2347375290027705,33,33,0,349,268,2144,8,0.1856820168952813,0.0627102943681788,0.3203087491797307,0.195,200,0,1.4945366248482397
XRP/USDT:USDT,4h,is,pen_5bp,False,0.2347234564779059,33,33,0,338,268,2144,8,0.177760488481932,0.034890669470961,0.3199310252703904,0.19,200,0,1.4945366248482397
XRP/USDT:USDT,4h,oos_warm,baseline,False,0.0005995117963564,25,25,0,184,394,3152,8,0.0635277473222217,-0.0325071081828744,0.166796336000389,0.89,200,0,0.8586072242108689
XRP/USDT:USDT,4h,oos_warm,pen_5bp,False,0.0006997777355762,25,25,0,181,394,3152,8,0.047828503009523,-0.0472095987574051,0.142619594751027,0.865,200,0,0.8586072242108689
