symbol,timeframe,bucket,bucket_lo,bucket_hi,narrow,active_taps,break_bar_taps,break_bar_share
TRX/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,320,142,0.30735930735930733
TRX/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,508,127,0.2
TRX/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,551,58,0.09523809523809523
TRX/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,477,35,0.068359375
TRX/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,366,15,0.03937007874015748
TRX/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,52,41,0.44086021505376344
TRX/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,142,55,0.27918781725888325
TRX/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,251,63,0.20063694267515925
TRX/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,306,43,0.12320916905444126
TRX/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,264,28,0.0958904109589041
TRX/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,164,7,0.04093567251461988
TRX/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,20,23,0.5348837209302325
TRX/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,71,20,0.21978021978021978
TRX/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,137,37,0.21264367816091953
TRX/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,160,22,0.12087912087912088
TRX/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,98,7,0.06666666666666667
TRX/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,94,7,0.06930693069306931
DOGE/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,443,541,0.5497967479674797
DOGE/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1465,631,0.30104961832061067
DOGE/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2455,534,0.17865506858481098
DOGE/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2454,364,0.12916962384669978
DOGE/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,2059,154,0.06958879349299593
DOGE/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,1879,66,0.0339331619537275
DOGE/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,86,107,0.5544041450777202
DOGE/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,306,140,0.31390134529147984
DOGE/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,523,155,0.22861356932153393
DOGE/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,603,84,0.1222707423580786
DOGE/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,545,54,0.09015025041736227
DOGE/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,508,27,0.05046728971962617
DOGE/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,37,44,0.5432098765432098
DOGE/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,131,76,0.3671497584541063
DOGE/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,243,60,0.19801980198019803
DOGE/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,274,42,0.13291139240506328
DOGE/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,275,25,0.08333333333333333
DOGE/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,303,11,0.03503184713375796
DOGE/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,13,24,0.6486486486486487
DOGE/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,71,24,0.25263157894736843
DOGE/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,126,35,0.21739130434782608
DOGE/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,161,24,0.12972972972972974
DOGE/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,149,13,0.08024691358024691
DOGE/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,153,6,0.03773584905660377
