arm,symbol,timeframe,entry_ms,entry_utc,day,is_reentry,take_profit_derived,engine_entry,engine_take_profit,stop_price,net_r,reconstructed,ohlc_match,verdict,order_ok,outcome_ok,fill_ms,fill_price,take_profit_price,first_tp_ms,tp_after_fill_ms,fill_offset_s,tick_count
band,DOT/USDT:USDT,15m,1780236840000,2026-05-31 14:14,2026-05-31,False,False,1.1742347999999998,1.1820869999999994,1.169,1.2519506298999217,True,True,인공물,False,False,1780236896403.0,1.1742347999999998,1.1820869999999994,1780236840520.0,,56.403,207
static,DOT/USDT:USDT,15m,1783339380000,2026-07-06 12:03,2026-07-06,False,False,0.8491698,0.8554245,0.845,1.274678659623992,True,True,인공물,False,False,1783339407210.0,0.8491698,0.8554245,1783339380038.0,,27.21,266
band,DOT/USDT:USDT,15m,1783339380000,2026-07-06 12:03,2026-07-06,False,False,0.8491698,0.8554245,0.845,1.274678659623992,True,True,인공물,False,False,1783339407210.0,0.8491698,0.8554245,1783339380038.0,,27.21,266
static,DOT/USDT:USDT,2h,1736262900000,2025-01-07 15:15,2025-01-07,False,False,7.1994396,7.345598999999999,7.102,1.4173902817725088,True,True,인공물,False,False,1736262958366.0,7.1994396,7.345598999999999,1736262900023.0,,58.366,2712
band,DOT/USDT:USDT,2h,1736262900000,2025-01-07 15:15,2025-01-07,False,False,7.1994396,7.345598999999999,7.102,1.4173902817725088,True,True,인공물,False,False,1736262958366.0,7.1994396,7.345598999999999,1736262900023.0,,58.366,2712
static,ETH/USDT:USDT,15m,1729557060000,2024-10-22 00:31,2024-10-22,False,False,2622.104316,2638.17579,2611.39,1.229497296977082,True,True,인공물,False,False,1729557071187.0,2622.104316,2638.17579,1729557060030.0,,11.187,22542
band,ETH/USDT:USDT,15m,1729557060000,2024-10-22 00:31,2024-10-22,False,False,2622.104316,2638.17579,2611.39,1.229497296977082,True,True,인공물,False,False,1729557071187.0,2622.104316,2638.1757900000002,1729557060030.0,,11.187,22542
static,ETH/USDT:USDT,15m,1736515800000,2025-01-10 13:30,2025-01-10,False,False,3224.04468,3247.7367,3208.25,1.2741567148774386,True,True,순서역전-성립,False,True,1736515806058.0,3224.04468,3247.7367,1736515800101.0,1736515806059.0,6.058,34415
band,ETH/USDT:USDT,15m,1736515800000,2025-01-10 13:30,2025-01-10,False,False,3224.04468,3247.7367,3208.25,1.2741567148774386,True,True,순서역전-성립,False,True,1736515806058.0,3224.04468,3247.7367,1736515800101.0,1736515806058.0,6.058,34415
static,ETH/USDT:USDT,15m,1740152640000,2025-02-21 15:44,2025-02-21,False,False,2680.2559439999995,2706.139859999999,2663.0,1.3278253664460185,True,True,진짜,True,True,1740152644598.0,2680.2559439999995,2706.139859999999,1740152656273.0,1740152656273.0,4.598,32803
band,ETH/USDT:USDT,15m,1740152640000,2025-02-21 15:44,2025-02-21,False,False,2680.2559439999995,2706.139859999999,2663.0,1.3278253664460185,True,True,진짜,True,True,1740152644598.0,2680.2559439999995,2706.139859999999,1740152656273.0,1740152656273.0,4.598,32803
static,ETH/USDT:USDT,15m,1759849740000,2025-10-07 15:09,2025-10-07,False,False,4522.184256,4544.015639999999,4507.63,1.1569290711890603,True,True,인공물,False,False,1759849784858.0,4522.184256,4544.015639999999,1759849740022.0,,44.858,17958
band,ETH/USDT:USDT,15m,1759849740000,2025-10-07 15:09,2025-10-07,False,False,4522.184256,4544.015639999999,4507.63,1.1569290711890603,True,True,인공물,False,False,1759849784858.0,4522.184256,4544.015639999999,1759849740022.0,,44.858,17958
static,ETH/USDT:USDT,15m,1759851600000,2025-10-07 15:40,2025-10-07,False,False,4479.285678,4500.699195,4465.01,1.1535655769721938,True,True,순서역전-성립,False,True,1759851618016.0,4479.285678,4500.699195,1759851600034.0,1759851629705.0,18.016,23118
band,ETH/USDT:USDT,15m,1759851600000,2025-10-07 15:40,2025-10-07,False,False,4479.285678,4500.699195,4465.01,1.1535655769721938,True,True,순서역전-성립,False,True,1759851618016.0,4479.285678,4500.699195,1759851600034.0,1759851629705.0,18.016,23118
static,ETH/USDT:USDT,15m,1763710440000,2025-11-21 07:34,2025-11-21,False,False,2646.799254,2674.998135,2628.0,1.3438063993032412,True,True,순서역전-성립,False,True,1763710453941.0,2646.799254,2674.998135,1763710440003.0,1763710476351.0,13.941,41192
band,ETH/USDT:USDT,15m,1763710440000,2025-11-21 07:34,2025-11-21,False,False,2646.799254,2674.998135,2628.0,1.3438063993032412,True,True,순서역전-성립,False,True,1763710453941.0,2646.799254,2674.998135,1763710440003.0,1763710476351.0,13.941,41192
static,ETH/USDT:USDT,15m,1772721540000,2026-03-05 14:39,2026-03-05,False,False,2102.72046,2118.1561500000003,2092.43,1.2739206025998984,True,True,인공물,False,False,1772721575396.0,2102.72046,2118.1561500000003,1772721540062.0,,35.396,12122
band,ETH/USDT:USDT,15m,1772721540000,2026-03-05 14:39,2026-03-05,False,False,2102.72046,2118.1561500000003,2092.43,1.2739206025998984,True,True,인공물,False,False,1772721575396.0,2102.72046,2118.1561500000003,1772721540062.0,,35.396,12122
static,ETH/USDT:USDT,15m,1780640640000,2026-06-05 06:24,2026-06-05,False,False,1624.104756,1641.6468899999998,1612.41,1.3459159966379906,True,True,인공물,False,False,1780640662892.0,1624.104756,1641.6468899999998,1780640640001.0,,22.892,36642
band,ETH/USDT:USDT,15m,1780640640000,2026-06-05 06:24,2026-06-05,False,False,1624.104756,1641.6468899999998,1612.41,1.3459159966379906,True,True,인공물,False,False,1780640662892.0,1624.104756,1641.6468899999998,1780640640001.0,,22.892,36642
static,ETH/USDT:USDT,1h,1729706640000,2024-10-23 18:04,2024-10-23,True,True,2444.498802,2461.747005,2433.0,1.2648468322614066,True,True,순서역전-성립,False,True,1729706645953.0,2444.498802,2461.747005,1729706640027.0,1729706647258.0,5.953,21916
band,ETH/USDT:USDT,1h,1729706640000,2024-10-23 18:04,2024-10-23,True,True,2444.498802,2461.747005,2433.0,1.2648468322614066,True,True,순서역전-성립,False,True,1729706645953.0,2444.498802,2461.747005,1729706640027.0,1729706647258.0,5.953,21916
static,ETH/USDT:USDT,1h,1741054020000,2025-03-04 02:07,2025-03-04,False,False,2002.0654402990017,2012.8886007475044,1994.85,1.1934892176547696,True,True,진짜,True,True,1741054021632.0,2002.0654402990017,2012.8886007475044,1741054037125.0,1741054037125.0,1.632,14982
band,ETH/USDT:USDT,1h,1741054020000,2025-03-04 02:07,2025-03-04,False,False,2002.0654402990017,2012.8886007475044,1994.85,1.1934892176547696,True,True,미체결,False,False,,,,,,,14982
