symbol,timeframe,segment,arm,num_candidates,num_trades,win_rate,total_return,max_drawdown
BNB/USDT:USDT,1h,oos,off,106,78,0.5128205128205128,0.11604628788947358,0.0782552678566434
BNB/USDT:USDT,1h,oos,freeze,153,95,0.49473684210526314,0.06382167707733352,0.10987697038943008
BNB/USDT:USDT,1h,oos,band,147,87,0.4942528735632184,0.08829352034686981,0.08768640359599868
BNB/USDT:USDT,2h,full,off,127,110,0.6,0.4372065549895562,0.050022862428574566
BNB/USDT:USDT,2h,full,freeze,199,149,0.6040268456375839,0.7404735163692975,0.0429108277885995
BNB/USDT:USDT,2h,full,band,184,135,0.5925925925925926,0.57439190461355,0.0599947686795943
BNB/USDT:USDT,2h,is,off,81,72,0.5972222222222222,0.26212835098232046,0.031835560192388465
BNB/USDT:USDT,2h,is,freeze,132,100,0.59,0.440506206253098,0.04099075000736874
BNB/USDT:USDT,2h,is,band,124,92,0.5978260869565217,0.3861712132964354,0.031835560192388465
BNB/USDT:USDT,2h,oos_warm,off,46,38,0.6052631578947368,0.1387166399288717,0.04291082778859928
BNB/USDT:USDT,2h,oos_warm,freeze,67,49,0.6326530612244898,0.20823742987990645,0.0429108277885995
BNB/USDT:USDT,2h,oos_warm,band,60,43,0.5813953488372093,0.13578459104594184,0.05295738903906982
BNB/USDT:USDT,2h,oos,off,46,38,0.6052631578947368,0.1387166399288717,0.04291082778859928
BNB/USDT:USDT,2h,oos,freeze,67,49,0.6326530612244898,0.20823742987990645,0.0429108277885995
BNB/USDT:USDT,2h,oos,band,60,43,0.5813953488372093,0.13578459104594184,0.05295738903906982
BNB/USDT:USDT,4h,full,off,71,61,0.6229508196721312,0.3620290124854666,0.03655780647703523
BNB/USDT:USDT,4h,full,freeze,121,87,0.5977011494252874,0.464456562574909,0.05080400713204791
BNB/USDT:USDT,4h,full,band,102,72,0.5833333333333334,0.3399844007474641,0.04288853896459074
BNB/USDT:USDT,4h,is,off,46,40,0.625,0.2251429162465778,0.03637846249162794
BNB/USDT:USDT,4h,is,freeze,81,57,0.5964912280701754,0.27833255064579554,0.05080400713204791
BNB/USDT:USDT,4h,is,band,68,46,0.5652173913043478,0.17896398713749295,0.0408117739320388
BNB/USDT:USDT,4h,oos_warm,off,25,21,0.6190476190476191,0.11173071681976599,0.036557806477035396
BNB/USDT:USDT,4h,oos_warm,freeze,40,30,0.6,0.14559905545320453,0.04288853896459064
BNB/USDT:USDT,4h,oos_warm,band,34,26,0.6153846153846154,0.13657788988188332,0.04288853896459084
BNB/USDT:USDT,4h,oos,off,24,20,0.6,0.09574202653707779,0.036557806477035264
BNB/USDT:USDT,4h,oos,freeze,37,27,0.5925925925925926,0.12460673928057021,0.042888538964590966
BNB/USDT:USDT,4h,oos,band,31,23,0.5652173913043478,0.08882516544519513,0.042888538964590966
XRP/USDT:USDT,1h,full,off,317,246,0.6219512195121951,1.510248694624167,0.09908367511846773
XRP/USDT:USDT,1h,full,freeze,466,311,0.617363344051447,2.22575120770464,0.10426307426575235
XRP/USDT:USDT,1h,full,band,444,285,0.6280701754385964,2.01509937450823,0.09908367511846784
XRP/USDT:USDT,1h,is,off,189,153,0.673202614379085,1.1599659258078006,0.0346411745061265
XRP/USDT:USDT,1h,is,freeze,297,203,0.6748768472906403,1.9006568398665609,0.03577439335874629
XRP/USDT:USDT,1h,is,band,282,187,0.6737967914438503,1.574500988321267,0.0357743933587466
XRP/USDT:USDT,1h,oos_warm,off,127,93,0.5376344086021505,0.1621705067802708,0.09908367511846748
XRP/USDT:USDT,1h,oos_warm,freeze,168,108,0.5092592592592593,0.11207612130121343,0.10426307426575258
XRP/USDT:USDT,1h,oos_warm,band,161,98,0.5408163265306123,0.17113933464607434,0.09908367511846815
XRP/USDT:USDT,1h,oos,off,126,92,0.5434782608695652,0.17480439699666167,0.09908367511846798
XRP/USDT:USDT,1h,oos,freeze,167,107,0.514018691588785,0.12416543827047154,0.1042630742657525
XRP/USDT:USDT,1h,oos,band,160,97,0.5463917525773195,0.18387072448576983,0.09908367511846808
XRP/USDT:USDT,2h,full,off,132,101,0.594059405940594,0.4491155349680197,0.05855866721603162
XRP/USDT:USDT,2h,full,freeze,184,135,0.6,0.6549245194699582,0.05301746572735802
XRP/USDT:USDT,2h,full,band,181,129,0.6201550387596899,0.7191474174870582,0.05239627381833591
XRP/USDT:USDT,2h,is,off,85,64,0.640625,0.36443960117079366,0.04179022096261457
XRP/USDT:USDT,2h,is,freeze,119,93,0.6451612903225806,0.5816651547175916,0.041790220962614484
XRP/USDT:USDT,2h,is,band,120,89,0.651685393258427,0.5700532715675668,0.04179022096261452
XRP/USDT:USDT,2h,oos_warm,off,47,37,0.5135135135135135,0.06205912942175564,0.052396273818335726
XRP/USDT:USDT,2h,oos_warm,freeze,65,42,0.5,0.046317872359935064,0.05239627381833578
XRP/USDT:USDT,2h,oos_warm,band,61,40,0.55,0.09496120203019236,0.0523962738183358
XRP/USDT:USDT,2h,oos,off,46,36,0.5,0.04679165950842817,0.062368388861728775
XRP/USDT:USDT,2h,oos,freeze,64,41,0.4878048780487805,0.031276688499738706,0.062368388861729
XRP/USDT:USDT,2h,oos,band,60,39,0.5384615384615384,0.07922075336293329,0.062368388861728984
XRP/USDT:USDT,4h,full,off,69,58,0.5862068965517241,0.2354777687168118,0.04197993634679846
XRP/USDT:USDT,4h,full,freeze,95,75,0.5866666666666667,0.31536233292717025,0.04197993634679838
XRP/USDT:USDT,4h,full,band,89,70,0.5857142857142857,0.2875981795608041,0.04197993634679854
XRP/USDT:USDT,4h,is,off,38,33,0.696969696969697,0.2347375290027705,0.02063510019025182
XRP/USDT:USDT,4h,is,freeze,53,44,0.6363636363636364,0.24725117490528173,0.03665643276135578
XRP/USDT:USDT,4h,is,band,51,43,0.6511627906976745,0.260028488057978,0.03671628753202168
XRP/USDT:USDT,4h,oos_warm,off,31,25,0.44,0.0005995117963564553,0.0419799363467986
XRP/USDT:USDT,4h,oos_warm,freeze,42,31,0.5161290322580645,0.054609014922002465,0.041979936346798474
XRP/USDT:USDT,4h,oos_warm,band,38,27,0.48148148148148145,0.02188021283972539,0.041979936346798426
XRP/USDT:USDT,4h,oos,off,31,25,0.44,0.0005995117963564553,0.0419799363467986
XRP/USDT:USDT,4h,oos,freeze,42,31,0.5161290322580645,0.054609014922002465,0.041979936346798474
XRP/USDT:USDT,4h,oos,band,38,27,0.48148148148148145,0.02188021283972539,0.041979936346798426
TRX/USDT:USDT,1h,full,off,330,227,0.6299559471365639,1.0297312523163895,0.03997905408746935
TRX/USDT:USDT,1h,full,freeze,468,299,0.6086956521739131,1.3006226190755563,0.053863969893829744
TRX/USDT:USDT,1h,full,band,435,265,0.6150943396226415,1.1719190643106994,0.04340544553746146
TRX/USDT:USDT,1h,is,off,220,162,0.6666666666666666,0.9194723486066446,0.037796350500005495
TRX/USDT:USDT,1h,is,freeze,325,215,0.6372093023255814,1.1103276287948771,0.053863969893829744
TRX/USDT:USDT,1h,is,band,301,191,0.6387434554973822,0.9769447077270371,0.04340544553746146
TRX/USDT:USDT,1h,oos_warm,off,110,65,0.5384615384615384,0.05744229855136036,0.03997905408746925
TRX/USDT:USDT,1h,oos_warm,freeze,143,84,0.5357142857142857,0.090173197604085,0.04054941318984743
TRX/USDT:USDT,1h,oos_warm,band,134,74,0.5540540540540541,0.09862408180744424,0.03997905408746908
TRX/USDT:USDT,1h,oos,off,110,65,0.5384615384615384,0.05744229855136036,0.03997905408746925
TRX/USDT:USDT,1h,oos,freeze,143,84,0.5357142857142857,0.090173197604085,0.04054941318984743
TRX/USDT:USDT,1h,oos,band,134,74,0.5540540540540541,0.09862408180744424,0.03997905408746908
TRX/USDT:USDT,2h,full,off,154,123,0.5772357723577236,0.4148815538542105,0.05259096915375213
TRX/USDT:USDT,2h,full,freeze,226,169,0.6094674556213018,0.8357383812207889,0.05259096915375212
TRX/USDT:USDT,2h,full,band,212,153,0.5947712418300654,0.6582749000634689,0.0525909691537522
TRX/USDT:USDT,2h,is,off,99,81,0.5802469135802469,0.29258248592237157,0.05259096915375213
TRX/USDT:USDT,2h,is,freeze,142,108,0.6018518518518519,0.5007062691326266,0.05259096915375212
TRX/USDT:USDT,2h,is,band,134,98,0.5918367346938775,0.40152698866842546,0.0525909691537522
TRX/USDT:USDT,2h,oos_warm,off,55,42,0.5714285714285714,0.09461606455588571,0.0216291330677984
TRX/USDT:USDT,2h,oos_warm,freeze,84,61,0.6229508196721312,0.22324962517935146,0.025870027730453115
TRX/USDT:USDT,2h,oos_warm,band,78,55,0.6,0.18319155711655385,0.04097267818866726
TRX/USDT:USDT,2h,oos,off,55,42,0.5714285714285714,0.09461606455588571,0.0216291330677984
TRX/USDT:USDT,2h,oos,freeze,84,61,0.6229508196721312,0.22324962517935146,0.025870027730453115
TRX/USDT:USDT,2h,oos,band,78,55,0.6,0.18319155711655385,0.04097267818866726
TRX/USDT:USDT,4h,full,off,86,69,0.6666666666666666,0.44725889971466115,0.03174749222355513
TRX/USDT:USDT,4h,full,freeze,132,96,0.6666666666666666,0.6384068763498635,0.04355268713506392
TRX/USDT:USDT,4h,full,band,121,85,0.6470588235294118,0.5206296454139483,0.04332446806778084
TRX/USDT:USDT,4h,is,off,50,44,0.75,0.38383514487184145,0.03174749222355513
TRX/USDT:USDT,4h,is,freeze,79,60,0.7333333333333333,0.5146095882636555,0.031747492223555114
TRX/USDT:USDT,4h,is,band,72,53,0.7547169811320755,0.4847450239032591,0.031747492223555045
TRX/USDT:USDT,4h,oos_warm,off,36,25,0.52,0.04583187172103026,0.022644133622070562
TRX/USDT:USDT,4h,oos_warm,freeze,53,36,0.5555555555555556,0.08173544459607511,0.04355268713506409
TRX/USDT:USDT,4h,oos_warm,band,49,32,0.46875,0.02416887811238612,0.04332446806778075
TRX/USDT:USDT,4h,oos,off,36,25,0.52,0.04583187172103026,0.022644133622070562
TRX/USDT:USDT,4h,oos,freeze,53,36,0.5555555555555556,0.08173544459607511,0.04355268713506409
