lens,symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
baseline,LTC/USDT:USDT,15m,full,1528,960,0.5583333333333333,2.3979904151966736,0.06599030567211685,2.3979904151966736,960.0
baseline,LTC/USDT:USDT,15m,oos_warm,584,342,0.5263157894736842,0.21867628044749254,0.0659903056721164,,
baseline,LTC/USDT:USDT,1h,full,303,242,0.5454545454545454,0.5482285517127639,0.08566912151053327,0.5482285517127639,242.0
baseline,LTC/USDT:USDT,1h,oos_warm,110,84,0.5119047619047619,0.10988364527076537,0.07947419710905762,,
baseline,LTC/USDT:USDT,2h,full,131,120,0.6,0.5178300915246705,0.032268605688413714,0.5178300915246705,120.0
baseline,LTC/USDT:USDT,2h,oos_warm,52,47,0.5531914893617021,0.10054510012672399,0.03226860568841363,,
baseline,LTC/USDT:USDT,4h,full,67,53,0.5849056603773585,0.2340281049006884,0.04105361843524229,0.2340281049006884,53.0
baseline,LTC/USDT:USDT,4h,oos_warm,37,25,0.56,0.08594949494798584,0.04105361843524241,,
baseline,SOL/USDT:USDT,15m,full,1624,1172,0.5708191126279863,6.03449705418954,0.14523062600629208,6.03449705418954,1172.0
baseline,SOL/USDT:USDT,15m,oos_warm,579,404,0.5816831683168316,0.8442676479376718,0.04623006200663437,,
baseline,SOL/USDT:USDT,1h,full,357,280,0.5464285714285714,0.9917816651373589,0.07808988476747407,0.9917816651373589,280.0
baseline,SOL/USDT:USDT,1h,oos_warm,124,93,0.5806451612903226,0.3499453404686463,0.04095675731964187,,
baseline,SOL/USDT:USDT,2h,full,163,136,0.6176470588235294,0.8527849438520574,0.04495639401679082,0.8527849438520574,136.0
baseline,SOL/USDT:USDT,2h,oos_warm,53,45,0.6222222222222222,0.20175305467405033,0.044956394016790975,,
baseline,SOL/USDT:USDT,4h,full,88,76,0.5789473684210527,0.33646072631085044,0.04127244900984847,0.33646072631085044,76.0
baseline,SOL/USDT:USDT,4h,oos_warm,44,38,0.5526315789473685,0.1288034100167548,0.04127244900984839,,
baseline,THETA/USDT:USDT,15m,full,1664,1230,0.5430894308943089,4.023253516267326,0.0835688779977294,4.023253516267326,1230.0
baseline,THETA/USDT:USDT,15m,oos_warm,610,452,0.5353982300884956,0.4767616807759676,0.0644733578661178,,
baseline,THETA/USDT:USDT,1h,full,348,272,0.5698529411764706,1.2721939890105125,0.0611212156054532,1.2721939890105125,272.0
baseline,THETA/USDT:USDT,1h,oos_warm,140,111,0.5675675675675675,0.39361582501001524,0.061121215605453305,,
baseline,THETA/USDT:USDT,2h,full,166,126,0.5555555555555556,0.44287566551500424,0.061476114955148424,0.44287566551500424,126.0
baseline,THETA/USDT:USDT,2h,oos_warm,75,56,0.5357142857142857,0.13351063786010745,0.06147611495514846,,
baseline,THETA/USDT:USDT,4h,full,89,73,0.547945205479452,0.24430170326627831,0.04332701157018422,0.24430170326627831,73.0
baseline,THETA/USDT:USDT,4h,oos_warm,49,39,0.5384615384615384,0.10582199304299429,0.04332701157018415,,
baseline,TRX/USDT:USDT,15m,full,1349,529,0.5255198487712666,0.509344540454654,0.12357959260501504,0.509344540454654,529.0
baseline,TRX/USDT:USDT,15m,oos_warm,443,79,0.46835443037974683,-0.0027572221401802382,0.05652769259396417,,
baseline,TRX/USDT:USDT,1h,full,330,227,0.6299559471365639,1.0297312523163895,0.03997905408746935,1.0297312523163895,227.0
baseline,TRX/USDT:USDT,1h,oos_warm,110,65,0.5384615384615384,0.05744229855136036,0.03997905408746925,,
baseline,TRX/USDT:USDT,2h,full,154,123,0.5772357723577236,0.4148815538542105,0.05259096915375213,0.4148815538542105,123.0
baseline,TRX/USDT:USDT,2h,oos_warm,55,42,0.5714285714285714,0.09461606455588571,0.0216291330677984,,
baseline,TRX/USDT:USDT,4h,full,86,69,0.6666666666666666,0.44725889971466115,0.03174749222355513,0.44725889971466115,69.0
baseline,TRX/USDT:USDT,4h,oos_warm,36,25,0.52,0.04583187172103026,0.022644133622070562,,
baseline,VET/USDT:USDT,15m,full,1617,1138,0.5588752196836555,4.844600887741231,0.10222629620353076,4.844600887741231,1138.0
baseline,VET/USDT:USDT,15m,oos_warm,585,391,0.5242966751918159,0.34563294665982996,0.08567295317185454,,
baseline,VET/USDT:USDT,1h,full,356,292,0.5547945205479452,1.100858012811008,0.07099909546917735,1.100858012811008,292.0
baseline,VET/USDT:USDT,1h,oos_warm,123,108,0.4722222222222222,0.04750215301489352,0.07099909546917761,,
baseline,VET/USDT:USDT,2h,full,159,124,0.5887096774193549,0.5924421821441737,0.05213354822623059,0.5924421821441737,124.0
baseline,VET/USDT:USDT,2h,oos_warm,46,37,0.5675675675675675,0.11200610414336225,0.03672078918491683,,
baseline,VET/USDT:USDT,4h,full,80,60,0.55,0.20839878178233556,0.06114995610804503,0.20839878178233556,60.0
baseline,VET/USDT:USDT,4h,oos_warm,28,21,0.47619047619047616,0.025768311232101042,0.06114995610804505,,
baseline,XLM/USDT:USDT,15m,full,1424,917,0.5583424209378408,2.449518554417407,0.07261299187696783,2.449518554417407,917.0
baseline,XLM/USDT:USDT,15m,oos_warm,501,312,0.5512820512820513,0.42181181635336196,0.056478633257765885,,
baseline,XLM/USDT:USDT,1h,full,296,236,0.5889830508474576,1.1108279806829109,0.06238813767004131,1.1108279806829109,236.0
baseline,XLM/USDT:USDT,1h,oos_warm,92,74,0.5540540540540541,0.18778928890105398,0.062388137670041,,
baseline,XLM/USDT:USDT,2h,full,133,91,0.5274725274725275,0.21521151535153293,0.06736124055120128,0.21521151535153293,91.0
baseline,XLM/USDT:USDT,2h,oos_warm,51,37,0.4594594594594595,0.02818310607794556,0.054820641874502335,,
baseline,XLM/USDT:USDT,4h,full,49,41,0.36585365853658536,-0.07300543024115996,0.13547363320060482,-0.07300543024115996,41.0
baseline,XLM/USDT:USDT,4h,oos_warm,14,13,0.46153846153846156,0.01182988249423197,0.021195010208774692,,
baseline,XMR/USDT:USDT,15m,full,1772,1177,0.5964316057774002,7.141359282747547,0.09111600830763149,7.141359282747547,1177.0
baseline,XMR/USDT:USDT,15m,oos_warm,642,452,0.5730088495575221,0.8553403492200665,0.07193772467849849,,
baseline,XMR/USDT:USDT,1h,full,442,333,0.5975975975975976,1.5471911479984262,0.07660858251441045,1.5471911479984262,333.0
baseline,XMR/USDT:USDT,1h,oos_warm,173,140,0.6142857142857143,0.5320431195592326,0.07660858251441073,,
baseline,XMR/USDT:USDT,2h,full,224,179,0.6536312849162011,1.3133551426269827,0.07085741819429053,1.3133551426269827,179.0
baseline,XMR/USDT:USDT,2h,oos_warm,73,61,0.6229508196721312,0.23705157890279097,0.0708574181942903,,
