level,segment,excluded,num_trades,total_return,max_drawdown,mean_net_r
L0g,oos_warm,-,16981,-0.9999999993001649,0.9999999995275629,-0.17817097956243086
L0g,oos_warm,BTC/USDT:USDT,16388,-0.999999998861085,0.9999999992115103,-0.17663131269481033
L0g,oos_warm,ETH/USDT:USDT,15885,-0.9999999987317914,0.9999999991281828,-0.18272254724143253
L0g,oos_warm,SOL/USDT:USDT,15800,-0.9999999976035715,0.9999999985353211,-0.18012246845263274
L0g,oos_warm,BNB/USDT:USDT,16190,-0.9999999969262084,0.9999999978774934,-0.17036653503646507
L0g,oos_warm,XRP/USDT:USDT,15975,-0.9999999950621213,0.9999999966623899,-0.17529640809969774
L0g,oos_warm,TRX/USDT:USDT,16474,-0.9999999986863584,0.999999999098263,-0.1719284398784543
L0g,oos_warm,DOGE/USDT:USDT,15852,-0.99999999540802,0.9999999968334441,-0.1732770254043984
L0g,oos_warm,LINK/USDT:USDT,15893,-0.9999999963228217,0.9999999973669712,-0.17396992669107011
L0g,oos_warm,LTC/USDT:USDT,15940,-0.9999999982630193,0.9999999988152367,-0.17928791406722291
L0g,oos_warm,ADA/USDT:USDT,15819,-0.9999999958349144,0.9999999969990826,-0.17416808119693813
L0g,oos_warm,DOT/USDT:USDT,15825,-0.9999999973121317,0.999999998112246,-0.18060175652918847
L0g,oos_warm,BCH/USDT:USDT,15828,-0.9999999981865197,0.9999999988302066,-0.18204748579864624
