timeframe,segment,feature,remove_fraction,threshold,n_subset,n_removed,base_death_rate,gate_death_rate,matched_death_mean,p_death,winner_removed_rate,death_removed_rate
1h,is,band_lower_slope_5_pct,0.5,-0.0007231785518705385,1044,522,0.14559386973180077,0.13409961685823754,0.14492337164750954,0.19047619047619047,0.842911877394636,0.15708812260536398
1h,oos,band_lower_slope_5_pct,0.5,-0.0007231785518705385,530,253,0.2037735849056604,0.1552346570397112,0.20649819494584837,0.047619047619047616,0.7430830039525692,0.25691699604743085
4h,is,band_lower_slope_3_atr,0.25,0.01880814239177326,256,64,0.1484375,0.14583333333333334,0.14713541666666666,0.47619047619047616,0.84375,0.15625
4h,oos,band_lower_slope_3_atr,0.25,0.01880814239177326,148,50,0.16891891891891891,0.17346938775510204,0.1719387755102041,0.7619047619047619,0.84,0.16
4h,is,band_lower_slope_3_atr,0.3333333333333333,-0.01366831265930914,256,85,0.1484375,0.13450292397660818,0.14590643274853798,0.3333333333333333,0.8235294117647058,0.17647058823529413
4h,oos,band_lower_slope_3_atr,0.3333333333333333,-0.01366831265930914,148,55,0.16891891891891891,0.1827956989247312,0.17526881720430104,0.8095238095238095,0.8545454545454545,0.14545454545454545
4h,is,band_lower_slope_3_atr,0.5,-0.09121841105866106,256,128,0.1484375,0.1171875,0.14375,0.19047619047619047,0.8203125,0.1796875
4h,oos,band_lower_slope_3_atr,0.5,-0.09121841105866106,148,76,0.16891891891891891,0.19444444444444445,0.1722222222222222,0.9047619047619048,0.8552631578947368,0.14473684210526316
4h,is,band_lower_slope_3_pct,0.25,0.00045511249385967,256,64,0.1484375,0.14583333333333334,0.14713541666666666,0.47619047619047616,0.84375,0.15625
4h,oos,band_lower_slope_3_pct,0.25,0.00045511249385967,148,46,0.16891891891891891,0.18627450980392157,0.17205882352941176,0.9047619047619048,0.8695652173913043,0.13043478260869565
4h,is,band_lower_slope_3_pct,0.3333333333333333,-0.00039985137104232886,256,85,0.1484375,0.13450292397660818,0.14590643274853798,0.3333333333333333,0.8235294117647058,0.17647058823529413
4h,oos,band_lower_slope_3_pct,0.3333333333333333,-0.00039985137104232886,148,56,0.16891891891891891,0.18478260869565216,0.1766304347826087,0.8095238095238095,0.8571428571428571,0.14285714285714285
4h,is,band_lower_slope_3_pct,0.5,-0.0025364757977120855,256,128,0.1484375,0.125,0.14375,0.2857142857142857,0.828125,0.171875
4h,oos,band_lower_slope_3_pct,0.5,-0.0025364757977120855,148,87,0.16891891891891891,0.19672131147540983,0.1680327868852459,0.9047619047619048,0.8505747126436781,0.14942528735632185
4h,is,band_lower_slope_5_atr,0.25,0.03387547897619381,256,64,0.1484375,0.13541666666666666,0.14713541666666666,0.2857142857142857,0.8125,0.1875
4h,oos,band_lower_slope_5_atr,0.25,0.03387547897619381,148,49,0.16891891891891891,0.20202020202020202,0.1712121212121212,1.0,0.8979591836734694,0.10204081632653061
4h,is,band_lower_slope_5_atr,0.3333333333333333,-0.009448258793820507,256,85,0.1484375,0.14035087719298245,0.14590643274853798,0.42857142857142855,0.8352941176470589,0.16470588235294117
