symbol,timeframe,segment,arm,fill,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
TRX/USDT:USDT,1h,oos,long_only,baseline,-0.0618874973062174,66,66,0,164,-0.0292006303001833,-0.1024181301016662,0.0370335774082093,0.825,200,0,0.0743428213331574
TRX/USDT:USDT,1h,oos,short_only,baseline,-0.099978194196203,67,0,67,187,-0.0289826000795274,-0.0971228846540596,0.0374508729845338,0.98,200,0,0.0743428213331574
TRX/USDT:USDT,1h,oos,both,baseline,-0.1546482351277045,129,65,64,351,-0.0606985306026662,-0.1515528232820193,0.0396637810257338,0.985,200,0,0.0743428213331574
BTC/USDT:USDT,15m,is,long_only,baseline,0.2922309054724026,515,515,0,1725,-0.0527339995242371,-0.22209586345203988,0.13025708815537218,0.0,200,0,2.900357839741186
BTC/USDT:USDT,15m,is,short_only,baseline,-0.22126218598638997,449,0,449,1642,-0.1699530592610159,-0.313027948515802,0.004556001367137105,0.705,200,0,2.900357839741186
BTC/USDT:USDT,15m,is,both,baseline,0.030092644923575062,889,471,418,3367,-0.1791943908381301,-0.35804684783904006,0.06660623463524153,0.03,200,0,2.900357839741186
BTC/USDT:USDT,15m,oos,long_only,baseline,0.01601115300152487,249,249,0,847,-0.09711992089658143,-0.19988082540540528,0.01854551825515282,0.03,200,0,-0.46876948255955997
BTC/USDT:USDT,15m,oos,short_only,baseline,0.019857616166209846,209,0,209,813,-0.009535825699366474,-0.11053426977899035,0.0963300388218653,0.3,200,0,-0.46876948255955997
BTC/USDT:USDT,15m,oos,both,baseline,0.07771025053638023,422,229,193,1660,-0.10952543458062369,-0.2551456044423799,0.04817911640157326,0.01,200,0,-0.46876948255955997
ETH/USDT:USDT,15m,is,long_only,baseline,0.017436270113237878,612,612,0,1693,-0.1376214276046719,-0.31692674224318473,0.08496768864825335,0.05,200,0,0.5135007458975633
ETH/USDT:USDT,15m,is,short_only,baseline,-0.29688882114666815,560,0,560,1568,-0.27196640059734234,-0.40697315037590825,-0.11907694082421931,0.605,200,0,0.5135007458975633
ETH/USDT:USDT,15m,is,both,baseline,-0.21506528771287722,1083,565,518,3261,-0.3212516625542875,-0.504484181861105,-0.07656389188447284,0.175,200,0,0.5135007458975633
ETH/USDT:USDT,15m,oos,long_only,baseline,0.4325300748999196,325,325,0,968,0.14195541801406575,-0.052438444190675185,0.3462489128282739,0.005,200,0,-0.37563719922875793
ETH/USDT:USDT,15m,oos,short_only,baseline,0.24562118122578086,282,0,282,896,0.0639278865257274,-0.08224784693579314,0.24954280827713246,0.03,200,0,-0.37563719922875793
ETH/USDT:USDT,15m,oos,both,baseline,0.7937908779926681,543,291,252,1864,0.24451795577995522,-0.0433512714869159,0.5131807204554172,0.0,200,0,-0.37563719922875793
SOL/USDT:USDT,15m,is,long_only,baseline,0.8782298566728896,754,754,0,1751,-0.06588663650745558,-0.2964886394243201,0.19959390572608662,0.0,200,0,5.425963644748473
SOL/USDT:USDT,15m,is,short_only,baseline,0.17792366207020913,722,0,722,1697,-0.17715744378719323,-0.37774076100819437,0.06403377099176231,0.005,200,0,5.425963644748473
SOL/USDT:USDT,15m,is,both,baseline,1.0235897328387666,1395,708,687,3448,-0.12641715340643517,-0.4488208970058938,0.307947961086529,0.0,200,0,5.425963644748473
SOL/USDT:USDT,15m,oos,long_only,baseline,0.18432190020113068,355,355,0,859,0.007998261179795844,-0.17027566893561197,0.188616628034088,0.03,200,0,-0.5328090292369574
