symbol,timeframe,segment,arm,arm_label,lens,no_same_step_tp,combine_obs,max_zone_width_atr,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,zones,buy_hold
DOT/USDT:USDT,1h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.9217962827528664,223,223,0,448,0.3892028932431142,0.0962853020648304,0.7240407980336858,0.0,200,0,1425,-0.8425516087037381
DOT/USDT:USDT,1h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.1028291519744296,82,82,0,161,0.1239717696841073,0.0116415716722154,0.2502092544837682,0.585,200,0,1425,-0.8261601642710472
BCH/USDT:USDT,1h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,1.5904030764886716,246,246,0,485,0.5834239306722749,0.2648406828733256,0.9258192698625064,0.0,200,0,1471,-0.0112260231591972
BCH/USDT:USDT,1h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.3835644626696614,93,93,0,200,0.1445201778579378,0.0055563954000612,0.2834560261406723,0.0,200,0,1471,-0.3695186562957953
BCH/USDT:USDT,1h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,1.191958217006593,227,227,0,473,0.4251184255813297,0.1509083345328088,0.7198888383608951,0.0,200,0,1471,-0.0112260231591972
BCH/USDT:USDT,1h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.362199042207145,87,87,0,193,0.1278034160605765,-0.0148655285596478,0.2917419062452503,0.0,200,0,1471,-0.3695186562957953
BTC/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,1.4265348162462506,658,658,0,2073,0.1954061877619159,-0.0432138159802196,0.4349508318343038,0.0,200,0,5998,5.227761971766375
BTC/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.0518818939868995,174,174,0,734,-0.0262800217124182,-0.1237986598546112,0.0610105941547379,0.045,200,0,5998,0.0818814169337931
BTC/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.8457943819941156,582,582,0,1906,0.0539516762775982,-0.1585969957178371,0.2650558281423679,0.0,200,0,5998,5.227761971766375
BTC/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,-0.0122047188091466,147,147,0,660,-0.0563253471487301,-0.126537270879394,0.0425821844466199,0.145,200,0,5998,0.0818814169337931
ETH/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,2.4319116459826806,806,806,0,2089,0.3930667362420408,0.0759243113651396,0.7903319271606015,0.0,200,0,5992,4.109619153556862
ETH/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.359750977358449,303,303,0,793,0.1572075285870547,0.0079317184120187,0.3556736757486302,0.02,200,0,5992,-0.2780900137699814
ETH/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,1.883600552114371,743,743,0,1945,0.1892312186851402,-0.11001112095398,0.55121560626377,0.0,200,0,5992,4.109619153556862
ETH/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.2848844239681261,273,273,0,732,0.1102192363584941,-0.0620444629677935,0.305158945145144,0.04,200,0,5992,-0.2780900137699814
SOL/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,6.03449705418954,1172,1172,0,2381,1.3369574372105342,0.5493638582952497,2.4111451678735865,0.0,200,0,5928,22.76822179615935
SOL/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.8442676479376718,404,404,0,844,0.2926796561664938,0.0407423254074507,0.5745541842859837,0.0,200,0,5928,-0.5184184887836522
SOL/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,2.8962047886629043,1062,1062,0,2283,0.5911189847755413,0.1070220448779084,1.2502887137089722,0.0,200,0,5928,22.76822179615935
SOL/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.4495265689854768,359,359,0,803,0.0935740534748843,-0.0939041082509367,0.2939058704721807,0.0,200,0,5928,-0.5184184887836522
BNB/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,1.7640360332813234,769,769,0,2094,0.2185126161093755,-0.0310412967831627,0.510106620931344,0.0,200,0,5958,17.94485124348572
BNB/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.0609179184048643,187,187,0,675,-0.0732469215374025,-0.1753759485569511,0.0137458611200912,0.0,200,0,5958,0.116604133050798
BNB/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,1.1446301760383577,693,693,0,1957,0.0184442870472922,-0.2249834764358931,0.2976201779511371,0.0,200,0,5958,17.94485124348572
BNB/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.0081368026970068,175,175,0,628,-0.0952293406701679,-0.1706806157524262,-0.0084329749998918,0.02,200,0,5958,0.116604133050798
XRP/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,6.269027813732596,933,933,0,2125,1.4385937457258589,0.7130713280015126,2.2811182902565124,0.0,200,0,5734,3.643379366368806
XRP/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.5204465160153122,320,320,0,804,0.0558865434749407,-0.1120147011811475,0.2299296730813084,0.0,200,0,5734,0.8594664931685101
XRP/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,3.7053182840751977,839,839,0,1996,0.8756408939883653,0.335048850077958,1.5654270285324554,0.0,200,0,5734,3.643379366368806
XRP/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.3493064876099106,282,282,0,759,0.0182591313875353,-0.1378036990978282,0.181787232686766,0.0,200,0,5734,0.8594664931685101
TRX/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.509344540454654,529,529,0,1950,0.0331147226041336,-0.1434377376913345,0.224801642225065,0.0,200,0,5658,9.93167495854063
TRX/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,-0.0027572221401802,79,79,0,641,-0.0056852326557394,-0.0571325346679883,0.0423307458159348,0.475,200,0,5658,1.6015470834319996
TRX/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.4332540135331064,481,481,0,1754,-0.0284478418176625,-0.1968172955498081,0.1597185331920173,0.0,200,0,5658,9.93167495854063
TRX/USDT:USDT,15m,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.0011296753849595,68,68,0,567,-0.0090537478118885,-0.0553268365630818,0.0389644365932335,0.305,200,0,5658,1.6015470834319996
DOGE/USDT:USDT,15m,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,6.669365961985626,983,983,0,2090,1.4883532106693833,0.6866428387691048,2.3037265649151397,0.0,200,0,5780,25.328068916008615
DOGE/USDT:USDT,15m,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.6530837328128899,386,386,0,804,0.262902418940763,0.0538035411143555,0.5000967185912543,0.01,200,0,5780,-0.3124941419064579
DOGE/USDT:USDT,15m,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,4.300468711795434,884,884,0,1972,0.8748435653124731,0.3317081400480303,1.6934279619969423,0.0,200,0,5780,25.328068916008615
