scope,arm,month,monthly_return,equity_end,num_exits,btc_buy_hold
2h,long_only,2025-03,0.06223256791870235,12903.151212673909,20,-0.0405800875968082
2h,long_only,2025-04,0.045827983728724764,13494.476616497603,23,0.10578130635366878
2h,long_only,2025-05,0.054017521817440795,14223.414801544206,19,0.08422653030958283
2h,long_only,2025-06,-0.0035314961811873102,14173.18486648911,23,0.014245624071230978
2h,long_only,2025-07,-0.0019694542023735995,14145.271427992784,11,0.09522529319496131
2h,long_only,2025-08,0.05522324328272665,14926.419193361033,17,-0.044473565232134304
2h,long_only,2025-09,0.09665842197279928,16369.183318295814,18,0.043969157754659705
2h,long_only,2025-10,0.05958636676998119,17344.563479224846,10,-0.07587446563713596
2h,long_only,2025-11,-0.026540795839485876,16884.224960997737,18,-0.17925581023415404
2h,long_only,2025-12,0.007795074896709497,17015.838759141607,4,0.01584618096139212
2h,long_only,2026-01,0.03426056939711053,17598.81108379922,24,-0.11366216216216218
2h,long_only,2026-02,0.19900351807175243,21101.036403355418,19,-0.12991297452928896
2h,long_only,2026-03,-0.04358124663585161,20181.426931588703,15,0.03789353612167301
2h,long_only,2026-04,0.07164270942103612,21627.279036950385,11,0.1207126229134996
2h,long_only,2026-05,0.08398833746054502,23443.718247059143,23,-0.05804685901370987
2h,long_only,2026-06,0.046783597595798865,24540.499727678845,31,-0.17909835204471114
2h,long_only,2026-07,-0.00031940800614016496,24532.661295591144,9,0.10350569003793342
2h,long_short,2024-08,0.01635341613524388,10163.53416135244,16,-0.09776683825994315
2h,long_short,2024-09,0.07808097903025524,10957.112859078283,41,0.10548630040109597
2h,long_short,2024-10,0.15902325478561852,12699.548608982266,39,0.15705170393966106
2h,long_short,2024-11,0.19239595574516044,15142.890401139532,49,0.388220820053097
2h,long_short,2024-12,0.23561268271140667,18710.747432556826,28,-0.03820692108474688
2h,long_short,2025-01,-0.08434858950046698,17132.522278121174,29,0.08245639447287978
2h,long_short,2025-02,-0.03566314681046834,16521.52262088292,24,-0.16206179500534768
2h,long_short,2025-03,0.12709247904734777,18621.283888407765,33,-0.0405800875968082
2h,long_short,2025-04,0.09085236420968124,20313.071554289254,37,0.10578130635366878
2h,long_short,2025-05,0.07342769107478686,21804.613497157647,46,0.08422653030958283
2h,long_short,2025-06,0.029589846641349782,22449.808666612447,37,0.014245624071230978
2h,long_short,2025-07,0.012841095544159353,22738.088804648516,24,0.09522529319496131
2h,long_short,2025-08,0.14381136853281085,26008.084473465602,32,-0.044473565232134304
2h,long_short,2025-09,0.09136438799930335,28384.29719441797,31,0.043969157754659705
2h,long_short,2025-10,0.10396626117932084,31335.30644992429,18,-0.07587446563713596
2h,long_short,2025-11,-0.036900979120846666,30179.0029608703,25,-0.17925581023415404
2h,long_short,2025-12,0.013542479175449929,30587.70148000373,11,0.01584618096139212
2h,long_short,2026-01,-0.0088362545233448,30317.420764442326,34,-0.11366216216216218
2h,long_short,2026-02,0.04395450006843937,31650.007837507914,35,-0.12991297452928896
2h,long_short,2026-03,0.02350868076743695,32394.057768046765,27,0.03789353612167301
2h,long_short,2026-04,0.09971673171483086,35624.28733565782,13,0.1207126229134996
2h,long_short,2026-05,0.11293093660796139,39647.371470464794,41,-0.05804685901370987
2h,long_short,2026-06,0.0018050215062490604,39718.93582863523,37,-0.17909835204471114
2h,long_short,2026-07,0.0026435067356491704,39823.93310303104,19,0.10350569003793342
4h,long_only,2024-08,0.05187577837543733,10518.757783754374,4,-0.09776683825994315
4h,long_only,2024-09,0.021186979722185972,10741.618491621364,2,0.10548630040109597
4h,long_only,2024-10,-0.011700802978726221,10615.93292997826,11,0.15705170393966106
4h,long_only,2024-11,0.051455235829843904,11162.178262444097,5,0.388220820053097
4h,long_only,2024-12,0.07779067684359364,12030.49166452847,7,-0.03820692108474688
4h,long_only,2025-01,-0.0003749454058894486,12025.980886948264,7,0.08245639447287978
4h,long_only,2025-02,-0.008267561409711077,11926.555351453408,8,-0.16206179500534768
4h,long_only,2025-03,0.051896712929875966,12545.50437077006,14,-0.0405800875968082
4h,long_only,2025-04,0.1287201551918964,14160.363640336196,12,0.10578130635366878
4h,long_only,2025-05,0.046118946822837126,14813.424698056899,8,0.08422653030958283
4h,long_only,2025-06,0.09090974112723482,16160.109302565037,17,0.014245624071230978
4h,long_only,2025-07,0.02245000488319171,16522.903835320532,5,0.09522529319496131
4h,long_only,2025-08,0.02851965928017286,16994.131423022936,9,-0.044473565232134304
4h,long_only,2025-09,-0.015039849327919685,16738.542246961806,4,0.043969157754659705
4h,long_only,2025-10,0.01497817324466788,16989.25503259999,8,-0.07587446563713596
4h,long_only,2025-11,-0.005314095029939847,16898.97251686887,9,-0.17925581023415404
4h,long_only,2025-12,-0.0022404386303020996,16861.111406029664,3,0.01584618096139212
4h,long_only,2026-01,0.06652520006398488,17982.800215616924,13,-0.11366216216216218
4h,long_only,2026-02,0.07696290652060789,19366.808787590217,18,-0.12991297452928896
