arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades,lens,net_r_stderr,gross_r,cost_r,breakeven_win_rate,breakeven_win_rate_zero_cost,win_rate_margin,same_step_tp_trades,same_step_tp_trade_share,same_step_tp_net_r_share,exclude
기준,0.003,1.5,full,False,44,11,47128,0.4062977423187914,-0.09146690002104471,-0.022645423305840313,-26.50191695620677,17.36099766502294,-1.5265203917168866,21,370.34267494122753,370.34267494122753,0.597500424376167,0.12224580394507581,41298,15275,99027,0,3729,baseline,0.005865837670718134,0.01571231956339055,0.10717921958443663,0.4428716878337746,0.4,-0.03657394551498322,4057,0.08608470548294007,,-TRX
기준,0.003,1.5,oos_warm,False,44,11,14342,0.402942406916748,-0.11238135345927186,-0.035889423028436264,-10.230847724618792,9.173637786736586,-1.115244351527672,17,194.2458438018091,194.2458438018091,0.6892344163993864,0.046397326487367004,11431,15275,99027,0,1053,baseline,0.010659050835900396,0.00725074580835802,0.11963209926762985,0.4478528397070519,0.4,-0.044910432790303934,962,0.06707572165667271,,-TRX
기준,0.003,1.5,full,False,44,11,45795,0.40556829348182116,-0.09468401289595602,-0.02516583589927488,-25.868409822577117,24.14685828670634,-1.071295052773741,22,243.82503848047145,243.82503848047145,0.6065072606179714,0.11102458667725101,41333,16505,96177,0,3083,baseline,0.005953499371952297,0.01388776496087935,0.10857177785683608,0.4434287111427344,0.4,-0.03786041766091325,3861,0.08431051424828039,,-XRP
기준,0.003,1.5,oos_warm,False,44,11,13882,0.4032560149834318,-0.11273488065573509,-0.03577300671991181,-9.655161397482923,8.875286345560257,-1.087870410210797,16,50.26481251232389,50.26481251232389,0.6960812563031263,0.03671933478183961,11095,16505,96177,0,689,baseline,0.010844848926221463,0.008031277653325924,0.12076615830906094,0.44830646332362434,0.4,-0.04505044834019256,940,0.06771358593862556,,-XRP
기준,0.003,1.5,full,False,36,9,38109,0.40457634679472043,-0.09843926481136657,-0.028305217930455942,-21.984351496449825,20.63190877435389,-1.065551022781618,19,6129.113952899195,6129.113952899195,0.6073630900837073,1.4322084585323032,36151,14160,77256,0,3193,baseline,0.006529086607021562,0.011464757149103949,0.10990402196047064,0.4439616087841882,0.4,-0.03938526198946779,3122,0.08192290535044215,,-new3
기준,0.003,1.5,oos_warm,False,36,9,11467,0.40524984738815734,-0.10898639373538445,-0.031268456390596125,-6.991174711290171,6.245102427700304,-1.1194651796711363,14,44.90725274152493,44.90725274152493,0.6946891078747711,0.030833024767031977,9021,14160,77256,0,713,baseline,0.01195694573260107,0.013204014144519128,0.1221904078799036,0.44887616315196144,0.4,-0.0436263157638041,766,0.06680038370977588,,-new3
기준,0.003,0.4,full,False,44,11,70066,0.7695458567636229,0.004554183082830794,0.06297729964241323,6.202136843284913,0.5919440771498654,10.477572261804534,19,0.07225009986557845,0.07225009986557845,0.5777552593269203,0.0013726165302681663,0,16704,95866,0,4509,baseline,0.002369292891540599,0.07737056346450544,0.07281638038170535,0.766297414558361,0.7142857142857143,0.003248442205261881,30190,0.43087945651243115,32.03791273779619,-ADA
기준,0.003,0.4,oos_warm,False,44,11,20887,0.7762723224972471,0.006266139637106133,0.07149923584670073,1.1474273982554284,1.0722713815235267,1.0700904808492762,15,95.89060703068209,95.89060703068209,0.6712787858476564,0.01861330016937628,856,16704,95866,0,941,baseline,0.004310642894492893,0.08680259968911878,0.08053646005198829,0.7718117571799916,0.7142857142857143,0.0044605653172554716,8289,0.3968497151338153,20.87611778164285,-ADA
기준,0.003,0.4,full,False,44,11,69877,0.7707686363181018,0.006384670024979881,0.06480313569615787,6.701117321801452,0.583858571273273,11.477295447059587,18,0.061316267686600034,0.061316267686600034,0.5773287347768221,0.0012376893417207348,0,16564,95938,0,4517,baseline,0.0023675553880593155,0.07908247205380535,0.07269780202886035,0.7662127157349004,0.7142857142857143,0.004555920583201423,30042,0.42992687150278347,22.7872965003506,-BCH
기준,0.003,0.4,oos_warm,False,44,11,20624,0.7757951900698216,0.005546158362671938,0.07084231197451285,0.9032354111731271,1.1436854562630367,0.7897585881037833,15,21.030295112390725,21.030295112390725,0.6712567882079131,0.010398280681605277,2826,16564,95938,0,945,baseline,0.004340070240115416,0.08613488652572683,0.080588728163032,0.7718490915450229,0.7142857142857143,0.003946098524798658,8146,0.3949767261442979,23.44955286259491,-BCH
