timeframe,segment,feature,axis,excluded_symbol,n,correlation
1h,is,zone_width_atr,death_vs_winner,TRX/USDT:USDT,918,0.21504319379333028
1h,is,zone_width_atr,death_vs_winner,DOGE/USDT:USDT,941,0.21534599829819484
1h,is,zone_width_atr,death_vs_winner,LINK/USDT:USDT,917,0.1919187450350954
1h,is,zone_width_atr,death_vs_winner,LTC/USDT:USDT,938,0.21384323504232033
1h,oos,zone_width_atr,death_vs_winner,BTC/USDT:USDT,478,0.2125964372591396
1h,oos,zone_width_atr,death_vs_winner,ETH/USDT:USDT,461,0.26117057725953263
1h,oos,zone_width_atr,death_vs_winner,SOL/USDT:USDT,463,0.23530989214301828
1h,oos,zone_width_atr,death_vs_winner,BNB/USDT:USDT,478,0.21826987996162384
1h,oos,zone_width_atr,death_vs_winner,XRP/USDT:USDT,463,0.2259347524598304
1h,oos,zone_width_atr,death_vs_winner,TRX/USDT:USDT,480,0.22999231756028107
1h,oos,zone_width_atr,death_vs_winner,DOGE/USDT:USDT,472,0.21468793833972283
1h,oos,zone_width_atr,death_vs_winner,LINK/USDT:USDT,470,0.22864932809334015
1h,oos,zone_width_atr,death_vs_winner,LTC/USDT:USDT,475,0.22176125111448794
4h,is,zone_width_atr,death_vs_winner,BTC/USDT:USDT,227,0.12200802597284703
4h,is,zone_width_atr,death_vs_winner,ETH/USDT:USDT,225,0.11398886984724352
4h,is,zone_width_atr,death_vs_winner,SOL/USDT:USDT,228,0.10616086309756179
4h,is,zone_width_atr,death_vs_winner,BNB/USDT:USDT,226,0.1474001677567202
4h,is,zone_width_atr,death_vs_winner,XRP/USDT:USDT,231,0.13121828655697437
4h,is,zone_width_atr,death_vs_winner,TRX/USDT:USDT,218,0.12115644746244665
4h,is,zone_width_atr,death_vs_winner,DOGE/USDT:USDT,226,0.10256745178110392
4h,is,zone_width_atr,death_vs_winner,LINK/USDT:USDT,233,0.1224542611302814
4h,is,zone_width_atr,death_vs_winner,LTC/USDT:USDT,234,0.15077409019682508
4h,oos,zone_width_atr,death_vs_winner,BTC/USDT:USDT,138,0.20307688312675728
4h,oos,zone_width_atr,death_vs_winner,ETH/USDT:USDT,129,0.26071851519679407
4h,oos,zone_width_atr,death_vs_winner,SOL/USDT:USDT,122,0.16284473871836094
4h,oos,zone_width_atr,death_vs_winner,BNB/USDT:USDT,131,0.23606336464018
4h,oos,zone_width_atr,death_vs_winner,XRP/USDT:USDT,135,0.18796851465060102
4h,oos,zone_width_atr,death_vs_winner,TRX/USDT:USDT,132,0.19186898866648627
4h,oos,zone_width_atr,death_vs_winner,DOGE/USDT:USDT,132,0.19003604331212623
4h,oos,zone_width_atr,death_vs_winner,LINK/USDT:USDT,132,0.18278698193479007
4h,oos,zone_width_atr,death_vs_winner,LTC/USDT:USDT,133,0.21659954917220076
