arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades
loss-30R_entry,하루 -30R · 신규 진입만,loss,-30.0,,entry,is,12,12,1727,0.4145917776491025,-0.002604378037858847,-4.497760871382229,-0.15982170010450192,0.5439601307366317,-0.2938114230689501,9,0.11726682320531136,0,True,1,443,0.002257336343115124,4,0.0023148148148148147,0.03647944412275619,0.03908382216061505,0.013126224574756035,0.009723999340080842,0.004480805399002394,0.010495729169976108,0.0,0.0012570636767996815,2.842170943040401e-14,0.02948183181866925,208,0,114
loss-30R_entry,하루 -30R · 신규 진입만,loss,-30.0,,entry,oos_warm,12,12,865,0.3942196531791908,-0.06497844638589001,-56.20635612379486,-0.44981674617907946,0.7277630621322915,-0.618081309129856,8,0.21678294364249404,0,True,1,228,0.0043859649122807015,8,0.009163802978235968,-0.013532612124036954,0.05144583426185319,0.019300688306572788,0.012891629238829461,0.005168647393774661,0.0154274447441799,5.385625757465041e-06,-0.0013479610472610642,2.842170943040401e-14,0.021710183306720063,84,0,60
loss-30R_entry,하루 -30R · 신규 진입만,loss,-30.0,,entry,oos,12,12,816,0.38848039215686275,-0.08210431118959143,-66.99711793070661,-0.5447878558951912,0.7512712065342417,-0.7251547126481822,8,0.2166870209864564,0,True,1,227,0.004405286343612335,7,0.00850546780072904,-0.029423403313471604,0.05268090787612006,0.019863650495195312,0.013067480977135691,0.00511613609839398,0.015864585603616733,1.8389332343249e-05,-0.0012493346305649305,2.842170943040401e-14,0.021037747653340568,74,0,59
loss-1R_reentry,하루 -1R · 재진입 재무장만,loss,-1.0,,reentry,full,12,12,2425,0.40824742268041236,-0.022575903268975173,-54.7465654272648,-0.5778852892429859,0.8729129940684341,-0.6620193457650387,9,0.3190989513929993,0,True,171,671,0.2548435171385991,652,0.2506728181468666,0.02094609918049815,0.04352200244947333,0.015166688532545554,0.01087146391808163,0.0048089777248988405,0.012125363092364866,1.9210582598792825e-06,0.0005475881233226234,2.842170943040401e-14,0.02623945570458311,112,0,179
loss-1R_reentry,하루 -1R · 재진입 재무장만,loss,-1.0,,reentry,is,12,12,1604,0.4170822942643391,0.00327682790712753,5.256031963032559,-0.07860631266562741,0.5728786509732923,-0.13721285045633871,9,0.1292332615161948,0,True,113,443,0.255079006772009,421,0.24363425925925927,0.042705735660847836,0.03942890775372033,0.01302579779566292,0.009829578228394864,0.004627800257261293,0.01041542791741321,0.0,0.00153030355498803,2.842170943040401e-14,0.0291307285367085,80,0,108
loss-1R_reentry,하루 -1R · 재진입 재무장만,loss,-1.0,,reentry,oos_warm,12,12,821,0.3909866017052375,-0.0730847714863549,-60.00259739029737,-0.49927897657735837,0.7648199559975426,-0.6528058959002405,8,0.22502607913529163,0,True,58,228,0.2543859649122807,231,0.2646048109965636,-0.02156602860815093,0.05151874287820402,0.01934937883943919,0.012907011599272315,0.005162946857774145,0.015466089061454339,5.674258562980829e-06,-0.0013723577382989468,2.842170943040401e-14,0.021820409913384027,32,0,60
loss-1R_reentry,하루 -1R · 재진입 재무장만,loss,-1.0,,reentry,oos,12,12,779,0.38767650834403083,-0.08419623412927661,-65.58886638670648,-0.5387097859614227,0.7626657078643976,-0.7063511318345594,8,0.22836674184324812,0,True,52,227,0.2290748898678414,198,0.24058323207776428,-0.031462769067769944,0.05273346506150683,0.019884473609422252,0.01308728673236695,0.0051272047347836105,0.01588036233148209,1.9262766613724242e-05,-0.0012651251131618202,2.842170943040401e-14,0.02142458816225339,30,0,57
loss-2R_reentry,하루 -2R · 재진입 재무장만,loss,-2.0,,reentry,full,12,12,2442,0.40745290745290746,-0.024562092795798837,-59.98063060734076,-0.6205603004195845,0.9017540196139279,-0.6881702625348628,9,0.4127840945718313,0,True,113,671,0.16840536512667661,506,0.19454056132256825,0.01895753092248487,0.04351962371828371,0.015238578359720041,0.01088254379536021,0.00479090395765601,0.012182859571634057,1.9076847994296727e-06,0.00042283034911402807,2.842170943040401e-14,0.02612201014895737,129,0,182
loss-2R_reentry,하루 -2R · 재진입 재무장만,loss,-2.0,,reentry,is,12,12,1619,0.4156886967263743,-0.00021960234023800433,-0.355536188845329,-0.12505635356024522,0.6217764283122534,-0.20112752408401444,9,0.14209910110068277,0,True,72,443,0.16252821670428894,321,0.1857638888888889,0.03922174181593573,0.039441344156173765,0.013144173769056206,0.009851607991091579,0.0046017828318316994,0.010510081345738508,0.0,0.0013336982184557697,2.842170943040401e-14,0.029110880456623262,95,0,111
loss-2R_reentry,하루 -2R · 재진입 재무장만,loss,-2.0,,reentry,oos_warm,12,12,823,0.39125151883353587,-0.07244847438456309,-59.62509441849542,-0.4955039468593389,0.761296025528275,-0.6508689527381954,8,0.22188463595624366,0,True,41,228,0.17982456140350878,185,0.21191294387170675,-0.02090608686183709,0.0515423875227261,0.019358676819361216,0.012910593694644396,0.005162941749526676,0.015473537515406713,5.660469356266416e-06,-0.0013690227255691802,2.842170943040401e-14,0.021758881775099406,34,0,60
