arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,net_r_stderr,long_trades,short_trades,long_win_rate,short_win_rate,long_mean_net_r,short_mean_net_r,long_net_r_sum,short_net_r_sum,btc_return_corr,btc_days,exclude
short_only,숏만,False,every_tap,full,False,44,11,40078,0.4024402415290184,-0.10613671405254314,0.0061122371185718845,0.042067814615652566,0.028090254572371524,0.01126190627868467,0.03366564139031047,5.437428061417259e-06,-0.0028421031139656203,0.112248951171115,2.842170943040401e-14,0.007943265591421602,0.02333814455920242,-0.007452972972973327,12808,0.31957682519087777,3347,1293,-25.804470352535194,18.993249747308287,-1.3586127016621887,18,45.919947030606984,45.919947030606984,38390,0,2386,0.006377316998182046,0,40078,,0.4024402415290184,,-0.10613671405254314,0.0,-4253.747225797824,-0.3498142880426292,2106,-BNB
short_only,숏만,False,every_tap,oos_warm,False,44,11,12614,0.4034406215316315,-0.11348404087230862,0.008638515874276454,0.04532424881079958,0.030246421752612218,0.012114994525115753,0.036260252607225596,1.72761409422452e-05,-0.0018406370901113307,0.12212255674658459,2.842170943040401e-14,0.0071471504245777615,0.020342567533499754,-0.008145886344360998,4090,0.3242429047090534,1021,378,-8.219231387117416,7.681358257083947,-1.070023179759573,16,543.036766988419,543.036766988419,11429,0,546,0.011404205825900508,0,12614,,0.4034406215316315,,-0.11348404087230862,0.0,-1431.487691563301,-0.3906460717492089,698,-BNB
short_only,숏만,False,every_tap,full,False,44,11,40071,0.402510543784782,-0.1062699525283842,0.006176100055586116,0.04199215455204197,0.028052637958351025,0.011254540917521203,0.03360508155669197,5.438946765905708e-06,-0.0024638013474015596,0.11244605258397031,2.842170943040401e-14,0.007956084668470248,0.023512138609741984,-0.007093706293705324,12677,0.31636345486761,3293,1251,-25.13033032936207,19.152870752811108,-1.3120920959419955,18,9.534577518198134,9.534577518198134,38247,0,2406,0.006376732212291715,0,40071,,0.402510543784782,,-0.1062699525283842,0.0,-4258.343267764883,-0.3363246937082537,2107,-BTC
short_only,숏만,False,every_tap,oos_warm,False,44,11,12694,0.40152828107767446,-0.11925050203372901,0.0035042150092477534,0.04552200337797276,0.03031411151030494,0.012104609316112276,0.0364186424446615,1.7169059071735277e-05,-0.0016218186651469368,0.12275471704297664,2.842170943040401e-14,0.007142051760811805,0.020339923987819555,-0.00793488372092991,4093,0.3224357964392626,1015,380,-8.570151623480024,8.369856405757327,-1.023930544087342,18,108.69970824446945,108.69970824446945,11586,0,548,0.011357405940720492,0,12694,,0.40152828107767446,,-0.11925050203372901,0.0,-1513.7658728161562,-0.37212561131008437,699,-BTC
short_only,숏만,False,every_tap,full,False,44,11,38705,0.40165353313525387,-0.11076675460220309,0.004145878807340735,0.04294457552667345,0.028618097241194813,0.011439437854761743,0.03436720793914281,5.630312410424517e-06,-0.002462315464639712,0.114912633409544,2.842170943040401e-14,0.007730684919052452,0.02241406321059519,-0.007530010172940786,12375,0.3197261335744736,3096,1218,-25.80856766401666,20.60084678945333,-1.2527915928790578,18,11.704373692786305,11.704373692786305,36994,0,2395,0.006492145636638473,0,38705,,0.40165353313525387,,-0.11076675460220309,0.0,-4287.227236878271,-0.34570016313374724,2105,-DOGE
short_only,숏만,False,every_tap,oos_warm,False,44,11,12046,0.40270629254524326,-0.11847367441587166,0.006804436264164277,0.04649261054212794,0.03095056897018969,0.012352163866083928,0.0371945947223325,1.8090755590692422e-05,-0.0017299181762897584,0.1252781106800352,2.842170943040401e-14,0.006964480840614233,0.01949564435461045,-0.008295997706775537,3899,0.3236759090154408,963,365,-7.992679963349862,7.390103891800008,-1.0815382409195176,16,23.213629377075772,23.213629377075772,10841,0,542,0.011679067421312877,0,12046,,0.40270629254524326,,-0.11847367441587166,0.0,-1427.13388201359,-0.3591409006385349,698,-DOGE
short_only,숏만,False,every_tap,full,False,44,11,39321,0.40123598077363243,-0.11133698165603578,0.0030397461654017677,0.04282872018115873,0.028506158540516656,0.011374062518818024,0.034273497131887744,6.610501115504221e-06,-0.0026123210520589335,0.11437672782143772,2.842170943040401e-14,0.0077785286325709555,0.023086185379549942,-0.007543283582087689,12556,0.31932046489153376,3317,1279,-25.674304495979737,19.257085116793462,-1.3332393942419682,17,21.700450159087918,21.700450159087918,37659,0,2399,0.006439453908323444,0,39321,,0.40123598077363243,,-0.11133698165603578,0.0,-4377.881455696983,-0.3602874870960702,2105,-DOT
short_only,숏만,False,every_tap,oos_warm,False,44,11,12144,0.403903162055336,-0.11465622983493412,0.009595344118063488,0.04612808298449509,0.030748808061037927,0.01229565579841449,0.03689951351058603,2.1404110207735628e-05,-0.001841890511744559,0.12425157395299707,2.842170943040401e-14,0.0070291901471045025,0.019970860176740577,-0.008158889722428044,3942,0.32460474308300397,995,374,-7.537708619728161,7.283052908816111,-1.034965517084709,16,914.9368748172786,914.9368748172786,10813,0,542,0.011634498442486606,0,12144,,0.403903162055336,,-0.11465622983493412,0.0,-1392.38525511544,-0.38108696885176035,698,-DOT
short_only,숏만,False,every_tap,full,False,44,11,39555,0.40460118821893565,-0.10110265551964483,0.011491945311581287,0.041959432490604874,0.02818375423004019,0.011397682844733917,0.033577952878259466,6.376887224176899e-06,-0.0025305984996371114,0.11259460083122506,2.842170943040401e-14,0.007883638774960611,0.02347167924529808,-0.007204262738517309,12608,0.3187460498040703,3269,1260,-24.359741424795523,17.71888259296934,-1.3747899336756824,18,3.4204360728741,3.4204360728741,37686,0,2406,0.006423783241756546,0,39555,,0.40460118821893565,,-0.10110265551964483,0.0,-3999.115539079551,-0.34896011862313964,2108,-ETH
short_only,숏만,False,every_tap,oos_warm,False,44,11,12187,0.40305243292032494,-0.11543088925366611,0.007595298006038985,0.04558217238938811,0.03045713138261866,0.012222743367260428,0.03646327349859992,2.069728187021558e-05,-0.0017198306600325487,0.1230261872597048,2.842170943040401e-14,0.0070857575894201245,0.02027043687340599,-0.007928476821193142,3950,0.3241158611635349,950,360,-7.964719813912273,7.389434644188081,-1.0778523929671215,18,65.6037188829341,65.6037188829341,10946,0,539,0.011600553702955325,0,12187,,0.40305243292032494,,-0.11543088925366611,0.0,-1406.756247334429,-0.38750166188554813,698,-ETH
short_only,숏만,False,every_tap,full,False,44,11,39073,0.40204233102142145,-0.10958930407740973,0.005094666311765071,0.04280193718481001,0.028575050607414148,0.011453256800225764,0.03425221497095956,6.455551765984625e-06,-0.0024049447260005323,0.1146839703891749,2.842170943040401e-14,0.007741196389030841,0.023146416871715016,-0.00764925373134267,12463,0.31896706165382743,3272,1264,-25.281481014935867,19.27314123425319,-1.311746783134882,17,7.746031430842573,7.746031430842573,37450,0,2383,0.006461534052612187,0,39073,,0.40204233102142145,,-0.10958930407740973,0.0,-4281.9828782166305,-0.34148451461088486,2106,-LINK
