arm,symbol,timeframe,metric,quantile,value,sample
proximal,ETH/USDT:USDT,1h,stop_fraction,0.33,0.010972799398067758,1726
proximal,ETH/USDT:USDT,1h,stop_fraction,0.5,0.015101731099506556,1726
proximal,ETH/USDT:USDT,1h,stop_fraction,0.67,0.018508688794288793,1726
proximal,ETH/USDT:USDT,1h,stop_fraction,0.75,0.02153189091853834,1726
proximal,ETH/USDT:USDT,1h,stop_fraction,0.9,0.03349830895654264,1726
proximal,ETH/USDT:USDT,1h,stop_fraction,0.95,0.04175293873171907,1726
mid,ETH/USDT:USDT,1h,zone_width_atr,0.05,0.5461569682230362,1726
mid,ETH/USDT:USDT,1h,zone_width_atr,0.1,0.7153023953132145,1726
mid,ETH/USDT:USDT,1h,zone_width_atr,0.25,1.02306452791053,1726
mid,ETH/USDT:USDT,1h,zone_width_atr,0.33,1.1422936422878023,1726
mid,ETH/USDT:USDT,1h,zone_width_atr,0.5,1.4162879708915295,1726
mid,ETH/USDT:USDT,1h,zone_width_atr,0.67,1.809307025924924,1726
mid,ETH/USDT:USDT,1h,zone_width_atr,0.75,2.082606667370375,1726
mid,ETH/USDT:USDT,1h,zone_width_atr,0.9,3.085042707340512,1726
mid,ETH/USDT:USDT,1h,zone_width_atr,0.95,3.7547081638089215,1726
mid,ETH/USDT:USDT,1h,stop_fraction,0.05,0.002611838339272858,1726
mid,ETH/USDT:USDT,1h,stop_fraction,0.1,0.0032931880450997684,1726
mid,ETH/USDT:USDT,1h,stop_fraction,0.25,0.004708789803167305,1726
mid,ETH/USDT:USDT,1h,stop_fraction,0.33,0.005615556211217219,1726
mid,ETH/USDT:USDT,1h,stop_fraction,0.5,0.007706789517447681,1726
mid,ETH/USDT:USDT,1h,stop_fraction,0.67,0.00943891810553941,1726
mid,ETH/USDT:USDT,1h,stop_fraction,0.75,0.010980938000012968,1726
mid,ETH/USDT:USDT,1h,stop_fraction,0.9,0.017131084143929883,1726
mid,ETH/USDT:USDT,1h,stop_fraction,0.95,0.021417403807346753,1726
proximal,ETH/USDT:USDT,2h,zone_width_atr,0.05,0.6207379903724362,806
proximal,ETH/USDT:USDT,2h,zone_width_atr,0.1,0.7513650135757894,806
proximal,ETH/USDT:USDT,2h,zone_width_atr,0.25,1.0137820405249893,806
proximal,ETH/USDT:USDT,2h,zone_width_atr,0.33,1.1193925314989428,806
proximal,ETH/USDT:USDT,2h,zone_width_atr,0.5,1.4087678224943652,806
proximal,ETH/USDT:USDT,2h,zone_width_atr,0.67,1.829145038626307,806
proximal,ETH/USDT:USDT,2h,zone_width_atr,0.75,2.0727420514597137,806
proximal,ETH/USDT:USDT,2h,zone_width_atr,0.9,2.946187844402983,806
proximal,ETH/USDT:USDT,2h,zone_width_atr,0.95,3.482043841388581,806
proximal,ETH/USDT:USDT,2h,stop_fraction,0.05,0.008410487674879615,806
proximal,ETH/USDT:USDT,2h,stop_fraction,0.1,0.009924070244172791,806
proximal,ETH/USDT:USDT,2h,stop_fraction,0.25,0.015072462015888485,806
proximal,ETH/USDT:USDT,2h,stop_fraction,0.33,0.016455175134501777,806
proximal,ETH/USDT:USDT,2h,stop_fraction,0.5,0.021318241471921746,806
proximal,ETH/USDT:USDT,2h,stop_fraction,0.67,0.02735611766963989,806
proximal,ETH/USDT:USDT,2h,stop_fraction,0.75,0.03028583671869444,806
proximal,ETH/USDT:USDT,2h,stop_fraction,0.9,0.046072279998174315,806
proximal,ETH/USDT:USDT,2h,stop_fraction,0.95,0.053837180100627276,806
mid,ETH/USDT:USDT,2h,zone_width_atr,0.05,0.6207379903724362,806
mid,ETH/USDT:USDT,2h,zone_width_atr,0.1,0.7513650135757894,806
mid,ETH/USDT:USDT,2h,zone_width_atr,0.25,1.0137820405249893,806
mid,ETH/USDT:USDT,2h,zone_width_atr,0.33,1.1193925314989428,806
mid,ETH/USDT:USDT,2h,zone_width_atr,0.5,1.4087678224943652,806
mid,ETH/USDT:USDT,2h,zone_width_atr,0.67,1.829145038626307,806
mid,ETH/USDT:USDT,2h,zone_width_atr,0.75,2.0727420514597137,806
mid,ETH/USDT:USDT,2h,zone_width_atr,0.9,2.946187844402983,806
mid,ETH/USDT:USDT,2h,zone_width_atr,0.95,3.482043841388581,806
mid,ETH/USDT:USDT,2h,stop_fraction,0.05,0.004322150257828266,806
mid,ETH/USDT:USDT,2h,stop_fraction,0.1,0.005085774978790776,806
mid,ETH/USDT:USDT,2h,stop_fraction,0.25,0.0076919343561516074,806
mid,ETH/USDT:USDT,2h,stop_fraction,0.33,0.008394180297934898,806
mid,ETH/USDT:USDT,2h,stop_fraction,0.5,0.010871811749449362,806
mid,ETH/USDT:USDT,2h,stop_fraction,0.67,0.013964978728617156,806
mid,ETH/USDT:USDT,2h,stop_fraction,0.75,0.015472691064497442,806
mid,ETH/USDT:USDT,2h,stop_fraction,0.9,0.023674646860402302,806
mid,ETH/USDT:USDT,2h,stop_fraction,0.95,0.027757780499602664,806
proximal,ETH/USDT:USDT,4h,zone_width_atr,0.05,0.6690401063656314,408
proximal,ETH/USDT:USDT,4h,zone_width_atr,0.1,0.7439443625058478,408
proximal,ETH/USDT:USDT,4h,zone_width_atr,0.25,0.9562269253595634,408
proximal,ETH/USDT:USDT,4h,zone_width_atr,0.33,1.0470484372449143,408
proximal,ETH/USDT:USDT,4h,zone_width_atr,0.5,1.3938047083520733,408
proximal,ETH/USDT:USDT,4h,zone_width_atr,0.67,1.8359474820624295,408
proximal,ETH/USDT:USDT,4h,zone_width_atr,0.75,2.1318488428569737,408
proximal,ETH/USDT:USDT,4h,zone_width_atr,0.9,2.621554065331146,408
proximal,ETH/USDT:USDT,4h,zone_width_atr,0.95,2.976980176038907,408
proximal,ETH/USDT:USDT,4h,stop_fraction,0.05,0.013312706613172836,408
proximal,ETH/USDT:USDT,4h,stop_fraction,0.1,0.01602583430380885,408
proximal,ETH/USDT:USDT,4h,stop_fraction,0.25,0.021860025314860962,408
proximal,ETH/USDT:USDT,4h,stop_fraction,0.33,0.025773842603573332,408
proximal,ETH/USDT:USDT,4h,stop_fraction,0.5,0.029168155198917016,408
proximal,ETH/USDT:USDT,4h,stop_fraction,0.67,0.03887354410664791,408
proximal,ETH/USDT:USDT,4h,stop_fraction,0.75,0.046072279998174315,408
proximal,ETH/USDT:USDT,4h,stop_fraction,0.9,0.06084968409572739,408
proximal,ETH/USDT:USDT,4h,stop_fraction,0.95,0.07876704310520995,408
mid,ETH/USDT:USDT,4h,zone_width_atr,0.05,0.6690401063656314,408
mid,ETH/USDT:USDT,4h,zone_width_atr,0.1,0.7439443625058478,408
mid,ETH/USDT:USDT,4h,zone_width_atr,0.25,0.9562269253595634,408
mid,ETH/USDT:USDT,4h,zone_width_atr,0.33,1.0470484372449143,408
mid,ETH/USDT:USDT,4h,zone_width_atr,0.5,1.3938047083520733,408
mid,ETH/USDT:USDT,4h,zone_width_atr,0.67,1.8359474820624295,408
mid,ETH/USDT:USDT,4h,zone_width_atr,0.75,2.1318488428569737,408
mid,ETH/USDT:USDT,4h,zone_width_atr,0.9,2.621554065331146,408
mid,ETH/USDT:USDT,4h,zone_width_atr,0.95,2.976980176038907,408
mid,ETH/USDT:USDT,4h,stop_fraction,0.05,0.00679961174499653,408
mid,ETH/USDT:USDT,4h,stop_fraction,0.1,0.008176028048645503,408
mid,ETH/USDT:USDT,4h,stop_fraction,0.25,0.011148590400900068,408
mid,ETH/USDT:USDT,4h,stop_fraction,0.33,0.013152558912741268,408
mid,ETH/USDT:USDT,4h,stop_fraction,0.5,0.014896973150773988,408
mid,ETH/USDT:USDT,4h,stop_fraction,0.67,0.01991814773349209,408
mid,ETH/USDT:USDT,4h,stop_fraction,0.75,0.023674646860402302,408
mid,ETH/USDT:USDT,4h,stop_fraction,0.9,0.03147347270346045,408
mid,ETH/USDT:USDT,4h,stop_fraction,0.95,0.04109013365412879,408
proximal,SOL/USDT:USDT,15m,zone_width_atr,0.05,0.5557484561768714,6622
proximal,SOL/USDT:USDT,15m,zone_width_atr,0.1,0.6835783041559637,6622
proximal,SOL/USDT:USDT,15m,zone_width_atr,0.25,0.9317020167669604,6622
proximal,SOL/USDT:USDT,15m,zone_width_atr,0.33,1.056177826597422,6622
proximal,SOL/USDT:USDT,15m,zone_width_atr,0.5,1.3462971531812493,6622
proximal,SOL/USDT:USDT,15m,zone_width_atr,0.67,1.714802773997174,6622
proximal,SOL/USDT:USDT,15m,zone_width_atr,0.75,1.943741915550321,6622
proximal,SOL/USDT:USDT,15m,zone_width_atr,0.9,2.8780191008411613,6622
proximal,SOL/USDT:USDT,15m,zone_width_atr,0.95,3.86610863900638,6622
proximal,SOL/USDT:USDT,15m,stop_fraction,0.05,0.0034089164535772536,6622
proximal,SOL/USDT:USDT,15m,stop_fraction,0.1,0.004226152670889433,6622
proximal,SOL/USDT:USDT,15m,stop_fraction,0.25,0.006282971944445647,6622
proximal,SOL/USDT:USDT,15m,stop_fraction,0.33,0.00716967506639169,6622
proximal,SOL/USDT:USDT,15m,stop_fraction,0.5,0.009505234423642565,6622
proximal,SOL/USDT:USDT,15m,stop_fraction,0.67,0.012619836281190967,6622
proximal,SOL/USDT:USDT,15m,stop_fraction,0.75,0.014969003630230954,6622
proximal,SOL/USDT:USDT,15m,stop_fraction,0.9,0.023531020185681997,6622
proximal,SOL/USDT:USDT,15m,stop_fraction,0.95,0.030721717160548185,6622
mid,SOL/USDT:USDT,15m,zone_width_atr,0.05,0.5557484561768714,6622
mid,SOL/USDT:USDT,15m,zone_width_atr,0.1,0.6835783041559637,6622
mid,SOL/USDT:USDT,15m,zone_width_atr,0.25,0.9317020167669604,6622
mid,SOL/USDT:USDT,15m,zone_width_atr,0.33,1.056177826597422,6622
mid,SOL/USDT:USDT,15m,zone_width_atr,0.5,1.3462971531812493,6622
mid,SOL/USDT:USDT,15m,zone_width_atr,0.67,1.714802773997174,6622
mid,SOL/USDT:USDT,15m,zone_width_atr,0.75,1.943741915550321,6622
mid,SOL/USDT:USDT,15m,zone_width_atr,0.9,2.8780191008411613,6622
