scope,fill,segment,exclude_symbol,seeds,num_cells,long_only_return,long_only_mdd,long_only_return_over_mdd,actual_trades,actual_return,actual_mdd,actual_return_over_mdd,null_mean_trades,null_mean_return,null_mean_mdd,null_mean_return_over_mdd,null_median_return_over_mdd,p_return,p_return_over_mdd
1h,pen_5bp,is,ETH,20,8,140.04728295818342,0.09701945280249978,1443.496937086157,2837,1427.7740870546736,0.11469384548554327,12448.567584514716,3096.0,30.10966022419757,0.3269065523919584,99.75000478498782,90.25610256857891,0.047619047619047616,0.047619047619047616
1h,pen_5bp,oos_warm,ETH,20,8,1.6324865678844591,0.14029154235664532,11.636386203057034,1436,6.2293452776635965,0.1739368677493766,35.813829225896946,1579.7,0.12028591623157998,0.5256036698873525,0.5085396340734819,-0.17729209025217132,0.047619047619047616,0.047619047619047616
1h,pen_5bp,is,DOGE,20,8,98.98583659584165,0.10039300917163922,985.9833609191675,2864,902.5019590011468,0.13353358763882625,6758.613881042279,3118.6,19.353700972323487,0.3343858178454103,63.45366196254673,48.768451380308676,0.047619047619047616,0.047619047619047616
1h,pen_5bp,oos_warm,DOGE,20,8,3.0603311284761956,0.09762346036883442,31.348316448872612,1459,9.20767844641986,0.16419531843936314,56.07759425747714,1591.45,0.5161254199584713,0.43704933187850353,1.5126512769581677,0.5960454878596453,0.047619047619047616,0.047619047619047616
1h,pen_5bp,is,LINK,20,8,103.70262240409822,0.11542589138822638,898.4346679663246,2778,1158.8144579720802,0.15426772101628408,7511.710488351344,3009.75,20.05362427870417,0.33500685830961047,63.99903187817218,60.67323997054265,0.047619047619047616,0.047619047619047616
1h,pen_5bp,oos_warm,LINK,20,8,2.693590880256315,0.14110870762888356,19.088764439261038,1423,7.104148188507045,0.1284029062700922,55.3270046206248,1523.55,0.5622155844551113,0.41350497469247427,1.7703202012414618,0.8300756864253707,0.047619047619047616,0.047619047619047616
1h,pen_5bp,is,ETH+DOGE+LINK,20,6,39.507981345956644,0.09341090103378506,422.9482952066516,2135,345.4507036353486,0.12736132546827303,2712.367371847145,2438.3,9.057434651146007,0.320275151314098,30.358102744934587,29.935601162137623,0.047619047619047616,0.047619047619047616
1h,pen_5bp,oos_warm,ETH+DOGE+LINK,20,6,1.2485246300868214,0.15707624897799627,7.948525879693744,1010,2.532999377737059,0.13730632578539673,18.447798113074683,1126.9,0.08997392642892157,0.43499130351100285,0.3559211062570401,-0.10589913378612022,0.047619047619047616,0.047619047619047616
2h,baseline,is,,20,9,33.884370438856756,0.09830089072155358,344.70054330267857,1625,273.8008985405426,0.10285175492734502,2662.0926277238236,1698.5,15.553930525025581,0.2501362866367483,65.37780970723304,67.3211678070222,0.047619047619047616,0.047619047619047616
2h,baseline,oos_warm,,20,9,2.225571388224444,0.07736037610726153,28.768880145291046,845,4.392497272536136,0.10672975348624791,41.15532107082125,864.3,1.1090817034948448,0.2423901984396072,5.136889202671932,4.772561828217635,0.047619047619047616,0.047619047619047616
2h,baseline,is,ETH,20,8,25.572282254971505,0.11079090721758769,230.81571310494684,1471,184.986938867011,0.11787064514208054,1569.4063491722547,1610.2,12.897936746498278,0.25664325741323457,53.104469842665914,46.623096678439154,0.047619047619047616,0.047619047619047616
2h,baseline,oos_warm,ETH,20,8,1.5910134984076962,0.0915420266373216,17.38014283549892,744,3.2064626600282535,0.1152087960889139,27.831752165465073,794.05,0.7869002049886259,0.25111962762309703,3.477205617760076,3.0487814910737376,0.047619047619047616,0.047619047619047616
2h,baseline,is,DOGE,20,8,21.583544250764227,0.0882824528088025,244.48283395012524,1467,133.97885260295428,0.10959001789485481,1222.5461330930625,1603.7,10.748181055502142,0.26292242038267094,44.11472059219297,42.403367010381814,0.047619047619047616,0.047619047619047616
2h,baseline,oos_warm,DOGE,20,8,1.9375771478159214,0.0809157000915542,23.945626690785577,743,3.781215124030083,0.12181212692005595,31.04136853723649,789.45,0.9702153270136433,0.22768990291158225,4.752380987523512,4.130783526857349,0.047619047619047616,0.047619047619047616
2h,baseline,is,LINK,20,8,23.348712649872365,0.10395551035095628,224.60293418835187,1417,153.9598245723967,0.11089808014717477,1388.3001794807806,1520.7,12.495688649463736,0.24497114399985315,54.26192695806767,47.51271168605368,0.047619047619047616,0.047619047619047616
2h,baseline,oos_warm,LINK,20,8,2.1735224256962735,0.0675012382626811,32.19974154011827,739,3.450866480301151,0.09478260453721134,36.40822593080729,771.8,1.1861017525006337,0.21324837398877147,6.0078914659475755,5.415830943136871,0.047619047619047616,0.047619047619047616
