symbol,timeframe,variant,is_placebo,segment,real_total_return,real_num_trades,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations
SOL/USDT:USDT,1h,sma20_stdev2_bollinger,False,IS,-0.05029311497482431,47,48,-0.022584472948433385,-0.056217170186409746,-0.012255851575926135,0.92,100
SOL/USDT:USDT,1h,sma20_atr2,False,IS,-0.012318746055023257,47,48,-0.022584472948433385,-0.056217170186409746,-0.012255851575926135,0.07,100
SOL/USDT:USDT,1h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,0.048824227097765106,26,48,-0.0027786289249295483,-0.1193451361457559,0.08598526709313173,0.13,100
SOL/USDT:USDT,1h,sma20_atr2_placebo_shuffled_anchor,True,IS,0.048824227097765106,26,48,-0.0027786289249295483,-0.1193451361457559,0.08598526709313173,0.13,100
SOL/USDT:USDT,1h,close_pct2,False,OOS,0.042176906956980384,5,22,-0.0167257549029102,-0.05116354454584398,0.049387256897903534,0.04,100
SOL/USDT:USDT,1h,close_atr2,False,OOS,-0.016587477421514087,4,22,0.0007736413869962891,-0.041181480565731725,0.061218449039720506,0.63,100
SOL/USDT:USDT,1h,sma20_stdev2_bollinger,False,OOS,0.044574684682674164,18,22,0.019617053138624153,-0.059153092968524834,0.08016299844417007,0.24,100
SOL/USDT:USDT,1h,sma20_atr2,False,OOS,0.02272533929220026,20,22,0.029381393137116102,-0.013652844555478622,0.07272327142880095,0.7,100
SOL/USDT:USDT,1h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,0.08603769393503917,11,22,-0.016094146610562906,-0.08613777425498247,0.056288050511794974,0.0,100
SOL/USDT:USDT,1h,sma20_atr2_placebo_shuffled_anchor,True,OOS,0.08603769393503917,11,22,-0.016094146610562906,-0.08613777425498247,0.056288050511794974,0.0,100
SOL/USDT:USDT,1d,close_pct2,False,IS,0.0028616947810518466,2,2,0.0012448438729190485,0.0012448438729190457,0.0012448438729190457,0.0,100
SOL/USDT:USDT,1d,close_atr2,False,IS,0.0,0,2,,,,,0
SOL/USDT:USDT,1d,sma20_stdev2_bollinger,False,IS,0.0012448438729190457,2,2,0.0012448438729190485,0.0012448438729190457,0.0012448438729190457,1.0,100
SOL/USDT:USDT,1d,sma20_atr2,False,IS,0.0012448438729190457,2,2,0.0012448438729190485,0.0012448438729190457,0.0012448438729190457,1.0,100
SOL/USDT:USDT,1d,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,0.011541424955627735,1,2,0.011541424955627731,0.011541424955627735,0.011541424955627735,1.0,100
SOL/USDT:USDT,1d,sma20_atr2_placebo_shuffled_anchor,True,IS,0.011541424955627735,1,2,0.011541424955627731,0.011541424955627735,0.011541424955627735,1.0,100
SOL/USDT:USDT,1d,close_pct2,False,OOS,-0.02013437635665741,2,2,-0.0201145078231364,-0.02011450782313641,-0.02011450782313641,1.0,100
SOL/USDT:USDT,1d,close_atr2,False,OOS,-0.010130375036033729,1,2,-0.010099806587871301,-0.010143909182207062,-0.010072775965536494,0.62,100
SOL/USDT:USDT,1d,sma20_stdev2_bollinger,False,OOS,-0.020182798157147953,2,2,-0.015609243798383876,-0.02011450782313641,-0.010072775965536494,1.0,100
SOL/USDT:USDT,1d,sma20_atr2,False,OOS,-0.02011450782313641,2,2,-0.0201145078231364,-0.02011450782313641,-0.02011450782313641,1.0,100
SOL/USDT:USDT,1d,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,-0.010072775965536494,1,2,-0.010099806587871301,-0.010143909182207062,-0.010072775965536494,0.62,100
SOL/USDT:USDT,1d,sma20_atr2_placebo_shuffled_anchor,True,OOS,-0.010072775965536494,1,2,-0.010099806587871301,-0.010143909182207062,-0.010072775965536494,0.62,100
