lens,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,1,190.0,115.0,-0.1056646798120426,0.14984553881068333,0.4
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,2,190.0,109.0,-0.06445007931509063,0.07879440347360574,0.42201834862385323
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,3,190.0,101.0,-0.05076344603448069,0.115729312699142,0.44554455445544555
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,4,190.0,108.0,-0.03654069197573408,0.08297853747707565,0.4351851851851852
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,5,190.0,122.0,-0.054185406315719595,0.10513054076826323,0.4672131147540984
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,6,190.0,99.0,0.10419551326460896,0.056057055411264545,0.5353535353535354
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,7,190.0,118.0,-0.10996994610339679,0.18288161181254795,0.4067796610169492
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,8,190.0,105.0,-0.014490953544847253,0.11744394500635248,0.41904761904761906
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,9,190.0,115.0,-0.022376910731396856,0.0524256404718824,0.45217391304347826
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,10,190.0,101.0,-0.1800299603278485,0.20596864473171253,0.3564356435643564
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,11,190.0,119.0,-0.046451710122230545,0.08207316754987704,0.44537815126050423
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,12,190.0,110.0,-0.09225476629354908,0.1249768856668991,0.39090909090909093
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,13,190.0,104.0,-0.1378232152200235,0.15222155152369005,0.38461538461538464
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,14,190.0,106.0,-0.08572923434283439,0.10350406961590619,0.42452830188679247
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,15,190.0,116.0,-0.05902802010915111,0.1281495780845,0.43103448275862066
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,16,190.0,99.0,-0.14142148551096834,0.16995590301540747,0.3838383838383838
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,17,190.0,109.0,-0.09279128515589163,0.1263627866340194,0.3944954128440367
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,18,190.0,101.0,-0.15052433220380462,0.16095087829902785,0.3564356435643564
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,19,190.0,109.0,-0.015168821821785423,0.09993892434897261,0.45871559633027525
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,-1,190.0,108.7,-0.07086615954207982,0.11961005388431911,0.4222443604118576
baseline,BTC/USDT:USDT,1h,is,default,-1,292.0,164.0,0.031649104963708485,0.14226507795464371,0.4878048780487805
baseline,BTC/USDT:USDT,1h,is,filter_bot3,-1,98.0,73.0,0.18353187468242485,0.0508803736803855,0.6164383561643836
baseline,BTC/USDT:USDT,1h,is,matched_random,0,98.0,70.0,-0.09326446148828509,0.14659565183930495,0.38571428571428573
baseline,BTC/USDT:USDT,1h,is,matched_random,1,98.0,76.0,0.07169751171063617,0.054687863739817016,0.5263157894736842
baseline,BTC/USDT:USDT,1h,is,matched_random,2,98.0,74.0,0.010687091090913783,0.06775869161624044,0.4864864864864865
baseline,BTC/USDT:USDT,1h,is,matched_random,3,98.0,76.0,-0.052049429270714424,0.1432701563656376,0.4473684210526316
baseline,BTC/USDT:USDT,1h,is,matched_random,4,98.0,74.0,-0.04194905251316941,0.1187895615831152,0.4594594594594595
baseline,BTC/USDT:USDT,1h,is,matched_random,5,98.0,79.0,-0.10489053749940212,0.14440634405970132,0.4050632911392405
baseline,BTC/USDT:USDT,1h,is,matched_random,6,98.0,76.0,-0.04924933049872816,0.11356016071201075,0.4605263157894737
baseline,BTC/USDT:USDT,1h,is,matched_random,7,98.0,75.0,-0.033261149537465465,0.09926131480157598,0.4666666666666667
baseline,BTC/USDT:USDT,1h,is,matched_random,8,98.0,71.0,0.01521303724169593,0.09214709970717849,0.49295774647887325
baseline,BTC/USDT:USDT,1h,is,matched_random,9,98.0,75.0,-0.08688311474575676,0.17608998832236633,0.41333333333333333
baseline,BTC/USDT:USDT,1h,is,matched_random,10,98.0,68.0,-0.09438262221263066,0.14396602274808334,0.39705882352941174
baseline,BTC/USDT:USDT,1h,is,matched_random,11,98.0,73.0,0.08908849147364926,0.0584411832875408,0.5342465753424658
baseline,BTC/USDT:USDT,1h,is,matched_random,12,98.0,77.0,-0.03443134288747042,0.10324825578196675,0.4675324675324675
baseline,BTC/USDT:USDT,1h,is,matched_random,13,98.0,72.0,-0.08011359571850553,0.09428444859825279,0.4027777777777778
baseline,BTC/USDT:USDT,1h,is,matched_random,14,98.0,78.0,0.045019408235552325,0.11303356834748983,0.48717948717948717
baseline,BTC/USDT:USDT,1h,is,matched_random,15,98.0,74.0,-0.03524579267433492,0.07740235397825265,0.43243243243243246
baseline,BTC/USDT:USDT,1h,is,matched_random,16,98.0,68.0,-0.06890108683446051,0.13599866834140045,0.45588235294117646
baseline,BTC/USDT:USDT,1h,is,matched_random,17,98.0,74.0,0.04734286508027853,0.0948259826998749,0.5135135135135135
baseline,BTC/USDT:USDT,1h,is,matched_random,18,98.0,72.0,-0.0075204546565782945,0.11653597114181533,0.4861111111111111
baseline,BTC/USDT:USDT,1h,is,matched_random,19,98.0,73.0,-0.026200487796427113,0.10697896604459733,0.4520547945205479
baseline,BTC/USDT:USDT,1h,is,matched_random,-1,98.0,73.75,-0.026464702675060143,0.11006411268581114,0.4586340565737263
baseline,BTC/USDT:USDT,1h,oos,default,-1,217.0,109.0,0.16239933402549997,0.0929564880659948,0.5229357798165137
baseline,BTC/USDT:USDT,1h,oos,filter_bot3,-1,70.0,43.0,0.0424100980336023,0.03954851333114999,0.5348837209302325
baseline,BTC/USDT:USDT,1h,oos,matched_random,0,70.0,51.0,0.06981948362088351,0.03207093679000504,0.5294117647058824
baseline,BTC/USDT:USDT,1h,oos,matched_random,1,70.0,48.0,0.08157456343484427,0.05583896416210767,0.5416666666666666
baseline,BTC/USDT:USDT,1h,oos,matched_random,2,70.0,47.0,0.12517950335468667,0.049156547645294604,0.5531914893617021
baseline,BTC/USDT:USDT,1h,oos,matched_random,3,70.0,48.0,-0.0426627156922008,0.11234333953711512,0.4166666666666667
baseline,BTC/USDT:USDT,1h,oos,matched_random,4,70.0,50.0,0.08065885477663487,0.056759513925198284,0.52
baseline,BTC/USDT:USDT,1h,oos,matched_random,5,70.0,47.0,-0.0534008798735631,0.14073389743985162,0.3829787234042553
baseline,BTC/USDT:USDT,1h,oos,matched_random,6,70.0,52.0,-0.026070651840469146,0.08996554135978937,0.46153846153846156
baseline,BTC/USDT:USDT,1h,oos,matched_random,7,70.0,48.0,0.14880330586955934,0.04188738026705128,0.625
baseline,BTC/USDT:USDT,1h,oos,matched_random,8,70.0,48.0,0.10203809978190384,0.06491456784207518,0.5625
baseline,BTC/USDT:USDT,1h,oos,matched_random,9,70.0,49.0,0.06911400929023857,0.05981586901091807,0.4897959183673469
baseline,BTC/USDT:USDT,1h,oos,matched_random,10,70.0,47.0,0.06357475367502302,0.07027983704459873,0.5106382978723404
baseline,BTC/USDT:USDT,1h,oos,matched_random,11,70.0,52.0,0.08125352406914207,0.061942929910599735,0.5384615384615384
baseline,BTC/USDT:USDT,1h,oos,matched_random,12,70.0,47.0,-0.03374444563862962,0.07508252720463413,0.40425531914893614
baseline,BTC/USDT:USDT,1h,oos,matched_random,13,70.0,50.0,0.09790052525609354,0.08859271636312416,0.56
baseline,BTC/USDT:USDT,1h,oos,matched_random,14,70.0,48.0,-0.07119429662297516,0.11940951699458083,0.375
baseline,BTC/USDT:USDT,1h,oos,matched_random,15,70.0,51.0,0.09634194307634862,0.07127990419870919,0.5490196078431373
baseline,BTC/USDT:USDT,1h,oos,matched_random,16,70.0,48.0,0.10110230867830232,0.04471551927945867,0.5416666666666666
baseline,BTC/USDT:USDT,1h,oos,matched_random,17,70.0,49.0,0.010545557250863202,0.0711604558046003,0.46938775510204084
baseline,BTC/USDT:USDT,1h,oos,matched_random,18,70.0,53.0,-0.023018608864326235,0.09063545716947655,0.4528301886792453
baseline,BTC/USDT:USDT,1h,oos,matched_random,19,70.0,47.0,0.01973251832932474,0.12506040215974476,0.48936170212765956
baseline,BTC/USDT:USDT,1h,oos,matched_random,-1,70.0,49.0,0.044877367596584214,0.07608229120544666,0.4986685383306272
pen_5bp,BTC/USDT:USDT,1h,is,default,-1,271.0,156.0,-0.044547385473917164,0.15340978955794163,0.46153846153846156
