arm,segment,zone_id,group,num_trades,num_classified,share_of_classified,stop_rate,mean_net_r,sum_net_r,share_of_net_total,same_minute_share,median_gap_minutes,invalidation_bar_share,duplicate_share,reentry_share
no_same_step_reopen,is,real,prev_tp_same_zone,5971,29583,20.183889395936855,60.47563222240831,-0.12725532992892244,-759.8415750055944,38.02012427871961,0.0,165.0,29.894490035169987,0.0,29.77725674091442
no_same_step_reopen,is,real,prev_tp_other_zone,6268,29583,21.18784437007741,57.53031269942566,-0.04306934531268557,-269.95865641991406,13.507896915387565,0.0,1504.0,22.112316528398214,0.0,0.7179323548181238
no_same_step_reopen,is,proxy,prev_stop_same_zone,58,29583,0.19605854713855933,55.172413793103445,-0.010534394482990313,-0.6109948800134366,0.03057229564149764,0.0,876.5,22.413793103448278,0.0,0.0
no_same_step_reopen,is,proxy,prev_stop_other_zone,17286,29583,58.43220768684717,58.41143121601296,-0.05589595750880922,-966.2175214972756,48.34653887862398,0.0,1031.0,26.1598981835011,0.0,2.371861622121948
no_same_step_reopen,is,proxy,prev_tp_same_zone,5974,29583,20.194030355271607,60.47874121191831,-0.12734869690054268,-760.7811152838403,38.06713597078648,0.0,165.0,29.896216940073653,0.0,29.779042517576162
no_same_step_reopen,is,proxy,prev_tp_other_zone,6265,29583,21.17770341074266,57.525937749401436,-0.042940002576483165,-269.01911614166795,13.460885223320682,0.0,1504.0,22.106943335993616,0.0,0.7023144453312051
no_same_step_reopen,oos_warm,real,prev_stop_same_zone,16,13136,0.12180267965895249,43.75,0.2770387053908355,4.432619286253368,-0.35730515713584476,0.0,310.5,0.0,0.0,0.0
no_same_step_reopen,oos_warm,real,prev_stop_other_zone,7735,13136,58.883982947624844,59.00452488687783,-0.08890110151402568,-687.6500202109892,55.430183072102004,0.0,1119.0,21.835811247575954,0.0,2.1331609566903684
no_same_step_reopen,oos_warm,real,prev_tp_same_zone,2531,13136,19.267661388550547,60.72698538127222,-0.1547187417740698,-391.59313543017043,31.565590851015727,0.0,190.0,24.338206242591863,0.0,26.906361122086132
no_same_step_reopen,oos_warm,real,prev_tp_other_zone,2854,13136,21.72655298416565,57.393132445690256,-0.05824261766547696,-166.22443081727113,13.399040733584563,0.0,1681.0,16.39803784162579,0.0,0.4905395935529082
