timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,broke_rate,mean_r
1h,oos,rsi_slope_5_3,Q3,3,-0.9503782470389766,11.86564616924435,187,0.47058823529411764,0.3235294117647059
1h,oos,rsi_slope_10_5,Q1,1,-22.450382719861096,-4.76638601829908,187,0.44919786096256686,0.3770053475935829
1h,oos,rsi_slope_10_5,Q2,2,-4.7341907159262675,-0.35772200821621425,186,0.489247311827957,0.2768817204301075
1h,oos,rsi_slope_10_5,Q3,3,-0.33230288988981016,9.446110412187288,187,0.5187165775401069,0.20320855614973263
1h,oos,rsi_slope_14_5,Q1,1,-12.554313098630075,-3.4213508003763735,187,0.43315508021390375,0.41711229946524064
1h,oos,rsi_slope_14_5,Q2,2,-3.41477514842488,-0.2830963755979923,186,0.5698924731182796,0.07526881720430108
1h,oos,rsi_slope_14_5,Q3,3,-0.25672806050451413,7.429311397808718,187,0.45454545454545453,0.36363636363636365
1h,oos,zone_width_atr,Q1,1,0.2315656469356457,1.2046230385022973,187,0.3850267379679144,0.5374331550802139
1h,oos,zone_width_atr,Q2,2,1.2143930284862108,2.069038504154134,186,0.4946236559139785,0.26344086021505375
1h,oos,zone_width_atr,Q3,3,2.072466056067796,9.122627068086844,187,0.5775401069518716,0.05614973262032086
