arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades
loss-3R_reentry,하루 -3R · 재진입 재무장만,loss,-3.0,,reentry,is,48,12,31193,0.4120796332510499,-0.07205011106144547,-2247.4591143396688,-12.828486663865977,7.493865694531027,-1.711865035588791,24,189.7133842665579,24554,False,717,1417,0.5059985885673959,12206,0.35271340230017917,0.030199083127624787,0.10224919418907052,0.03630429323148582,0.02497419194232466,0.010458514466354147,0.02902891286789926,0.0,0.001483281681006236,2.842170943040401e-14,0.009362400533160915,1047,0,2169
loss-3R_reentry,하루 -3R · 재진입 재무장만,loss,-3.0,,reentry,oos_warm,48,12,13659,0.4058130170583498,-0.10503516346923847,-1434.6752978263282,-8.964097378590342,8.105594741029892,-1.1059148236482608,16,1737.4559775687037,11027,False,344,709,0.48519040902679833,5620,0.3790893760539629,0.014422007202831133,0.11945717067206958,0.04315497227801327,0.029539006166105407,0.012279901656338748,0.03449294223875039,1.3773594752870173e-05,-2.3425261891447043e-05,2.842170943040401e-14,0.00734435017383366,327,0,639
loss-3R_reentry,하루 -3R · 재진입 재무장만,loss,-3.0,,reentry,oos,48,12,13414,0.40509915014164305,-0.10760381093861612,-1443.3975199305967,-8.95474536208011,8.252280388532418,-1.0851237404056042,16,80.85083448693243,11095,False,343,708,0.4844632768361582,5393,0.3712908777969019,0.012598177783725217,0.1202019887223413,0.04346827056956227,0.02968834822763487,0.012303559635364744,0.034741232570218765,1.5996577207110034e-05,-1.5418857646734505e-05,2.842170943040401e-14,0.007290631476522235,309,0,641
loss-5R_reentry,하루 -5R · 재진입 재무장만,loss,-5.0,,reentry,full,48,12,45271,0.4104172649157297,-0.08192469958315572,-3708.8130748290428,-21.75429008083753,12.514048165224379,-1.7383895118200925,24,270.2027399042701,38606,False,852,2125,0.40094117647058825,14848,0.30037830511217656,0.026009811941054308,0.10793451152421192,0.03854974343557092,0.026474808727225355,0.011060113315383306,0.030820219132618707,4.15571846721861e-06,0.0010254711949451577,2.842170943040401e-14,0.00863484334348444,1831,0,2831
loss-5R_reentry,하루 -5R · 재진입 재무장만,loss,-5.0,,reentry,is,48,12,31483,0.41222246926912937,-0.07218129543597933,-2272.483724210937,-12.854621594724527,7.579090806585522,-1.6960638053782207,24,270.2027399042701,24818,False,565,1417,0.3987297106563162,10290,0.2973472808183552,0.030556173172823428,0.10273746860880287,0.036490169488821535,0.02509180673703487,0.010501850176139112,0.029177539523264868,0.0,0.0014761026835423121,2.842170943040401e-14,0.00929894342102378,1360,0,2185
loss-5R_reentry,하루 -5R · 재진입 재무장만,loss,-5.0,,reentry,oos_warm,48,12,13788,0.4062953292718306,-0.10417242171584971,-1436.3293506181358,-8.899668486113008,8.041495634666374,-1.1067180647026786,16,78.0544968255097,11048,False,287,709,0.40479548660084624,4558,0.3074536256323777,0.01562882190190531,0.11980124361775497,0.04325249703040058,0.02963270339339615,0.01233483034561439,0.034571051895984334,1.3644729527810683e-05,-3.4837771685554658e-06,2.842170943040401e-14,0.007305419580430846,471,0,646
loss-5R_reentry,하루 -5R · 재진입 재무장만,loss,-5.0,,reentry,oos,48,12,13540,0.4057607090103397,-0.10626574853004986,-1438.838235096875,-8.859671751001903,8.156419320024135,-1.0862207303701603,16,64.60555344654708,11099,False,285,708,0.4025423728813559,4347,0.29927710843373495,0.014253468005235604,0.12051921653528543,0.04354884106434116,0.029780299853317194,0.012363614121179787,0.034805805598163646,1.5847716887457457e-05,4.808181396006744e-06,2.842170943040401e-14,0.0072732790225978495,449,0,648
loss-8R_reentry,하루 -8R · 재진입 재무장만,loss,-8.0,,reentry,full,48,12,45609,0.41007257339560177,-0.0832029530045479,-3794.803483584425,-22.240500579380615,12.996008535577289,-1.7113331772979388,24,78.09086262812082,39150,False,636,2125,0.2992941176470588,11850,0.23972810584451054,0.02514833029409699,0.10835128329864654,0.03871276734653569,0.02657264790279595,0.011092570630238543,0.030950603849099534,4.124921193831342e-06,0.0010185686487820002,2.842170943040401e-14,0.008593251763848344,2206,0,2838
loss-8R_reentry,하루 -8R · 재진입 재무장만,loss,-8.0,,reentry,is,48,12,31719,0.41227655348529274,-0.07239023330127643,-2296.1458100831874,-13.04878845874193,7.807958147542025,-1.6712164963191738,24,78.09086262812082,25260,False,425,1417,0.29992942836979536,8340,0.24099867075073686,0.030691383713231817,0.1030816170145082,0.03660365052076492,0.025186964168826084,0.010551642237261077,0.029268278956406768,0.0,0.0014710811312493633,2.842170943040401e-14,0.009247924170821821,1623,0,2190
loss-8R_reentry,하루 -8R · 재진입 재무장만,loss,-8.0,,reentry,oos_warm,48,12,13890,0.40503959683225343,-0.10789472091441807,-1498.657673501267,-9.1917121206387,8.352264585783399,-1.100505381053678,16,109.76398551645943,11187,False,211,709,0.29760225669957685,3510,0.23676222596964586,0.012490294916016586,0.12038501583043465,0.04352911555363604,0.029736974926394412,0.01232782676392129,0.034792336266041224,1.354453065006866e-05,-1.4782210208781598e-05,2.842170943040401e-14,0.007280848798584671,583,0,648
loss-8R_reentry,하루 -8R · 재진입 재무장만,loss,-8.0,,reentry,oos,48,12,13637,0.40463445039231505,-0.10963024424626162,-1495.0276407862698,-9.121578059779072,8.442216806919664,-1.0804719031028165,16,71.00430454668411,11210,False,210,708,0.2966101694915254,3348,0.23049913941480207,0.011438876350435589,0.12106912059669708,0.04380841952297931,0.029879519745682773,0.012358439711759156,0.03501347725852303,1.573499205515685e-05,-6.4706343024982126e-06,2.842170943040401e-14,0.007253223076724966,555,0,650
loss-10R_reentry,하루 -10R · 재진입 재무장만,loss,-10.0,,reentry,full,48,12,45822,0.40971585701191565,-0.08435421845529431,-3865.2789980584957,-22.67831249924097,13.689443330753457,-1.6566278081077217,24,118.75068026960527,39598,False,527,2125,0.248,10244,0.20723837268111103,0.02425669321250643,0.1086109116678025,0.03882103368652891,0.026630135069196523,0.011106572933225546,0.031037192788933163,4.105746818765084e-06,0.0010118714430983357,2.842170943040401e-14,0.008566841154169886,2469,0,2860
loss-10R_reentry,하루 -10R · 재진입 재무장만,loss,-10.0,,reentry,is,48,12,31878,0.41175732480080307,-0.07395314215506499,-2357.478265619162,-13.464252185483103,8.289098775132366,-1.624332457694485,24,118.75068026960527,25654,False,360,1417,0.25405786873676783,7331,0.21184187713113334,0.029393312002007656,0.10334645415707261,0.036722422587954016,0.02524209837796027,0.010559008005177378,0.029363249101331184,0.0,0.0014596760846496005,2.842170943040401e-14,0.00922455228512522,1804,0,2210
loss-10R_reentry,하루 -10R · 재진입 재무장만,loss,-10.0,,reentry,oos_warm,48,12,13944,0.40504876649454963,-0.10813258264768817,-1507.8007324393639,-9.214060313757868,8.422820094967665,-1.0939400592520003,16,18.97303530389681,11201,False,167,709,0.23554301833568406,2913,0.19649241146711635,0.01251364001602626,0.12064622266371441,0.043618762071523966,0.02980338762536575,0.012358385524757452,0.034864070074746095,1.3492077648411767e-05,-1.187471032757468e-05,2.842170943040401e-14,0.007266917850271169,665,0,650
loss-10R_reentry,하루 -10R · 재진입 재무장만,loss,-10.0,,reentry,oos,48,12,13687,0.4043983341857237,-0.11052171375962239,-1512.7106962279515,-9.164659984346873,8.519271994890286,-1.0757562371343092,16,471.24404122078965,11245,False,167,708,0.23587570621468926,2766,0.1904302925989673,0.010849123751800254,0.12137083751142262,0.04392417010919929,0.02994814163327457,0.012380643414343221,0.035106088908787365,1.5677510532342658e-05,-3.8840647143785775e-06,2.842170943040401e-14,0.007215323606032762,633,0,652
loss-15R_reentry,하루 -15R · 재진입 재무장만,loss,-15.0,,reentry,full,48,12,46274,0.4093443402342568,-0.08574050742351214,-3967.5562405156006,-23.171839465093335,14.831711131450405,-1.5623173388239622,24,283.5092569903774,40456,False,333,2125,0.15670588235294117,7343,0.14855050474398657,0.023328223114134714,0.10906873053764896,0.03901467459917716,0.026729059907699394,0.011127855712649489,0.031192068167228467,4.06564227707684e-06,0.001001006508615695,2.842170943040401e-14,0.008516933438411596,2968,0,2877
