cap_on,scope,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,adv_capped_entries,first_adv_cap_time,first_adv_cap_equity
True,2h,oos_warm,,9,9,395,0.5594936708860759,1.4532661295591145,0.09354882481907655,4,0.04010504603420117,3.1991673364060804,0,159,0,,
True,2h,oos,,9,9,378,0.5555555555555556,1.2627458370296627,0.10341710661052343,4,0.04010504603420116,3.1991673364060804,0,157,0,,
True,4h,full,,9,9,559,0.6100178890876565,10.087425797960655,0.09037676612439167,7,0.07,3.427839819273696,0,57,1,1782817080000.0,109829.09631555887
True,4h,is,,9,9,344,0.6337209302325582,4.397020812148576,0.09037676612439167,7,0.07,3.232231889439166,0,25,0,,
True,4h,oos_warm,,9,9,215,0.5720930232558139,1.0543603932382652,0.06300854459880434,5,0.04535375294728064,3.4278398192736965,0,32,0,,
True,4h,oos,,9,9,202,0.5594059405940595,0.85704165609101,0.05853109599862348,5,0.04535375294728063,3.427839819273697,0,31,0,,
True,both,oos_warm,BNB,32,8,3603,0.5528726061615321,133.23240323927345,0.13431758865925505,11,0.10135924091035686,5.0,0,2811,341,1760108340000.0,354686.3702109468
True,both,oos_warm,BTC,32,8,3613,0.5538333794630501,156.18941434652683,0.13424192418230416,11,0.10989005815510479,5.000000000000001,0,2799,383,1760108340000.0,324555.02654118254
True,both,oos_warm,DOGE,32,8,3384,0.5520094562647754,97.97652437358275,0.1368024051612444,11,0.10118209156116056,5.000000000000001,0,2683,285,1760108340000.0,248762.83796010076
True,both,oos_warm,ETH,32,8,3460,0.5447976878612717,75.79435644444133,0.16136680926377206,10,0.09621518477328185,5.0,0,2694,229,1761130500000.0,236853.82610750906
True,both,oos_warm,LINK,32,8,3405,0.5518355359765051,95.25421605928861,0.13157790572118536,8,0.07748859514630228,5.000000000000001,0,2679,190,1760108340000.0,234603.3290293752
True,both,oos_warm,LTC,32,8,3438,0.5561372891215823,142.32495420338003,0.12957203792313937,11,0.09851894496423484,5.000000000000001,0,2667,259,1760108340000.0,264031.07087134884
True,both,oos_warm,SOL,32,8,3355,0.5466467958271237,63.39617468744494,0.14154140809294544,9,0.08848415148488104,5.000000000000001,0,2621,201,1762184040000.0,230367.71574943175
True,both,oos_warm,TRX,32,8,3714,0.5533117932148627,165.15650690450812,0.169397055775885,11,0.10135924091035686,5.000000000000001,0,2890,332,1765415640000.0,485176.69431315147
True,both,oos_warm,XRP,32,8,3463,0.5532775050534219,121.01493286168417,0.1391441606037696,11,0.10178174903496133,5.0,0,2715,308,1760108340000.0,247345.21164869526
