lens,seed,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_concurrent_risk_ratio,liquidations
pen_5bp_drop_50,0,BTC/USDT:USDT,1h,oos,lev_3,3.0,0.00971163217930789,0.46153846153846156,0.09291911496295009,52,0.26521739130434785,0.15384615384615385,1.9635738804674405,2,0.02,0.0
pen_5bp_drop_50,1,BTC/USDT:USDT,1h,oos,single,1.0,-0.0263246343870087,0.425,0.07836169537242456,40,0.21739130434782608,0.0625,-5.260023117688308,1,,
pen_5bp_drop_50,1,BTC/USDT:USDT,1h,oos,lev_1,1.0,-0.046907914685588185,0.40476190476190477,0.09784492379539478,42,0.21739130434782608,0.011904761904761904,-9.419673832954619,2,0.02,0.0
pen_5bp_drop_50,1,BTC/USDT:USDT,1h,oos,lev_2,2.0,-0.05152913088455716,0.40476190476190477,0.10765434956316977,42,0.21739130434782608,0.011904761904761904,-9.372848275174666,2,0.02,0.0
pen_5bp_drop_50,1,BTC/USDT:USDT,1h,oos,lev_3,3.0,-0.050205484081788015,0.40476190476190477,0.11182130442822585,42,0.21739130434782608,0.011904761904761904,-8.757520313738736,2,0.02,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,1h,oos,single,1.0,0.006078001461686654,0.4418604651162791,0.07607920072421354,43,0.24782608695652175,0.10465116279069768,1.6970339681528201,1,,
pen_5bp_drop_50,2,BTC/USDT:USDT,1h,oos,lev_1,1.0,-0.014907938154287148,0.4222222222222222,0.08572606030304376,45,0.24782608695652175,0.05555555555555555,-2.32697773432182,2,0.02,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,1h,oos,lev_2,2.0,-0.02343426075348998,0.4222222222222222,0.09839384001269123,45,0.24782608695652175,0.05555555555555555,-3.4862829569127602,2,0.02,0.0
pen_5bp_drop_50,2,BTC/USDT:USDT,1h,oos,lev_3,3.0,-0.03060131641655935,0.4222222222222222,0.10111685451083335,45,0.24782608695652175,0.05555555555555555,-4.615143056233462,2,0.019999999999999997,0.0
pen_5bp_drop_50,3,BTC/USDT:USDT,1h,oos,single,1.0,-0.08132377151298698,0.35,0.10553323365571014,40,0.2391304347826087,-0.125,-18.299863550377072,1,,
pen_5bp_drop_50,3,BTC/USDT:USDT,1h,oos,lev_1,1.0,-0.1103429135021568,0.32558139534883723,0.13378764722629657,43,0.2391304347826087,-0.18604651162790697,-23.937732406717373,2,0.020000000000000004,0.0
pen_5bp_drop_50,3,BTC/USDT:USDT,1h,oos,lev_2,2.0,-0.12295654393682544,0.32558139534883723,0.15292574752675064,43,0.2391304347826087,-0.18604651162790697,-24.953436639948425,2,0.02,0.0
pen_5bp_drop_50,3,BTC/USDT:USDT,1h,oos,lev_3,3.0,-0.12779854578144895,0.32558139534883723,0.16080922826144398,43,0.2391304347826087,-0.18604651162790697,-24.750885829375154,2,0.02,0.0
pen_5bp_drop_50,4,BTC/USDT:USDT,1h,oos,single,1.0,-0.008669793493848192,0.4358974358974359,0.07987677364222515,39,0.1956521739130435,0.08974358974358974,-1.3980440208869753,1,,
pen_5bp_drop_50,4,BTC/USDT:USDT,1h,oos,lev_1,1.0,-0.030132566624370156,0.40476190476190477,0.08781887444893022,42,0.1956521739130435,0.011904761904761904,-5.79982747662324,3,0.020475626633505863,0.0
pen_5bp_drop_50,4,BTC/USDT:USDT,1h,oos,lev_2,2.0,-0.037679379512150626,0.40476190476190477,0.10857986739712683,42,0.1956521739130435,0.011904761904761904,-6.57621127382409,3,0.026516355842130405,0.0
pen_5bp_drop_50,4,BTC/USDT:USDT,1h,oos,lev_3,3.0,-0.04666144194115168,0.40476190476190477,0.1161702422308399,42,0.1956521739130435,0.011904761904761904,-8.063331430139579,3,0.03,0.0
baseline,0,ETH/USDT:USDT,15m,is,single,1.0,0.13721228285756187,0.49707602339181284,0.21217538159114394,513,0.5038709677419355,0.24269005847953215,5.95176261214613,1,,
baseline,0,ETH/USDT:USDT,15m,is,lev_1,1.0,0.19862753426642885,0.5028248587570622,0.21551769476076651,531,0.5038709677419355,0.2570621468926554,7.820773347141077,3,0.02232373501685522,0.0
baseline,0,ETH/USDT:USDT,15m,is,lev_2,2.0,0.3997851829556284,0.49907235621521334,0.23673254341310643,539,0.5038709677419355,0.24768089053803338,11.033872804293416,3,0.030097457666255174,0.0
baseline,0,ETH/USDT:USDT,15m,is,lev_3,3.0,0.37694241744548945,0.496309963099631,0.2766073911712531,542,0.5038709677419355,0.24077490774907748,10.073506682826517,4,0.03559841772811151,0.0
pen_5bp,0,ETH/USDT:USDT,15m,is,single,1.0,-0.023121776084394332,0.4802494802494803,0.24825039045441324,481,0.4529032258064516,0.20062370062370063,-0.11850363866035592,1,,
pen_5bp,0,ETH/USDT:USDT,15m,is,lev_1,1.0,0.029675163222576885,0.486,0.251439656899677,500,0.4529032258064516,0.215,2.0478895731402846,3,0.02232373501685522,0.0
pen_5bp,0,ETH/USDT:USDT,15m,is,lev_2,2.0,0.12980044232011223,0.48118811881188117,0.28432886028237025,505,0.4529032258064516,0.20297029702970298,4.9365234748289994,3,0.03009745766625517,0.0
pen_5bp,0,ETH/USDT:USDT,15m,is,lev_3,3.0,0.09410718296911473,0.47834645669291337,0.3272997846307365,508,0.4529032258064516,0.19586614173228348,3.831865234176529,4,0.0355984177281115,0.0
pen_5bp_drop_50,0,ETH/USDT:USDT,15m,is,single,1.0,-0.11865391642312224,0.45038167938931295,0.2305732695603908,262,0.22258064516129034,0.12595419847328243,-8.794122709888082,1,,
pen_5bp_drop_50,0,ETH/USDT:USDT,15m,is,lev_1,1.0,-0.08811040930059917,0.45925925925925926,0.22850788894660237,270,0.22258064516129034,0.14814814814814814,-5.990944244518852,2,0.02,0.0
pen_5bp_drop_50,0,ETH/USDT:USDT,15m,is,lev_2,2.0,-0.08771448895774102,0.45588235294117646,0.2853403561104741,272,0.22258064516129034,0.13970588235294118,-4.242904862489369,2,0.02,0.0
pen_5bp_drop_50,0,ETH/USDT:USDT,15m,is,lev_3,3.0,-0.10288424127923809,0.45588235294117646,0.3164920429576431,272,0.22258064516129034,0.13970588235294118,-4.867943831231063,2,0.02,0.0
pen_5bp_drop_50,1,ETH/USDT:USDT,15m,is,single,1.0,0.0044449448265904724,0.48398576512455516,0.22515639335382284,281,0.23290322580645162,0.2099644128113879,1.1928751143945484,1,,
pen_5bp_drop_50,1,ETH/USDT:USDT,15m,is,lev_1,1.0,0.019886266792330572,0.486013986013986,0.22432465524619882,286,0.23290322580645162,0.21503496503496503,2.245739834587614,3,0.021482742170597004,0.0
pen_5bp_drop_50,1,ETH/USDT:USDT,15m,is,lev_2,2.0,0.0826929577173476,0.486013986013986,0.27306607435263053,286,0.23290322580645162,0.21503496503496503,5.485554567591509,3,0.03,0.0
pen_5bp_drop_50,1,ETH/USDT:USDT,15m,is,lev_3,3.0,0.11074367714503497,0.486013986013986,0.2893646844906083,286,0.23290322580645162,0.21503496503496503,6.698660733400523,3,0.03,0.0
pen_5bp_drop_50,2,ETH/USDT:USDT,15m,is,single,1.0,-0.13002178457550018,0.4624505928853755,0.17666510474292801,253,0.2238709677419355,0.15612648221343872,-10.310210065767674,1,,
pen_5bp_drop_50,2,ETH/USDT:USDT,15m,is,lev_1,1.0,-0.09007878934821728,0.46946564885496184,0.18133449271521168,262,0.2238709677419355,0.1736641221374046,-6.397371861735848,3,0.02232373501685522,0.0
