barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate
zone,ETH/USDT:USDT,1h,oos,matched_random,6,81.0,63.0,0.363303490301808,0.0339870473359293,0.6825396825396826
zone,ETH/USDT:USDT,1h,oos,matched_random,7,81.0,55.0,0.1957432411492351,0.0367844498810883,0.6
zone,ETH/USDT:USDT,1h,oos,matched_random,8,81.0,63.0,0.2946148763458643,0.0381386774620084,0.6507936507936508
zone,ETH/USDT:USDT,1h,oos,matched_random,9,81.0,57.0,0.192526341178288,0.0320157165148249,0.6140350877192983
zone,ETH/USDT:USDT,1h,oos,matched_random,10,81.0,59.0,0.1722260074978432,0.0429166573505379,0.576271186440678
zone,ETH/USDT:USDT,1h,oos,matched_random,11,81.0,58.0,0.3079802823586435,0.0477067295877556,0.6724137931034483
zone,ETH/USDT:USDT,1h,oos,matched_random,12,81.0,58.0,0.1786121102134506,0.0496450029354025,0.603448275862069
zone,ETH/USDT:USDT,1h,oos,matched_random,13,81.0,57.0,0.1920928999157811,0.0836483937638226,0.6140350877192983
zone,ETH/USDT:USDT,1h,oos,matched_random,14,81.0,59.0,0.1252997587744659,0.04334076823737,0.559322033898305
zone,ETH/USDT:USDT,1h,oos,matched_random,15,81.0,52.0,0.1078932964733576,0.0422055440104437,0.5769230769230769
zone,ETH/USDT:USDT,1h,oos,matched_random,16,81.0,56.0,0.157497266088439,0.0667173809726372,0.5714285714285714
zone,ETH/USDT:USDT,1h,oos,matched_random,17,81.0,59.0,0.155523404193148,0.0433982423023092,0.559322033898305
zone,ETH/USDT:USDT,1h,oos,matched_random,18,81.0,61.0,0.2572079064732374,0.03343437439204,0.639344262295082
zone,ETH/USDT:USDT,1h,oos,matched_random,19,81.0,60.0,0.2174405602370352,0.0314587075713253,0.6166666666666667
zone,ETH/USDT:USDT,1h,oos,matched_random,-1,81.0,58.05,0.2034264308612664,0.0438459900069163,0.6064054864651363
atr,ETH/USDT:USDT,1h,oos,default,-1,205.0,128.0,0.0747987482000595,0.0880021156978173,0.4609375
atr,ETH/USDT:USDT,1h,oos,filter_bot3,-1,81.0,55.0,0.1176960619417141,0.0762359296626325,0.509090909090909
atr,ETH/USDT:USDT,1h,oos,matched_random,0,81.0,66.0,0.1284333159016967,0.0657419129647558,0.5151515151515151
atr,ETH/USDT:USDT,1h,oos,matched_random,1,81.0,67.0,0.0107533951126319,0.0658946077366794,0.4328358208955223
atr,ETH/USDT:USDT,1h,oos,matched_random,2,81.0,62.0,-0.0339360620454281,0.1087993841517457,0.4193548387096774
atr,ETH/USDT:USDT,1h,oos,matched_random,3,81.0,62.0,0.1227248669290109,0.0580982738725536,0.5161290322580645
atr,ETH/USDT:USDT,1h,oos,matched_random,4,81.0,62.0,-0.0720854582709936,0.135305025130406,0.3870967741935484
atr,ETH/USDT:USDT,1h,oos,matched_random,5,81.0,66.0,0.0027772981432985,0.112680316789427,0.4393939393939394
atr,ETH/USDT:USDT,1h,oos,matched_random,6,81.0,67.0,0.099211093180335,0.0631554681830859,0.4925373134328358
atr,ETH/USDT:USDT,1h,oos,matched_random,7,81.0,64.0,0.0615154223409368,0.0626603953165849,0.46875
atr,ETH/USDT:USDT,1h,oos,matched_random,8,81.0,69.0,0.1840641297679907,0.0737390110993295,0.5362318840579711
atr,ETH/USDT:USDT,1h,oos,matched_random,9,81.0,64.0,0.070526969568377,0.0702042671442784,0.484375
atr,ETH/USDT:USDT,1h,oos,matched_random,10,81.0,68.0,0.114603572311901,0.0459241118435012,0.5
