symbol,timeframe,segment,lens,unit,buffer,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data,would_be_stopped,rescued_tp,deeper_sl,unclosed_eod,rescue_net_r
SOL/USDT:USDT,4h,full,baseline,atr,0.1,126,88,76,0.6984126984126984,0.2403768940551581,0.0410719644651077,0.5789473684210527,11.942393349633798,0.3305899593963629,44,32,0,37,0,37,0,-4.39549994807433
SOL/USDT:USDT,4h,full,baseline,atr,0.25,126,88,76,0.6984126984126984,0.1655440899078054,0.0408419766954064,0.5921052631578947,9.34323231246075,0.2407244852493344,45,31,0,37,1,36,0,-8.277486150811972
SOL/USDT:USDT,4h,full,baseline,atr,0.5,126,88,75,0.6984126984126984,0.1363821643215862,0.0305322752162178,0.64,8.966113493975108,0.202006990607288,48,27,0,37,6,31,0,-3.4504513208938947
SOL/USDT:USDT,4h,full,pen_5bp,atr,0.0,126,87,75,0.6904761904761905,0.2853413138516916,0.0509585827243625,0.56,12.974747507436584,0.3999999999999999,42,33,0,0,0,0,0,0.0
SOL/USDT:USDT,4h,full,pen_5bp,atr,0.1,126,87,75,0.6904761904761905,0.1983879542986656,0.0508256469721891,0.56,10.14157840029614,0.28804455447933,42,33,0,38,0,38,0,-4.54016585754156
SOL/USDT:USDT,4h,full,pen_5bp,atr,0.25,126,87,75,0.6904761904761905,0.1312505820676042,0.0505738942035552,0.5733333333333334,7.606815888730014,0.2033467327853557,43,32,0,38,1,37,0,-8.639150924480052
SOL/USDT:USDT,4h,full,pen_5bp,atr,0.5,126,87,74,0.6904761904761905,0.1078258320365883,0.0425900819949711,0.6216216216216216,7.234245120491335,0.1698158033218075,46,28,0,38,6,32,0,-4.1211905547331105
SOL/USDT:USDT,4h,is,baseline,atr,0.0,72,44,38,0.6111111111111112,0.1839623396345101,0.02110188125852,0.6052631578947368,17.311087806082032,0.5131578947368423,23,15,0,0,0,0,0,0.0
SOL/USDT:USDT,4h,is,baseline,atr,0.1,72,44,38,0.6111111111111112,0.132952578921868,0.0222477755632276,0.6052631578947368,14.035482404994749,0.3732362372305412,23,15,0,17,0,17,0,-2.1615853320661995
SOL/USDT:USDT,4h,is,baseline,atr,0.25,72,44,38,0.6111111111111112,0.1047359305576817,0.0253298347806116,0.631578947368421,12.413434814176654,0.2989752972653499,24,14,0,17,1,16,0,-2.6926996107916215
SOL/USDT:USDT,4h,is,baseline,atr,0.5,72,44,38,0.6111111111111112,0.0916616111957293,0.0271626181874887,0.6842105263157895,12.55184966119604,0.2604037684745216,26,12,0,17,4,13,0,1.4753553420262442
SOL/USDT:USDT,4h,is,pen_5bp,atr,0.0,72,43,37,0.5972222222222222,0.1674289009064736,0.0211501361560286,0.5945945945945946,16.22995252107246,0.4864864864864865,22,15,0,0,0,0,0,0.0
SOL/USDT:USDT,4h,is,pen_5bp,atr,0.1,72,43,37,0.5972222222222222,0.1202766666298541,0.0222477755632276,0.5945945945945946,13.04535970634366,0.3509205561174339,22,15,0,17,0,17,0,-2.172103394765591
SOL/USDT:USDT,4h,is,pen_5bp,atr,0.25,72,43,37,0.5972222222222222,0.0952231854071004,0.0253298347806116,0.6216216216216216,11.556163927317998,0.2821699968022806,23,14,0,17,1,16,0,-2.718994767540099
