timeframe,segment,barrier,arm,bucket,n_trades,survival_rate,win_rate,mean_net_r,cost_r_median,breakeven_win_rate,win_rate_margin,cap_hit_rate,effective_risk_mean
1h,oos,atr,filter_bot3,0.3~0.5%,26,0.5769230769230769,0.5769230769230769,0.2026865983946435,0.2335893174189972,0.4934357269675988,0.083487349955478,1.0,0.0042323526507148
1h,oos,atr,filter_bot3,0.5~1%,94,0.4574468085106383,0.4574468085106383,-0.0013891968478574,0.1376172232414276,0.455046889296571,0.0023999192140672,1.0,0.0078703773859108
1h,oos,atr,filter_bot3,1~2%,127,0.4251968503937008,0.4251968503937008,-0.012367309837252,0.0754890103933558,0.4301956041573423,-0.0049987537636415,0.0,0.01
1h,oos,atr,filter_bot3,>2%,40,0.575,0.575,0.3949273257081614,0.0456441574807338,0.4182576629922935,0.1567423370077064,0.0,0.01
1h,oos,atr,matched_random,0~0.2%,0,,,,,,,,
1h,oos,atr,matched_random,0.2~0.3%,0,,,,,,,,
1h,oos,atr,matched_random,0.3~0.5%,77,0.5064935064935066,0.5064935064935064,0.0232907130504666,0.2379743602703624,0.4951897441081449,0.0113037623853615,1.0,0.0043576227783785
1h,oos,atr,matched_random,0.5~1%,289,0.5086505190311419,0.5086505190311419,0.1213865098326533,0.1467656275823477,0.458706251032939,0.0499442679982028,1.0,0.0076176116110973
1h,oos,atr,matched_random,1~2%,343,0.4285714285714286,0.4285714285714285,-0.0087105533316411,0.0811590464944457,0.4324636185977782,-0.0038921900263497,0.0,0.01
1h,oos,atr,matched_random,>2%,76,0.6447368421052632,0.6447368421052632,0.5688989590486874,0.0456431071723275,0.418257242868931,0.2264795992363321,0.0,0.01
1h,oos,zone,default,0~0.2%,21,0.8571428571428572,0.7619047619047619,0.1459056919756919,0.7372990071365354,0.6949196028546142,0.0669851590501476,1.0,0.0013458490729077
1h,oos,zone,default,0.2~0.3%,40,0.55,0.55,-0.0736425025187074,0.4433605138488492,0.5773442055395397,-0.0273442055395396,1.0,0.002443766996477
1h,oos,zone,default,0.3~0.5%,83,0.5542168674698795,0.5542168674698795,0.1080957341250987,0.2738114209433631,0.5095245683773453,0.0446922990925342,1.0,0.0039590112969257
1h,oos,zone,default,0.5~1%,178,0.5842696629213483,0.5842696629213483,0.3072151293455213,0.1538180678323321,0.4615272271329328,0.1227424357884154,1.0,0.0073912998180698
1h,oos,zone,default,1~2%,202,0.4504950495049504,0.4504950495049505,0.0440637600777259,0.0829657325649907,0.4331862930259963,0.0173087564789541,0.0,0.01
1h,oos,zone,default,>2%,84,0.3928571428571429,0.3928571428571428,-0.0619779129164281,0.0453205067982138,0.4181282027192855,-0.0252710598621426,0.0,0.01
1h,oos,zone,filter_bot3,0~0.2%,17,0.8823529411764706,0.7647058823529411,0.1089725126270899,1.12675738240389,0.850702952961556,-0.0859970706086148,1.0,0.0012221728301249
1h,oos,zone,filter_bot3,0.2~0.3%,36,0.6111111111111112,0.6111111111111112,0.0771028307982849,0.4431521713117833,0.5772608685247134,0.0338502425863977,1.0,0.0024292114574205
1h,oos,zone,filter_bot3,0.3~0.5%,67,0.5522388059701493,0.5522388059701493,0.1016152815757402,0.2738114209433631,0.5095245683773453,0.042714237592804,1.0,0.0039420461075479
1h,oos,zone,filter_bot3,0.5~1%,121,0.6198347107438016,0.6198347107438017,0.3887033722317401,0.1601005901316187,0.4640402360526475,0.1557944746911541,1.0,0.0070999886646859
1h,oos,zone,filter_bot3,1~2%,73,0.589041095890411,0.589041095890411,0.3855698967194778,0.088543559063196,0.4354174236252784,0.1536236722651325,0.0,0.01
1h,oos,zone,filter_bot3,>2%,4,0.75,0.75,0.8249869425927775,0.047484791194999,0.4189939164779996,0.3310060835220003,0.0,0.01
1h,oos,zone,matched_random,0~0.2%,101,0.8712871287128713,0.7326732673267327,-0.0010495280396688,1.12675738240389,0.850702952961556,-0.1180296856348233,1.0,0.0011496435864342
1h,oos,zone,matched_random,0.2~0.3%,57,0.6842105263157895,0.6842105263157895,0.2671785349777351,0.4372955696254203,0.5749182278501681,0.1092922984656213,1.0,0.0024821218288724
1h,oos,zone,matched_random,0.3~0.5%,129,0.7131782945736433,0.7131782945736435,0.5029729597540538,0.2834659616539023,0.513386384661561,0.1997919099120825,1.0,0.0039570447631876
1h,oos,zone,matched_random,0.5~1%,242,0.6942148760330579,0.6942148760330579,0.5776423966928559,0.1568206756493364,0.4627282702597345,0.2314866057733233,1.0,0.0072145708469944
