arm,lens,symbol,timeframe,window_start,window_end,window_days,adopted_entries,tp_entries,depth,is_n,is_wins,is_stops,is_gross_r_sum,is_net_pp_sum,oos_n,oos_wins,oos_stops,oos_gross_r_sum,oos_net_pp_sum,funding_coverage
band,baseline,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,130,74,3,2,1,1,0.5000000000000135,-1.8385177764319054,1,0,1,-1.0,-1.4899632749506322,0.8647003745318352
band,baseline,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,130,74,4,1,1,0,1.4999999999999851,0.6149215150027552,0,0,0,0.0,0.0,0.8647003745318352
freeze,pen_5bp,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,124,68,1,27,17,10,15.500000000000046,38.02833910577728,18,7,11,-0.5000000000000044,-3.8695793642117655,0.8647003745318352
freeze,pen_5bp,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,124,68,2,10,4,6,1.6209256159527285e-14,-2.1550581260629187,4,2,2,0.999999999999992,-0.5746538513311501,0.8647003745318352
freeze,pen_5bp,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,124,68,3,3,0,3,-3.0,-12.883653457486126,1,0,1,-1.0,-1.4899632749506322,0.8647003745318352
zone,pen_5bp,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,124,68,1,31,20,11,19.0,45.41159231240515,21,8,13,-1.0000000000000044,-4.477202827811658,0.8647003745318352
zone,pen_5bp,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,124,68,2,12,5,7,0.5,-4.676203785670507,4,2,2,0.999999999999992,-0.5746538513311501,0.8647003745318352
zone,pen_5bp,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,124,68,3,3,0,3,-3.0,-12.883653457486126,1,0,1,-1.0,-1.4899632749506322,0.8647003745318352
band,pen_5bp,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,124,68,1,22,14,8,12.999999999999979,28.368998584501526,16,8,8,4.000000000000023,1.8819272472497501,0.8647003745318352
band,pen_5bp,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,124,68,2,5,3,2,2.5000000000000115,6.109390087209501,4,2,2,0.9999999999999929,-1.182510657007592,0.8647003745318352
band,pen_5bp,ETH/USDT:USDT,2h,1600128000000,1784678400000,2136.0,124,68,3,2,1,1,0.4999999999999851,-1.8861101215135527,0,0,0,0.0,0.0,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,1,57,32,25,22.99999999999999,18.637058117602972,38,23,15,19.499999999999993,18.994478651042193,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,2,18,6,12,-2.9999999999999973,-3.204028062254003,14,8,6,5.9999999999999964,1.287917479690177,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,3,3,2,1,2.0,0.11849830641387404,4,2,2,0.9999999999999876,1.7757824503843047,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,4,1,1,0,1.5,2.2251418277882706,2,0,2,-2.0,-3.1761554716138205,0.8647003745318352
freeze,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,5,1,0,1,-1.0,-1.6767278851921807,0,0,0,0.0,0.0,0.8647003745318352
zone,baseline,ETH/USDT:USDT,1h,1600128000000,1784678400000,2136.0,250,157,1,64,33,31,18.5,13.140033008287823,42,25,17,20.499999999999986,19.997680210123708,0.8647003745318352
