arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,reentry,multiple,adopted_point,net_r_stderr,mean_gross_r_after_slippage,same_step_tp_trades,same_step_tp_trade_share,same_step_tp_net_r_share,exclude
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,full,True,44,11,46015,0.40551993915027706,-0.09484302238913869,0.08009000520655155,0.1054239860544146,0.026542451973425397,0.010904798338741724,0.031261085150879324,4.088526148635308e-06,0.0007966175520793794,0.1749330275956887,5.684341886080802e-14,0.008597608532049399,0.026813512310449764,-0.0079947643979063,14543,0.31604911441921113,5792,0,-25.871911460164437,16.938501348552098,-1.5274026271737415,22,97.21662296151227,97.21662296151227,40453,0,3090,True,1.5,True,0.0059393047142002,-0.025333980847863247,3946,0.08575464522438335,,-ADA
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,oos_warm,True,44,11,13779,0.4024239785180347,-0.11566746470399684,0.08079954311510508,0.11895644207904907,0.029954637682089332,0.012312918773328813,0.03525452141610889,1.3653641826653144e-05,-2.5165773300873667e-05,0.1964670078191026,5.684341886080802e-14,0.007197010760134759,0.021015010735456717,-0.00916389891696843,4435,0.321866608607301,1492,0,-9.653442749466135,9.326154680902626,-1.0350935706903623,16,470.70724377587294,470.70724377587294,11376,0,685,True,1.5,True,0.01088321163217058,-0.03815689896394379,936,0.06792945787067277,,-ADA
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,full,True,44,11,45782,0.4043510549997816,-0.09811771353495244,0.07726979228536177,0.10551208535625675,0.026570024138387934,0.0109241113469597,0.0312778857873083,2.642878319386072e-06,0.0011007563130813697,0.17538750582031246,5.684341886080802e-14,0.008582162911356262,0.026656463305380317,-0.007823361823360547,14544,0.31767943733344983,5596,0,-27.264965409177115,17.264002209220607,-1.5792957553385303,23,61.55465650322021,61.55465650322021,40482,0,3109,True,1.5,True,0.005950687532624894,-0.028242293070895416,3830,0.08365733257612162,,-BCH
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,oos_warm,True,44,11,13675,0.39882998171846434,-0.12488040219129397,0.07187003803498354,0.11902136983644167,0.02993260346760653,0.012241115363593139,0.035355267685893844,8.84798941266056e-06,0.00019123588332953825,0.1967504402262779,5.684341886080802e-14,0.00720558482132477,0.021172888351674322,-0.008893847727218327,4392,0.32117001828153563,1429,0,-10.59689744761624,8.306907617164761,-1.2756729623090568,16,27.104636608003826,27.104636608003826,10947,0,688,True,1.5,True,0.010906169693879716,-0.0471513318014577,892,0.06522851919561243,,-BCH
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,full,True,44,11,46579,0.40380858326713753,-0.09816131866427345,0.07506568830510069,0.10418163466964667,0.02622286439843115,0.010761878307141176,0.0309062951536143,4.030650419499789e-06,0.001150303790119843,0.1732270069693726,5.684341886080802e-14,0.008739453701029075,0.02722096020309951,-0.007647499999999245,14781,0.3173318448227742,5869,0,-27.86616830678141,19.46988445727754,-1.4312446675237187,24,131.5573183437847,131.5573183437847,41464,0,3096,True,1.5,True,0.005895527502895154,-0.029115946364546452,3986,0.08557504454797227,,-BNB
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,oos_warm,True,44,11,14075,0.4007815275310835,-0.11764942293843529,0.07560821216762294,0.11700983301768852,0.02945022360717461,0.012082200143848134,0.0347061474743422,1.3338803970861861e-05,-4.10794096647908e-06,0.19325763510605898,5.684341886080802e-14,0.007353126686854379,0.021710183306720063,-0.008498214285715788,4524,0.3214209591474245,1524,0,-10.389213410186223,9.797747667490752,-1.0603675214721004,16,567.4723169103185,567.4723169103185,11636,0,687,True,1.5,True,0.010753220702602834,-0.04140162085006543,935,0.06642984014209591,,-BNB
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,full,True,44,11,46850,0.4025186766275347,-0.10033517050426746,0.07131174995870243,0.10348656467444647,0.026011135773175938,0.010615909889855587,0.03077357450530317,4.007335451224775e-06,0.00075572828473637,0.17164692046296895,5.684341886080802e-14,0.008810376839947795,0.02740270253417911,-0.00761666666666547,14805,0.316008537886873,5811,0,-28.577941258282582,26.57806445572647,-1.075245389139886,24,160.5905347808735,160.5905347808735,43918,0,3114,True,1.5,True,0.005875086304923079,-0.0321748147157445,3958,0.08448239060832444,,-BTC
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,oos_warm,True,44,11,14159,0.39974574475598557,-0.11947398606511178,0.0726057950401351,0.11645184868067787,0.029285112757236907,0.011974736723687296,0.034589953975759,1.3259669884164186e-05,-0.00023513070199844704,0.19207978110524734,5.684341886080802e-14,0.00740983980722546,0.02200705409583508,-0.008467647058823757,4560,0.3220566424182499,1488,0,-10.34104131171008,9.144690527654117,-1.1308246332052598,16,66.60575092197855,66.60575092197855,11492,0,691,True,1.5,True,0.01071557754859411,-0.0438460536405425,936,0.06610636344374603,,-BTC
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,full,True,44,11,45849,0.40373835852472245,-0.0996926751599447,0.07593152494528048,0.10584716905310251,0.026639621750090804,0.010928935875329261,0.03140794968236007,1.4558095197659175e-06,0.0007990679348212407,0.17562420010522317,5.684341886080802e-14,0.00857682518853104,0.02656921686737914,-0.007850000000000596,14496,0.31616829156579207,5620,0,-27.80291301555335,25.515280264550153,-1.0896573632460365,22,307.39402241084366,307.39402241084366,43991,0,3104,True,1.5,True,0.005946067664755077,-0.029915644107822274,3837,0.08368775763920697,,-DOGE
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,oos_warm,True,44,11,13722,0.4025652237283195,-0.11519993898367421,0.08142960287010248,0.11908114381241407,0.029995068173113242,0.012343984663695759,0.03528224213991102,4.864262547132164e-06,-7.776119790399662e-05,0.19662954185377776,5.684341886080802e-14,0.007192613713185173,0.02087626914474928,-0.008916500994036942,4434,0.32313073895933536,1434,0,-9.47674154467485,8.49083562825963,-1.1161141211041559,16,100.15123073810003,100.15123073810003,11219,0,695,True,1.5,True,0.010909038966081731,-0.03765154094231135,913,0.06653549045328669,,-DOGE
매탭·재진입켬·1.5R,매탭·재진입켬·1.5R,False,every_tap,full,True,44,11,45675,0.4044006568144499,-0.09852720886830595,0.0776527519572692,0.10609671545688008,0.02668700294594199,0.010924176593405577,0.03151015615895608,4.118960716572604e-06,0.0009577907096736169,0.17617996082557322,5.684341886080802e-14,0.008544951250291503,0.026704415211669327,-0.00801029618404632,14466,0.3167159277504105,5694,0,-26.827943584818147,20.06140848084553,-1.3372911284087183,21,382.1138418403372,382.1138418403372,41194,0,3080,True,1.5,True,0.005960541380711726,-0.028443963499611435,3891,0.0851888341543514,,-DOT
