symbol,timeframe,segment,lens,tp_rule,r_multiple,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data
SOL/USDT:USDT,4h,full,pen_5bp,entry_r,1.5,126,87,75,0.6904761904761905,0.2853413138516916,0.0509585827243625,0.56,12.974747507436584,0.3999999999999999,42,33,0
SOL/USDT:USDT,4h,full,pen_5bp,zone_height,1.5,126,87,76,0.6904761904761905,0.3064912292949282,0.0674650283172502,0.5263157894736842,12.435811692188004,0.4009576083009812,40,36,0
SOL/USDT:USDT,4h,is,baseline,entry_r,1.5,72,44,38,0.6111111111111112,0.1839623396345101,0.02110188125852,0.6052631578947368,17.311087806082032,0.5131578947368423,23,15,0
SOL/USDT:USDT,4h,is,baseline,zone_height,1.5,72,44,38,0.6111111111111112,0.1946191915431627,0.0312625114361972,0.5526315789473685,15.801898871900413,0.517866884312329,21,17,0
SOL/USDT:USDT,4h,is,pen_5bp,entry_r,1.5,72,43,37,0.5972222222222222,0.1674289009064736,0.0211501361560286,0.5945945945945946,16.22995252107246,0.4864864864864865,22,15,0
SOL/USDT:USDT,4h,is,pen_5bp,zone_height,1.5,72,43,37,0.5972222222222222,0.207632330526782,0.0211501361560287,0.5675675675675675,17.257482165475768,0.558346526817223,21,16,0
SOL/USDT:USDT,4h,oos_warm,baseline,entry_r,1.5,54,44,38,0.8148148148148148,0.1288034100167548,0.0412724490098483,0.5526315789473685,12.251722167284656,0.3815789473684208,21,17,0
SOL/USDT:USDT,4h,oos_warm,baseline,zone_height,1.5,54,44,39,0.8148148148148148,0.109054382131937,0.0412724490098484,0.5128205128205128,9.811470114951982,0.3154474534506,20,19,0
SOL/USDT:USDT,4h,oos_warm,pen_5bp,entry_r,1.5,54,44,38,0.8148148148148148,0.1010017936455593,0.0509585827243625,0.5263157894736842,9.750746261706096,0.3157894736842103,20,18,0
SOL/USDT:USDT,4h,oos_warm,pen_5bp,zone_height,1.5,54,44,39,0.8148148148148148,0.0818617523472754,0.0608299827014559,0.4871794871794871,7.516439156308216,0.2516399163753161,19,20,0
SOL/USDT:USDT,4h,oos,baseline,entry_r,1.5,47,37,32,0.7872340425531915,0.0870083192687559,0.0412724490098482,0.53125,10.02308711985432,0.3281249999999998,17,15,0
SOL/USDT:USDT,4h,oos,baseline,zone_height,1.5,47,37,33,0.7872340425531915,0.0680394144833666,0.0412724490098484,0.4848484848484848,7.376261275325496,0.2517302656052773,16,17,0
SOL/USDT:USDT,4h,oos,pen_5bp,entry_r,1.5,47,37,32,0.7872340425531915,0.0602360859317223,0.0509585827243625,0.5,7.101678889349299,0.2499999999999998,16,16,0
SOL/USDT:USDT,4h,oos,pen_5bp,zone_height,1.5,47,37,33,0.7872340425531915,0.0418524205348425,0.0608299827014559,0.4545454545454545,4.710975253693313,0.176321358152669,15,18,0
BNB/USDT:USDT,4h,full,baseline,entry_r,1.5,107,71,61,0.6635514018691588,0.3620290124854666,0.0365578064770352,0.6229508196721312,19.996060101150057,0.5573770491803276,38,23,0
BNB/USDT:USDT,4h,full,baseline,zone_height,1.5,107,71,61,0.6635514018691588,0.3592404543144817,0.0365578064770354,0.6229508196721312,19.89339854909228,0.554173697621476,38,23,0
BNB/USDT:USDT,4h,full,pen_5bp,entry_r,1.5,107,70,60,0.6542056074766355,0.3431631558483088,0.0363784624916279,0.6166666666666667,19.38631292932222,0.5416666666666664,37,23,0
BNB/USDT:USDT,4h,full,pen_5bp,zone_height,1.5,107,70,60,0.6542056074766355,0.3411941559829551,0.0364819372868982,0.6166666666666667,19.3066973100988,0.5393961490328313,37,23,0
BNB/USDT:USDT,4h,is,baseline,entry_r,1.5,71,46,40,0.647887323943662,0.2251429162465778,0.0363784624916279,0.625,19.90176723486443,0.5625,25,15,0
BNB/USDT:USDT,4h,is,baseline,zone_height,1.5,71,46,40,0.647887323943662,0.2250123208637184,0.0364819372868982,0.625,19.873867133540113,0.5625458433872711,25,15,0
