scope,hold,floor,threshold,segment,num_trades,mean_net_r,se_net_r,fixed_return,fixed_mdd,compound_return,compound_mdd,compound_ruined
1w,24,0.03,25.0,is,9,1.1079895393620631,1.295546497706332,0.09971905854258556,0.03523453224880191,0.0980593638909788,0.03478034421182208,False
1w,24,0.03,25.0,oos_warm,3,-0.10512160191856838,0.189731725818562,-0.0031536480575570236,0.0056007457780155034,-0.0031611167472286317,0.0056081961332533625,False
__all__,4,0.04,15.0,full,941,0.14803160078467467,0.048804536006592784,1.3929773633837876,0.27828494570518136,2.6454556837320107,0.3792734990264016,False
__all__,4,0.04,15.0,is,694,0.13048667113578158,0.059146808524391595,0.9055774976823223,0.27828494570518136,1.2874611347446678,0.3792734990264016,False
__all__,4,0.04,15.0,oos_warm,247,0.19667175180222918,0.08346173211807521,0.48577922695150555,0.25646692794602066,0.5911165518034731,0.2963888501708054,False
__no15m__,4,0.04,15.0,full,861,0.15390947082837061,0.05273056824914231,1.3251605438322716,0.2791357044913845,2.414620105459034,0.36521601375433466,False
__no15m__,4,0.04,15.0,is,627,0.1352613025594452,0.06471983600184221,0.8480883670477215,0.2791357044913845,1.1638390006305595,0.36521601375433466,False
__no15m__,4,0.04,15.0,oos_warm,234,0.20318441796350056,0.08710839810461851,0.47545153803459095,0.25864334620289453,0.5755106505250729,0.2963888501708054,False
15m,4,0.04,15.0,full,80,0.08477102443939613,0.08684167053875433,0.06781681955151608,0.041480470932012015,0.06760212590089743,0.0449964814531556,False
15m,4,0.04,15.0,is,67,0.08580467258895821,0.09306170379249822,0.05748913063460126,0.04062324492073244,0.057130929832617916,0.04391479979105095,False
15m,4,0.04,15.0,oos_warm,13,0.07944376089934527,0.24501491916993318,0.010327688916914601,0.02998583603733085,0.009905297227409404,0.03029913997491218,False
1h,4,0.04,15.0,full,118,0.09666068972855092,0.09534443789564297,0.11405961387968988,0.1473577896281535,0.11381371563077458,0.14689102497757,False
1h,4,0.04,15.0,is,81,0.0577314574136955,0.11935235688938318,0.046762480505093684,0.1473577896281535,0.04307857003026094,0.14689102497757,False
1h,4,0.04,15.0,oos_warm,37,0.1818841442556669,0.1569350457690724,0.06729713337459642,0.050462159533188666,0.06781382307419137,0.04999331264829743,False
2h,4,0.04,15.0,full,121,0.25445704521023554,0.11491961091640313,0.30789302470438495,0.07701187029879486,0.3472828731949016,0.09579790148217426,False
2h,4,0.04,15.0,is,83,0.27581850454803714,0.13738065172544522,0.22892935877487042,0.03763351748237809,0.24897581639854516,0.04507248841861744,False
2h,4,0.04,15.0,oos_warm,38,0.20779912086714222,0.21199011584905536,0.07896366592951432,0.09346008208139145,0.07871013634181323,0.09579790148217404,False
3h,4,0.04,15.0,full,138,0.17823860328431154,0.10036077244979512,0.24596927253234857,0.11199385087309832,0.2666019673973099,0.1338259250277779,False
3h,4,0.04,15.0,is,95,0.20467929443489555,0.11253020546461795,0.1944453297131501,0.061081654175043854,0.20763237168668103,0.0644839951621996,False
3h,4,0.04,15.0,oos_warm,43,0.11982312283534674,0.20666156075151892,0.05152394281919914,0.1321233825447401,0.048830751057349575,0.13382592502777801,False
4h,4,0.04,15.0,full,143,0.06763068401054703,0.09570922502297739,0.09671187813508264,0.1606538257042951,0.09141974875112435,0.14932463543791852,False
4h,4,0.04,15.0,is,102,-0.002662017509867511,0.10044866460156002,-0.002715257860064879,0.1606538257042951,-0.007845186282505634,0.14932463543791852,False
4h,4,0.04,15.0,oos_warm,41,0.24250520974426124,0.22128207003032396,0.09942713599514774,0.05074926639216293,0.10004984470286038,0.054329558824706914,False
6h,4,0.04,15.0,full,120,0.14234757265253623,0.12415784236679564,0.17081708718304256,0.10128731075879782,0.1733706088407696,0.1081669708586449,False
6h,4,0.04,15.0,is,100,0.047369943380118046,0.12608639562806243,0.047369943380117574,0.10128731075879782,0.04040837602955594,0.1081669708586449,False
6h,4,0.04,15.0,oos_warm,20,0.6172357190146267,0.38841161461773216,0.12344714380292499,0.018539604180176417,0.1277981183875403,0.02064209343856327,False
8h,4,0.04,15.0,full,110,0.1947966096639119,0.2787584238854407,0.21427627063030408,0.1495198954350886,0.18954868107194178,0.1781292418001036,False
8h,4,0.04,15.0,is,86,0.2045075712042947,0.3504065896485267,0.17587651123569414,0.1495198954350886,0.1467049034546335,0.1781292418001036,False
8h,4,0.04,15.0,oos_warm,24,0.1599989974775403,0.24856160610749778,0.038399759394609934,0.04285067308215129,0.037362513658252716,0.04513038872372421,False
12h,4,0.04,15.0,full,63,0.3704140042012591,0.17965877390103283,0.23336082264679314,0.043537603109847,0.25448152565399784,0.04971058157378616,False
12h,4,0.04,15.0,is,47,0.5597263917996801,0.2135658812239214,0.26307140414584973,0.043537603109847,0.2936845462090585,0.04971058157378616,False
12h,4,0.04,15.0,oos_warm,16,-0.1856911343691025,0.2946247211922118,-0.029710581499056032,0.048146513430486815,-0.030303384754760354,0.047259158742189,False
