scope,arm,sizing_mode,multiple,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional
15m,book,risk_pct,5.0,is,BTC,5,1093,0.546203110704483,167.71960334087365,0.42246596100429934,2.0,0.10000000000000002,5.000000000000001,0.0,1003.0,187.0,200.0
15m,book,fixed_notional,1.0,is,BTC,5,1220,0.5475409836065573,0.2716725665845321,0.02139999898134272,4.0,0.0072884901235773635,0.6666666666666665,0.0,0.0,207.0,0.0
15m,book,fixed_notional,2.0,is,BTC,5,1220,0.5475409836065573,0.6127225781852398,0.0423815160059094,4.0,0.014576980247154725,1.3333333333333333,0.0,0.0,207.0,0.0
15m,book,fixed_notional,3.0,is,BTC,5,1220,0.5475409836065573,1.0396498191405634,0.06295195310636388,4.0,0.021865470370732092,2.0,0.0,0.0,207.0,0.0
15m,book,fixed_notional,5.0,is,BTC,5,1220,0.5475409836065573,2.2358760477339765,0.1028886143324571,4.0,0.03644245061788682,3.333333333333333,0.0,0.0,207.0,0.0
15m,isolated,risk_pct,1.0,is,ETH,5,1164,0.5346794637213439,0.32344248850645674,0.06013782762151115,,,,,,,
15m,book,risk_pct,1.0,is,ETH,5,1040,0.5509615384615385,2.2446791594380584,0.09102239564314617,2.0,0.02,1.0000000000000002,0.0,960.0,186.0,209.0
15m,book,risk_pct,2.0,is,ETH,5,1038,0.5510597302504817,8.824974599747192,0.18337482992586893,2.0,0.04,2.0000000000000004,0.0,958.0,188.0,212.0
15m,book,risk_pct,3.0,is,ETH,5,1042,0.5489443378119002,27.665830146683565,0.25163076385252076,2.0,0.06,3.000000000000001,0.0,962.0,184.0,211.0
15m,book,risk_pct,5.0,is,ETH,5,1044,0.5517241379310345,194.77582415417479,0.40262880053138334,2.0,0.1,5.000000000000001,0.0,964.0,186.0,208.0
15m,book,fixed_notional,1.0,is,ETH,5,1164,0.5472508591065293,0.25518969145425147,0.019672248279645664,3.0,0.0072884901235773635,0.5001322988392645,0.0,0.0,215.0,0.0
15m,book,fixed_notional,2.0,is,ETH,5,1164,0.5472508591065293,0.5713680218631895,0.039030249817877304,3.0,0.014576980247154725,1.0005301435562977,0.0,0.0,215.0,0.0
15m,book,fixed_notional,3.0,is,ETH,5,1164,0.5472508591065293,0.9620401921759166,0.05807761051646132,3.0,0.021865470370732092,1.501194964109003,0.0,0.0,215.0,0.0
15m,book,fixed_notional,5.0,is,ETH,5,1164,0.5472508591065293,2.0350145376107287,0.09525475186037911,3.0,0.03644245061788682,2.50333130407325,0.0,0.0,215.0,0.0
15m,isolated,risk_pct,1.0,is,SOL,5,988,0.5309752350419202,0.18810766074534374,0.06077504231862067,,,,,,,
15m,book,risk_pct,1.0,is,SOL,5,897,0.5406911928651059,1.069700774693653,0.0856715783085618,2.0,0.02,1.0000000000000002,0.0,848.0,157.0,162.0
15m,book,risk_pct,2.0,is,SOL,5,895,0.5407821229050279,3.10186701704098,0.16552737214160004,2.0,0.04,2.0000000000000004,0.0,846.0,156.0,165.0
15m,book,risk_pct,3.0,is,SOL,5,894,0.5380313199105146,6.786292974462772,0.23980583957086188,2.0,0.06,3.000000000000001,0.0,845.0,150.0,165.0
15m,book,risk_pct,5.0,is,SOL,5,893,0.5397536394176932,23.673912046812827,0.37261362657711883,2.0,0.1,5.000000000000002,0.0,844.0,152.0,164.0
15m,book,fixed_notional,1.0,is,SOL,5,988,0.5394736842105263,0.162270834508571,0.015180288857196664,3.0,0.0072884901235773635,0.5002788300777404,0.0,0.0,174.0,0.0
15m,book,fixed_notional,2.0,is,SOL,5,988,0.5394736842105263,0.3484303229490757,0.03024611212747492,3.0,0.014576980247154729,1.0011162540465697,0.0,0.0,174.0,0.0
15m,book,fixed_notional,3.0,is,SOL,5,988,0.5394736842105263,0.561584068301096,0.04519567284571607,3.0,0.021865470370732092,1.5025136760305626,0.0,0.0,174.0,0.0
15m,book,fixed_notional,5.0,is,SOL,5,988,0.5394736842105263,1.0830191403684486,0.07473916734767935,3.0,0.03644245061788682,2.5069941541099223,0.0,0.0,174.0,0.0
15m,isolated,risk_pct,1.0,is,TRX,5,1326,0.5450658367998649,0.369664204806484,0.06226606357995175,,,,,,,
15m,book,risk_pct,1.0,is,TRX,5,1149,0.5543951261966927,2.7616017662802164,0.09376310515016152,2.0,0.015842516718997685,1.0000000000000002,0.0,1066.0,211.0,263.0
15m,book,risk_pct,2.0,is,TRX,5,1153,0.5524718126626192,12.398077430380624,0.1800502943900731,2.0,0.031685033437995364,2.0000000000000004,0.0,1070.0,209.0,261.0
15m,book,risk_pct,3.0,is,TRX,5,1161,0.5555555555555556,44.17022423015455,0.2613761865539067,2.0,0.04752755015699305,3.000000000000001,0.0,1078.0,212.0,250.0
15m,book,risk_pct,5.0,is,TRX,5,1157,0.5531547104580813,403.68378419974505,0.40900191764945865,2.0,0.07921258359498842,5.000000000000002,0.0,1074.0,210.0,247.0
15m,book,fixed_notional,1.0,is,TRX,5,1326,0.55052790346908,0.302113393238943,0.020069767938943633,4.0,0.006008706829231566,0.6666666666666666,0.0,0.0,241.0,0.0
15m,book,fixed_notional,2.0,is,TRX,5,1326,0.55052790346908,0.6904890952464408,0.03979333171348418,4.0,0.012017413658463132,1.3333333333333333,0.0,0.0,241.0,0.0
15m,book,fixed_notional,3.0,is,TRX,5,1326,0.55052790346908,1.188226796971226,0.059175468234861535,4.0,0.0180261204876947,2.0,0.0,0.0,241.0,0.0
