symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,retap_mode,position_mode,portfolio_leverage,combine_obs,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,level
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784072700000,35104,263,0.4600760456273764,-0.05738427538314609,0.13994660164667228,-4.535553748097638,0.941657917349997,0.15019011406844107,0.806881243063263,901,727,1.0,L2u
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1689292800000,1752479100000,70208,629,0.49761526232114467,0.13251053077229336,0.1717349876829306,5.083516044806074,1.0537087985774498,0.24403815580286167,1.0,817,817,1.0,L0
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,892,0.4730941704035874,-0.13740578611754117,0.35595675124680903,-2.7695105238186435,0.9559983793727955,0.1827354260089686,1.0,1863,1863,1.0,L0r
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,729,0.48148148148148145,-0.038120201291550256,0.2548930956859026,-0.3212009455677563,0.9861648429572911,0.2037037037037037,0.5845410628019324,1863,1089,1.0,L1
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,541,0.48428835489833644,0.05116429936051282,0.19494407314866702,2.784823340335342,1.0242344936327943,0.21072088724584104,0.4738015607580825,1794,850,1.0,L2
ETH/USDT:USDT,15m,is,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1689292800000,1752479100000,70208,653,0.4793261868300153,-0.03258072592161243,0.2829992927952583,-0.2795002459979519,0.9864340042792336,0.19831546707503828,0.7887402452619844,1794,1415,1.0,L2u
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,once,single,,False,baseline,0,1752480000000,1784072700000,35104,359,0.4986072423398329,0.19168994788563867,0.15755090005339184,10.985230051281816,1.1176156075030885,0.24651810584958217,1.0,444,444,1.0,L0
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784072700000,35104,515,0.49902912621359224,0.28150223391100426,0.16181550994979307,10.87563332037297,1.114472547892518,0.24757281553398058,1.0,1124,1124,1.0,L0r
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784072700000,35104,430,0.4813953488372093,0.08035706459841713,0.1648842260190393,4.528587717990392,1.0402572848833507,0.20348837209302326,0.5685053380782918,1124,639,1.0,L1
ETH/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,every_tap,single,,False,baseline,0,1752480000000,1784072700000,35104,304,0.5328947368421053,0.31946669433512725,0.0886784335570553,19.78235146024794,1.2296881678891547,0.33223684210526316,0.44495412844036697,1090,485,1.0,L2
