symbol,timeframe,segment,direction,n_obs,retrace_rate,disp_median,retrace_rate_lo_disp,retrace_rate_hi_disp,disp_retrace_delta,median_bars_to_retrace,bars_to_retrace_lo_disp,bars_to_retrace_hi_disp,bars_to_retrace_delta,n_never,never_frac_broke,never_mfe_r_median,never_mae_r_median,never_frac_reach_tp,never_gross_r_mean,never_net_r_mean
TRX/USDT:USDT,4h,full,long,216,0.8425925925925926,0.3339123958572745,0.8703703703703703,0.8148148148148148,-0.05555555555555558,25.0,26.0,23.0,-3.0,34,0.0,48.94791459742848,0.3553641874338477,0.9411764705882353,1.4244848890713102,1.367572053787826
TRX/USDT:USDT,4h,full,short,159,0.9874213836477987,0.3675461129219186,1.0,0.9746835443037974,-0.025316455696202556,28.0,26.0,38.0,12.0,2,0.0,1.6435200177371159,0.14413525105199254,1.0,1.5,1.469423957116283
TRX/USDT:USDT,4h,is,long,136,0.8970588235294118,0.2945285247531393,0.8823529411764706,0.9117647058823529,0.02941176470588236,22.5,20.0,32.0,12.0,14,0.0,126.51620289219991,0.3026614010989019,1.0,1.5,1.4424358315465342
TRX/USDT:USDT,4h,is,short,110,1.0,0.4010626236631014,1.0,1.0,0.0,26.0,22.0,37.0,15.0,0,,,,,,
TRX/USDT:USDT,4h,oos_warm,long,80,0.75,0.40772754363583796,0.825,0.675,-0.1499999999999999,27.5,42.5,21.0,-21.5,20,0.0,11.98506185044972,0.38733090888606336,0.9,1.3716243114212272,1.3151674093567298
TRX/USDT:USDT,4h,oos_warm,short,49,0.9591836734693877,0.32371107546262595,1.0,0.9166666666666666,-0.08333333333333337,45.0,45.0,39.0,-6.0,2,0.0,1.6435200177371159,0.14413525105199254,1.0,1.5,1.469423957116283
DOGE/USDT:USDT,4h,full,long,175,0.9542857142857143,0.3901058309164413,0.9886363636363636,0.9195402298850575,-0.06909613375130619,21.0,22.0,21.0,-1.0,8,0.0,1800.3443610716133,0.15739222118088086,1.0,1.5,1.4800539570585707
DOGE/USDT:USDT,4h,full,short,184,0.9130434782608695,0.3856593277271254,0.9456521739130435,0.8804347826086957,-0.06521739130434778,24.5,22.5,27.0,4.5,16,0.0,4.53758217265327,0.22827595644439264,0.9375,1.4927677854233457,1.4737413809628208
DOGE/USDT:USDT,4h,is,long,116,0.9310344827586207,0.391552224724675,0.9827586206896551,0.8793103448275862,-0.10344827586206895,27.0,23.0,33.0,10.0,8,0.0,1800.3443610716133,0.15739222118088086,1.0,1.5,1.4800539570585707
DOGE/USDT:USDT,4h,is,short,120,0.9833333333333333,0.4265540227183562,1.0,0.9666666666666667,-0.033333333333333326,28.5,28.0,31.0,3.0,2,0.0,3.036584165480687,0.542396522926406,0.5,1.4421422833867654,1.4359908997688673
