symbol,timeframe,side,entry_time,exit_time,window_start,window_end
BTC/USDT:USDT,15m,long,1773008400000,1773009420000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1773419160000,1773419400000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1774359600000,1774360320000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1774633440000,1774641540000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1776621060000,1776631440000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1776800520000,1776802140000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1777569420000,1777576260000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1778509620000,1778509860000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1779116580000,1779119700000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1780428780000,1780429380000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1780527780000,1780530480000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1780920840000,1780921860000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1781015400000,1781016420000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1781755860000,1781767320000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1781794320000,1781795820000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1782163380000,1782167220000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1782308760000,1782310620000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1782437340000,1782439860000,1689292800000,1784073600000
BTC/USDT:USDT,15m,long,1783388160000,1783391400000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1690030260000,1690067820000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1694167560000,1694169780000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1694789220000,1694796720000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1695237540000,1695240120000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1695288720000,1695291480000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1695390840000,1695583620000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1696363560000,1696364040000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1696991640000,1696995840000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1698686160000,1698686940000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1698739560000,1698740160000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1699547760000,1699547760000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1700578260000,1700578980000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1704080580000,1704101880000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1705077360000,1705096980000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1706750460000,1706797080000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1708369680000,1708389720000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1709914260000,1709916420000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1710111360000,1710112080000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1712650140000,1712652900000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1712752740000,1712758140000,1689292800000,1784073600000
