axis,timeframe,segment,bucket,lo,hi,n,share,stop_rate,mean_net_r,net_r_se,mean_stop_width
B_접근변동성,15m,is,Q5,1.653426332281275,18.261561144528223,3025,0.2,0.583801652892562,-0.0765763119389004,0.02338427024119784,0.009986554494509926
B_접근변동성,15m,oos_warm,Q1,0.20993948143066032,0.7519439518480184,1320,0.19607843137254902,0.5863636363636363,-0.10498064539839062,0.03559227683115474,0.007477367194888675
B_접근변동성,15m,oos_warm,Q2,0.7519439518480184,0.9638400090981836,1258,0.18686868686868688,0.534181240063593,0.032925358021539515,0.03685035982418123,0.007502985876029809
B_접근변동성,15m,oos_warm,Q3,0.9638400090981836,1.2220501798078494,1225,0.18196672608437314,0.5804081632653061,-0.08870572885492957,0.03693439920985192,0.007399533073122854
B_접근변동성,15m,oos_warm,Q4,1.2220501798078494,1.653426332281275,1361,0.20216874628639334,0.5723732549595886,-0.06790947437646482,0.03522055831902486,0.007588857979185506
B_접근변동성,15m,oos_warm,Q5,1.653426332281275,18.261561144528223,1568,0.23291740938799763,0.5911989795918368,-0.11429315042145623,0.03254692704596529,0.007872457182876115
B_접근변동성,1h,is,Q1,0.267962289030898,0.7381313742828616,864,0.2,0.5798611111111112,-0.026284491540694153,0.043094935051929545,0.0168893518142536
B_접근변동성,1h,is,Q2,0.7381313742828616,0.9455673414811644,864,0.2,0.5613425925925926,0.023464912891861086,0.04334806682114916,0.017211617842272944
B_접근변동성,1h,is,Q3,0.9455673414811644,1.1910551692655627,864,0.2,0.5856481481481481,-0.03420813807235068,0.04289291093029579,0.01750158029068473
B_접근변동성,1h,is,Q4,1.1910551692655627,1.6182070259290364,864,0.2,0.5983796296296297,-0.0659113955372476,0.042742892167394256,0.01897752462851754
B_접근변동성,1h,is,Q5,1.6182070259290364,6.716929285687625,864,0.2,0.5729166666666666,-0.0010318439370625811,0.043124386377491275,0.018583875518942538
B_접근변동성,1h,oos_warm,Q1,0.267962289030898,0.7381313742828616,364,0.18705035971223022,0.5824175824175825,-0.048496557830960116,0.06680925503826804,0.012969304377080661
B_접근변동성,1h,oos_warm,Q2,0.7381313742828616,0.9455673414811644,342,0.17574511819116137,0.5672514619883041,-0.006409975932321828,0.0692426815070011,0.01324423004550621
B_접근변동성,1h,oos_warm,Q3,0.9455673414811644,1.1910551692655627,390,0.20041109969167523,0.5820512820512821,-0.043296970312517384,0.06455282969918462,0.014060692545120641
B_접근변동성,1h,oos_warm,Q4,1.1910551692655627,1.6182070259290364,393,0.20195272353545735,0.5725190839694656,-0.02278332390943644,0.06460296244850518,0.013281975226423649
B_접근변동성,1h,oos_warm,Q5,1.6182070259290364,6.716929285687625,457,0.23484069886947584,0.6214442013129103,-0.1380181378073036,0.05846426650748069,0.015098363335203804
B_접근변동성,2h,is,Q1,0.1996546926159299,0.7503896591637361,437,0.2,0.631578947368421,-0.1362433337786325,0.05889936399793272,0.025707160155152477
B_접근변동성,2h,is,Q2,0.7503896591637361,0.9418967628750966,437,0.2,0.5537757437070938,0.06200863521273582,0.0605520144512653,0.024338114197854106
