symbol,timeframe,entry_ms,entry_utc,day,ordinal,chain_size,is_reentry,engine_entry,engine_take_profit,stop_price,net_r,tick_count,ohlc_match,solo_verdict,solo_outcome_ok,chain_verdict,chain_outcome_ok,fill_offset_s
DOT/USDT:USDT,1h,1758520920000,2025-09-22 06:02,2025-09-22,1,1,False,3.8217642,3.885910500000001,3.779,1.4003630347837812,2946,True,인공물,False,인공물,False,30.205
DOT/USDT:USDT,2h,1758520920000,2025-09-22 06:02,2025-09-22,1,1,False,3.8217642,3.885910500000001,3.779,1.4003630347837814,2946,True,인공물,False,인공물,False,30.205
DOT/USDT:USDT,4h,1758520920000,2025-09-22 06:02,2025-09-22,1,1,False,3.8217642,3.885910500000001,3.779,1.4003630347837812,2946,True,인공물,False,인공물,False,30.205
DOT/USDT:USDT,15m,1758823020000,2025-09-25 17:57,2025-09-25,1,4,False,3.7817562,3.802390500000001,3.768,1.1963011433462916,408,True,인공물,False,인공물,False,56.274
DOT/USDT:USDT,15m,1758823020000,2025-09-25 17:57,2025-09-25,2,4,True,3.7817562,3.8023904999999996,3.768,1.1963011433462911,408,True,인공물,False,인공물,False,
DOT/USDT:USDT,15m,1758823020000,2025-09-25 17:57,2025-09-25,3,4,True,3.7817562,3.8023904999999996,3.768,1.1963011433462918,408,True,인공물,False,인공물,False,
DOT/USDT:USDT,15m,1758823020000,2025-09-25 17:57,2025-09-25,4,4,True,3.7817562,3.8023904999999996,3.768,1.1963011433462916,408,True,인공물,False,인공물,False,
DOT/USDT:USDT,15m,1759686480000,2025-10-05 17:48,2025-10-05,1,1,False,4.1598318,4.2000795,4.133,1.3281442954218443,806,True,인공물,False,인공물,False,44.882
DOT/USDT:USDT,15m,1759849620000,2025-10-07 15:07,2025-10-07,1,1,False,4.1628324,4.189581,4.145,1.2419107095062651,937,True,인공물,False,인공물,False,43.662
DOT/USDT:USDT,15m,1760130840000,2025-10-10 21:14,2025-10-10,1,2,False,3.3086616,3.3336539999999997,3.292,1.2802519452393664,4605,True,순서역전-성립,True,순서역전-성립,True,38.544
DOT/USDT:USDT,15m,1760130840000,2025-10-10 21:14,2025-10-10,2,2,True,3.3086616,3.333654000000001,3.292,1.2802519452393664,4605,True,순서역전-성립,True,미체결,False,
DOT/USDT:USDT,15m,1761443760000,2025-10-26 01:56,2025-10-26,1,1,False,3.0666132,3.084033,3.055,1.2082341186408925,118,True,인공물,False,인공물,False,59.041
DOT/USDT:USDT,15m,1765117500000,2025-12-07 14:25,2025-12-07,1,1,False,2.0414082,2.0585205,2.03,1.3018496883031747,798,True,인공물,False,인공물,False,22.304
DOT/USDT:USDT,15m,1772803800000,2026-03-06 13:30,2026-03-06,1,1,False,1.4922984,1.5077459999999998,1.482,1.3392828467723277,504,True,인공물,False,인공물,False,5.469
DOT/USDT:USDT,15m,1775563560000,2026-04-07 12:06,2026-04-07,1,1,False,1.2242448,1.2321119999999997,1.219,1.241934232458823,194,True,인공물,False,인공물,False,55.779
DOT/USDT:USDT,15m,1778853060000,2026-05-15 13:51,2026-05-15,1,4,False,1.2932586,1.3011464999999998,1.288,1.228174164093108,483,True,인공물,False,인공물,False,27.587
DOT/USDT:USDT,15m,1778853060000,2026-05-15 13:51,2026-05-15,2,4,True,1.2932586,1.3011464999999998,1.288,1.228174164093108,483,True,인공물,False,인공물,False,
DOT/USDT:USDT,15m,1778853060000,2026-05-15 13:51,2026-05-15,3,4,True,1.2932586,1.3011464999999998,1.288,1.228174164093108,483,True,인공물,False,인공물,False,
DOT/USDT:USDT,15m,1778853060000,2026-05-15 13:51,2026-05-15,4,4,True,1.2932586,1.3011464999999998,1.288,1.228174164093108,483,True,인공물,False,인공물,False,
DOT/USDT:USDT,15m,1779522600000,2026-05-23 07:50,2026-05-23,1,1,True,1.2062412,1.221603,1.196,1.3691123482209089,707,True,인공물,False,인공물,False,43.586
DOT/USDT:USDT,1h,1779522600000,2026-05-23 07:50,2026-05-23,1,2,False,1.2032406,1.2186015,1.193,1.3694270111419369,707,True,인공물,False,인공물,False,50.489
DOT/USDT:USDT,1h,1779522600000,2026-05-23 07:50,2026-05-23,2,2,True,1.2032406,1.2186015,1.193,1.3694270111419369,707,True,인공물,False,인공물,False,
DOT/USDT:USDT,15m,1780236840000,2026-05-31 14:14,2026-05-31,1,1,False,1.1742347999999998,1.1820869999999994,1.169,1.2519506298999217,207,True,인공물,False,인공물,False,56.403
DOT/USDT:USDT,15m,1783339380000,2026-07-06 12:03,2026-07-06,1,1,False,0.8491698,0.8554245,0.845,1.274678659623992,266,True,인공물,False,인공물,False,27.21
DOT/USDT:USDT,15m,1783474560000,2026-07-08 01:36,2026-07-08,1,4,False,0.8391677999999999,0.8439194999999998,0.836,1.2073071765578824,246,True,인공물,False,인공물,False,54.429
DOT/USDT:USDT,15m,1783474560000,2026-07-08 01:36,2026-07-08,2,4,False,0.8391677999999999,0.8469194999999998,0.834,1.32006042685477,246,True,인공물,False,인공물,False,
DOT/USDT:USDT,15m,1783474560000,2026-07-08 01:36,2026-07-08,3,4,True,0.8391677999999999,0.8469194999999998,0.834,1.3200604268547698,246,True,인공물,False,인공물,False,
