symbol,timeframe,segment,direction,entry_point,stop_variant,runway_atr,real_total_return,real_num_trades,real_mean_net_r,real_max_drawdown,real_win_rate,pool_size,fake_zones,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,retap_total_return,retap_num_trades,runway_density_corr,buy_hold
ETH/USDT:USDT,4h,is,both,A_close,ob,,-0.1567564313976614,157,-0.1218663012327202,0.2849739685417829,0.3885350318471338,1459,1984,-0.0306914088748245,-0.212739362837732,0.1917237332258977,0.92,200,,,,6.128286238337011
ETH/USDT:USDT,4h,is,both,A_close,atr,,0.020039816172129,176,0.0187272083971004,0.1828493486709982,0.4318181818181818,0,1984,,,,,0,,,,6.128286238337011
ETH/USDT:USDT,4h,is,both,B_open,ob,,-0.1517738709505438,161,-0.1149911402977622,0.2649521102536454,0.391304347826087,1459,1984,-0.0402226386869881,-0.2340435728643108,0.1890938251605746,0.855,200,,,,6.128286238337011
ETH/USDT:USDT,4h,is,both,B_open,atr,,0.0225792817219957,178,0.019998923852793,0.1804976499496799,0.4325842696629213,0,1984,,,,,0,,,,6.128286238337011
ETH/USDT:USDT,4h,oos_warm,long,A_close,ob,,-0.0045048745356689,40,-0.0367600177853761,0.052409276233447,0.425,360,2928,0.0074040481323214,-0.1032718840716254,0.1148316229038575,0.585,200,,,,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,long,A_close,atr,,0.0308819267262946,41,0.0816906667159056,0.0586266789295474,0.4634146341463415,0,2928,,,,,0,,,,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,long,B_open,ob,,0.0068856554562296,39,-0.008631966918621,0.0524095610880047,0.4358974358974359,357,2928,0.0205065656840166,-0.0990703750276015,0.150320797930381,0.575,200,,,,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,long,B_open,atr,,0.071711814268174,42,0.172535831401122,0.058231949829096,0.5,0,2928,,,,,0,,,,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,short,A_close,ob,,-0.0747722553700998,38,-0.2208460730817161,0.1042145356583754,0.3421052631578947,440,2928,-0.03535266189795,-0.1335335202689859,0.0661347007533868,0.755,200,,,,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,short,A_close,atr,,0.1321438978667443,54,0.2376534760997909,0.0575141648795128,0.5185185185185185,0,2928,,,,,0,,,,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,short,B_open,ob,,-0.0573690818252103,41,-0.1585422674779875,0.0873596199244692,0.3658536585365853,440,2928,-0.0387630923600965,-0.1450758592987696,0.0553049775988114,0.61,200,,,,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,short,B_open,atr,,0.148271793187032,55,0.2592371669169542,0.0576241492842502,0.5272727272727272,0,2928,,,,,0,,,,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,both,A_close,ob,,-0.06906585373012,77,-0.1143097344007601,0.0893766971738685,0.3896103896103896,800,2928,-0.0319977563631086,-0.1533625060863545,0.1192219694095185,0.67,200,,,,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,both,A_close,atr,,0.1793399851326883,94,0.1831904870496142,0.0616748937028905,0.5,0,2928,,,,,0,,,,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,both,B_open,ob,,-0.0508784501002686,80,-0.0854609959552964,0.0894379817944476,0.4,797,2928,-0.0175128040808056,-0.1751214243313223,0.1188278569168052,0.68,200,,,,-0.2867911916521223
ETH/USDT:USDT,4h,oos_warm,both,B_open,atr,,0.2435154365631411,96,0.2348109316275623,0.0616985227380289,0.5208333333333334,0,2928,,,,,0,,,,-0.2867911916521223
SOL/USDT:USDT,2h,is,long,A_close,ob,,-0.1967493575550463,174,-0.1518315860706419,0.199592801396455,0.3793103448275862,1582,3776,-0.1158996238947721,-0.2933909891400824,0.0839351707354837,0.78,200,,,,48.82705411433984
