symbol,timeframe,segment,arm,fill,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
BNB/USDT:USDT,15m,is,short_only,baseline,-0.018713537991961494,183,0,183,846,-0.05153052416378043,-0.14088262182793643,0.039259829983264535,0.26,200,0,1.7524629103228069
BNB/USDT:USDT,15m,is,both,baseline,0.018938123771289245,365,182,183,1500,-0.09732299699684546,-0.2192074244502369,0.038117568510519596,0.045,200,0,1.7524629103228069
BNB/USDT:USDT,15m,oos,long_only,baseline,0.03711505471000728,94,94,0,364,-0.028954471777650245,-0.0961343154013466,0.028901439715381092,0.025,200,0,-0.17551263169819864
BNB/USDT:USDT,15m,oos,short_only,baseline,-0.03254203574612238,63,0,63,384,-0.005490011225580644,-0.05764775313564387,0.05650329703300831,0.84,200,0,-0.17551263169819864
BNB/USDT:USDT,15m,oos,both,baseline,0.00336521952679268,157,94,63,748,-0.03044812577929415,-0.11359563684122895,0.038519455801934784,0.22,200,0,-0.17551263169819864
XRP/USDT:USDT,15m,is,long_only,baseline,0.5088283337718064,277,277,0,711,0.13097273890518865,-0.049225704972061066,0.29934117520216624,0.0,200,0,2.605949768349183
XRP/USDT:USDT,15m,is,short_only,baseline,0.3548725671374761,277,0,277,833,0.0744252082015465,-0.043260782502768415,0.22885857823095065,0.0,200,0,2.605949768349183
XRP/USDT:USDT,15m,is,both,baseline,1.0442701179471656,554,277,277,1544,0.24642001455599652,0.014570672393381938,0.5112531445093779,0.0,200,0,2.605949768349183
XRP/USDT:USDT,15m,oos,long_only,baseline,0.17512161533245435,147,147,0,414,-0.018314540887920342,-0.12497700771256968,0.09596957022033457,0.0,200,0,-0.6218819125404118
XRP/USDT:USDT,15m,oos,short_only,baseline,0.040849606739446605,137,0,137,414,-0.006677585032371422,-0.10235596471484186,0.09004277203879937,0.18,200,0,-0.6218819125404118
XRP/USDT:USDT,15m,oos,both,baseline,0.22312487118980642,284,147,137,828,-0.01251098195954778,-0.1371537393067536,0.11771347907147192,0.0,200,0,-0.6218819125404118
TRX/USDT:USDT,15m,is,long_only,baseline,0.007522512504275073,87,87,0,598,-0.005038978830556183,-0.05369927587451984,0.05417462147527785,0.33,200,0,2.727719729563614
TRX/USDT:USDT,15m,is,short_only,baseline,-0.04521526690978189,44,0,44,684,-0.007690619531644594,-0.038176724174805894,0.024615032225338836,0.99,200,0,2.727719729563614
TRX/USDT:USDT,15m,is,both,baseline,-0.038032886816219434,131,87,44,1282,-0.012384739457381883,-0.06635538414091625,0.04884065753030954,0.77,200,0,2.727719729563614
TRX/USDT:USDT,15m,oos,long_only,baseline,-0.014290732800009573,16,16,0,316,-0.0013792177576589695,-0.0148344012986272,0.010366486249970877,0.965,200,0,0.07622414590629756
TRX/USDT:USDT,15m,oos,short_only,baseline,0.00870034985546663,11,0,11,326,-0.0001379954600009757,-0.00975262790490633,0.00915589973183778,0.04,200,0,0.07622414590629756
TRX/USDT:USDT,15m,oos,both,baseline,-0.005714717319594092,27,16,11,642,-0.002034678773882267,-0.023615370561551573,0.014043745327056057,0.72,200,0,0.07622414590629756
