segment,axis,bucket,metric,conditional,num_bars,p25,p50,p75,p90,p99,share_above_5bp,percentile_of_5bp
full,symbol,LTC/USDT:USDT,bar_range_bp,False,3074948,6.362334976936399,10.786516853932993,18.177311410394022,29.432604785524635,69.94907907549339,0.8349874534463673,0.1650125465536328
full,symbol,SOL/USDT:USDT,bar_range_bp,True,2420,42.36699755694622,73.69503777010021,149.32013780125956,376.99136568162515,1080.3046318128831,1.0,0.0
full,symbol,SOL/USDT:USDT,adverse_bp,True,2420,7.570789036098226,20.878509833474652,52.64187587919919,124.46624875079536,451.34781796675594,0.8235537190082645,0.17644628099173554
full,symbol,SOL/USDT:USDT,bar_range_bp,False,3074948,8.806693086745739,14.270424545130757,23.358609868287708,37.42265931595074,92.85051067780871,0.9220855116899538,0.07791448831004621
full,symbol,TRX/USDT:USDT,bar_range_bp,True,1859,24.659800012534873,48.45967462789885,113.04452433658275,294.7790983196861,1858.195048362765,0.9870898332436794,0.012910166756320602
full,symbol,TRX/USDT:USDT,adverse_bp,True,1859,3.9473881716608847,12.893982808023889,35.61006326573433,101.58332980998266,316.0456466186998,0.71382463690156,0.28617536309844
full,symbol,TRX/USDT:USDT,bar_range_bp,False,3074948,2.6930586413508713,5.648121999434305,11.229646266142941,20.995171110644744,59.71577584836121,0.5381694259545202,0.4618305740454798
full,symbol,XRP/USDT:USDT,bar_range_bp,True,2641,47.147571900046145,100.08340283569581,320.3558510996784,639.1478029294285,2493.500491074009,1.0,0.0
full,symbol,XRP/USDT:USDT,adverse_bp,True,2641,9.4637223974767,27.924750146972556,91.02730819245782,253.02175664786537,920.742187066222,0.8371828852707308,0.1628171147292692
full,symbol,XRP/USDT:USDT,bar_range_bp,False,3074948,6.482982171798314,10.887316276536634,18.584893136863887,31.88775510204085,88.221244365068,0.8513272419566119,0.14867275804338806
full,timeframe,15m,bar_range_bp,True,20275,36.3505344442968,66.0832291480617,142.82116090250753,372.1990640548831,1553.3256092531856,0.9984710234278669,0.001528976572133169
full,timeframe,15m,adverse_bp,True,20275,6.279260898876123,18.17881341926974,47.984143692336275,125.71441429512932,602.5170424750922,0.786387176325524,0.21361282367447595
full,timeframe,1h,bar_range_bp,True,5370,47.991444153454076,95.36176276717845,238.81547828042503,551.7513538946118,2267.767920872846,0.9992551210428305,0.0007448789571694599
full,timeframe,1h,adverse_bp,True,5370,9.287028446426275,26.448466702087238,77.37475697649296,198.77712794238482,825.7415967329357,0.8446927374301676,0.1553072625698324
