symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,level
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,4,1689292800000,1752476400000,17552,61,0.4098360655737705,-0.05032755640616233,0.09640027294172777,-6.964609498760906,0.8444703766732291,0.02459016393442623,0.22189349112426035,338,75,1.0,L2
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,baseline,0,1689292800000,1752476400000,17552,136,0.47794117647058826,0.02580618652687044,0.11193827467554716,2.1569042841401687,1.037869037573654,0.1948529411764706,0.5177514792899408,338,175,1.0,L2p
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1752476400000,17552,131,0.46564885496183206,-0.005775697323490749,0.10628596203569401,0.09642422667835485,0.9912344095159048,0.16412213740458015,0.4881656804733728,338,165,1.0,L2p
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1752476400000,17552,82,0.4634146341463415,-0.03517620684445082,0.12414330756533705,-3.4826570979006086,0.913775175077495,0.15853658536585366,0.27514792899408286,338,93,1.0,L2p
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,1,1689292800000,1752476400000,17552,70,0.4714285714285714,0.007866889779950544,0.06289698801221709,1.47216734178724,1.0222669391773154,0.17857142857142858,0.24260355029585798,338,82,1.0,L2p
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,2,1689292800000,1752476400000,17552,74,0.5,0.031509394725979654,0.0843705565560845,4.147041017081825,1.0839898807432673,0.25,0.257396449704142,338,87,1.0,L2p
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,3,1689292800000,1752476400000,17552,79,0.4050632911392405,-0.10154494765571744,0.13468977666739412,-11.660869203625014,0.7630605822474413,0.012658227848101266,0.2603550295857988,338,88,1.0,L2p
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,4,1689292800000,1752476400000,17552,66,0.4696969696969697,0.017627727429421248,0.0742614108328998,2.795057104985275,1.0541663314395704,0.17424242424242425,0.22781065088757396,338,77,1.0,L2p
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,baseline,0,1689292800000,1752476400000,17552,139,0.460431654676259,-0.010911710990818392,0.1174536355970476,-0.22257313655146876,0.9841864210064534,0.1510791366906475,0.48753462603878117,361,176,1.0,L2i
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1752476400000,17552,133,0.44360902255639095,-0.04644367626849526,0.12830500309067455,-2.7190555118396222,0.9302230147485314,0.10902255639097744,0.4626038781163435,361,167,1.0,L2i
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1752476400000,17552,79,0.4177215189873418,-0.08408786468030394,0.11375612890214544,-9.673903218478378,0.7980392511020771,0.04430379746835443,0.26038781163434904,361,94,1.0,L2i
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,1,1689292800000,1752476400000,17552,78,0.47435897435897434,0.030739174055945295,0.0777642106935442,3.9145315843516397,1.0796608482023797,0.1858974358974359,0.2299168975069252,361,83,1.0,L2i
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,2,1689292800000,1752476400000,17552,75,0.37333333333333335,-0.11150573222620387,0.1504587092661157,-13.781231575343318,0.7215552001296573,-0.06666666666666667,0.24653739612188366,361,89,1.0,L2i
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,3,1689292800000,1752476400000,17552,77,0.4805194805194805,0.0036937896258936237,0.08291038596853821,0.9108979361250789,1.0096190713794544,0.2012987012987013,0.24653739612188366,361,89,1.0,L2i
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,4,1689292800000,1752476400000,17552,67,0.417910447761194,-0.08973909480777456,0.11807834621212959,-12.275736488746482,0.7509799601956026,0.04477611940298507,0.21606648199445982,361,78,1.0,L2i
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,baseline,0,1752480000000,1784070000000,8776,111,0.4774774774774775,0.04852378243501098,0.10343280488607245,4.283985569246954,1.0874590875979577,0.19369369369369369,0.5873015873015873,252,148,1.0,L1
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,pen_5bp,0,1752480000000,1784070000000,8776,106,0.46226415094339623,0.021048818078802104,0.12843552993205484,2.2236108077966876,1.038491008827974,0.15566037735849056,0.5674603174603174,252,143,1.0,L1
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1752480000000,1784070000000,8776,62,0.4838709677419355,0.029726735851773264,0.11605261455126412,4.752802857344999,1.0971451485293842,0.20967741935483872,0.3253968253968254,252,82,1.0,L1
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,1,1752480000000,1784070000000,8776,55,0.43636363636363634,-0.0005865720326670271,0.08287654700624204,0.4234180937191116,0.9980792415139709,0.09090909090909091,0.2777777777777778,252,70,1.0,L1
BTC/USDT:USDT,1h,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,2,1752480000000,1784070000000,8776,69,0.4782608695652174,0.07213277427505618,0.1033752920054937,8.967662378190703,1.2021299573910693,0.1956521739130435,0.3055555555555556,252,77,1.0,L1
