arm,segment,scope,timeframe,n,tp_on_tp,tp_on_tp_broke_share,tp_on_stop,tp_on_stop_broke_share,tp_on_stop_break_r_p25,tp_on_stop_break_r_median,tp_on_stop_break_r_p75,tp_on_stop_minutes_to_exit_median,tp_on_stop_bars_to_exit_median,no_tp_broke_share,no_tp_break_r_median,no_tp_break_mfe_r_median,closed,stop_cut,stop_saved_gross_mean,stop_saved_net_mean,tp_cut,tp_lost_gross_mean,tp_lost_net_mean,delta_gross_r,delta_net_r,bad_days_stop,bad_days_stop_broke_share
band,oos_warm,all,2h,2344,924,0.06277056277056277,1409,0.14123491838183108,-0.7563469142579742,-0.5156567947159069,-0.21760167797100316,170.0,1.4166666666666667,0.22696245733788395,-0.1913779557892614,1.6036794582251903,2333,199,0.5568183224279348,0.5563171859377497,58,1.6608916059124372,1.705673635214249,0.006204514796501356,0.00504845656201704,255,0.047058823529411764
band,oos_warm,all,4h,1191,473,0.07399577167019028,712,0.12780898876404495,-0.7031593792189207,-0.5212174656386491,-0.2061541557497503,350.0,1.4583333333333333,0.21914357682619648,-0.0264515277930435,1.7136966931331057,1185,91,0.5994715539017387,0.5989320295032265,35,1.454260446882959,1.4924971984678288,0.003082528071016585,0.0019117407075270937,175,0.022857142857142857
zone_top,full,first,all,41966,17114,0.09308168750730396,24847,0.18412685636092888,-0.7297961196898599,-0.5328528323628241,-0.24972346190414305,34.0,,0.26321307725301435,-0.1823200402716449,1.2030420822021513,41961,4575,0.5496696645365552,0.5491749618384706,1593,1.4726257631750208,1.5537880766413183,0.004023876326039223,0.0008887072357994982,877,0.06727480045610035
zone_top,full,first,15m,28345,11577,0.08888313034464887,16766,0.1792317785995467,-0.7338930915495282,-0.5422764878874955,-0.2571010414092623,20.0,1.3333333333333333,0.25598871053095784,-0.19782737111962095,1.2195582322770395,28343,3005,0.5430752225617794,0.5425864548614746,1029,1.4710901998994952,1.569795832651537,0.004169961828372672,0.0005346076653953214,422,0.06872037914691943
zone_top,full,first,1h,7778,3164,0.10176991150442478,4614,0.19137407889033375,-0.7160211938285097,-0.5057838973411211,-0.22456999905460429,77.0,1.2833333333333334,0.27680637696065824,-0.1545908550345314,1.1595255292675417,7778,883,0.5578775004824472,0.5573754107320128,322,1.4649581301041956,1.5233606262026675,0.002685692341533804,0.00021089817936594983,212,0.0660377358490566
zone_top,full,first,2h,3884,1571,0.0910248249522597,2311,0.19299004759844224,-0.7284678073278622,-0.49278049341168817,-0.22832025385745097,146.0,1.2166666666666666,0.2760041194644696,-0.16648022167835053,1.204630395341332,3882,446,0.574153942912207,0.5736372043635855,143,1.5065340903475928,1.5480658135396064,0.010468388361447341,0.008879129781039514,151,0.06622516556291391
zone_top,full,first,4h,1959,802,0.12344139650872818,1156,0.20847750865051903,-0.7169311334279298,-0.5380197278062192,-0.2527856332370595,347.0,1.4458333333333333,0.2884124553343543,-0.1704643762458735,1.100407255725755,1958,241,0.5565111202976956,0.5560102602894275,99,1.4645467901815192,1.4946359729067147,-0.00555206957927772,-0.007135080994899248,92,0.06521739130434782
zone_top,full,first_fill,all,42531,17364,0.09295093296475467,25162,0.18341149352197758,-0.7289989945066492,-0.5315189143074055,-0.24722049329076934,34.0,,0.2627965483999906,-0.1813151806861595,1.2065435047633724,42526,4615,0.5504666100585335,0.5499711901094787,1614,1.470067017628045,1.5514918768585955,0.003943828221992839,0.0007997261229711551,894,0.06599552572706935
zone_top,full,first_fill,15m,28714,11741,0.08883400051102973,16971,0.17871663425844087,-0.7333113886704674,-0.5407048448862338,-0.2567003157253738,20.0,1.3333333333333333,0.2558682175942049,-0.196830932621364,1.2238370271997163,28712,3033,0.5436228385064854,0.54313357795183,1043,1.4673172845713627,1.5662578693132778,0.00412357694978542,0.00047775091369991644,429,0.0675990675990676
zone_top,full,first_fill,1h,7891,3219,0.10096303199751476,4672,0.19006849315068494,-0.7157687367700357,-0.5062294024330637,-0.22508322537413636,77.0,1.2833333333333334,0.275883918388037,-0.1501880154353885,1.1769533208433716,7891,888,0.5577976773749048,0.5572956594652673,325,1.4619470629235516,1.5205987953912106,0.002558806495851118,8.667305829601041e-05,216,0.06481481481481481
zone_top,full,first_fill,2h,3936,1594,0.09222082810539524,2340,0.19145299145299147,-0.7283968672769929,-0.4916220763842631,-0.22787604571548714,146.0,1.2166666666666666,0.27515243902439024,-0.1658075315662839,1.2027172859192918,3934,448,0.5758497148146872,0.575331450071353,147,1.511247013371483,1.5533153859599775,0.009107107593129599,0.007476138255172715,154,0.06493506493506493
zone_top,full,first_fill,4h,1990,810,0.12222222222222222,1179,0.20865139949109415,-0.7155370440507101,-0.5272797660701765,-0.24690838513339303,350.0,1.4583333333333333,0.2864321608040201,-0.16834617947132563,1.091662065818826,1989,246,0.5621557987156995,0.5616498584968552,99,1.4645467901815192,1.4946359729067147,-0.0033684292327341952,-0.0049286556699539305,95,0.06315789473684211
zone_top,full,all,all,100208,38816,0.0820795548227535,61344,0.15840179968701096,-0.7506148531418374,-0.5564712855478214,-0.2666416928432349,36.0,,0.238034887434137,-0.1991861946642116,1.2558125820523145,100160,9717,0.5291398530700531,0.5286636272022878,3186,1.4902780287153599,1.5686581574516318,0.003929973570233326,0.0013905708454845349,1751,0.0719588806396345
zone_top,full,all,15m,68338,26459,0.0788767527117427,41873,0.15172067919661836,-0.7502311690244142,-0.5663652037563097,-0.2783210861748679,21.0,1.4,0.23042816588135445,-0.2046069587224913,1.301263767905657,68332,6353,0.5239333575090552,0.5234618174872951,2087,1.4827953186995777,1.5773899439543444,0.003423795441799001,0.0004908405061182124,852,0.08098591549295775
zone_top,full,all,1h,18308,7069,0.08728250106097044,11228,0.17135732098325615,-0.7572324394104087,-0.5461701037684445,-0.2453235468592993,76.0,1.2666666666666666,0.2534411186366616,-0.16783741747890404,1.172163077066155,18297,1924,0.532562863838123,0.5320835572606688,617,1.4837971326923636,1.5414458274949736,0.005965356023028929,0.003970961830088437,441,0.07029478458049887
zone_top,full,all,2h,9022,3522,0.08432708688245315,5478,0.17396860167944506,-0.7537785197360601,-0.5077564937894182,-0.2582719044305371,162.0,1.35,0.2557082686765684,-0.2221919245884912,1.188826643963426,9000,953,0.5465654121276353,0.54607350325672,297,1.5999771720808678,1.6388723490860075,0.005075957516624309,0.0037403289916788807,273,0.05860805860805861
