symbol,timeframe,segment,arm,definition,num_trades,win_rate,total_return,max_drawdown,fill_rate,eligible_setups,mean_r,sharpe,n_from_15m,n_from_5m,n_from_1m
BNB/USDT:USDT,1h,is,B,proximal_in,145,0.4827586206896552,0.1506815646041592,0.0975079506148426,0.7945945945945946,370,0.2068965517241379,8.839655090248481,115,23,7
BNB/USDT:USDT,1h,is,C,proximal_in,110,0.6181818181818182,0.3134143814993778,0.0447720853280644,0.6435045317220544,331,0.5454545454545454,27.92315156449186,94,16,0
BNB/USDT:USDT,1h,is,B,touch,145,0.4827586206896552,0.1506815646041592,0.0975079506148426,0.793010752688172,372,0.2068965517241379,8.839655090248481,128,15,2
BNB/USDT:USDT,1h,is,C,touch,121,0.5371900826446281,0.1495307871805596,0.0494622487258534,0.7016393442622951,305,0.3429752066115702,13.02905582247761,109,12,0
BNB/USDT:USDT,1h,oos,A,none,96,0.46875,-0.0105604996988588,0.1436022348066176,0.8370786516853933,178,0.171875,-0.4473022810003558,0,0,0
BNB/USDT:USDT,1h,oos,B,contained,96,0.46875,-0.0105604996988588,0.1436022348066176,0.8418079096045198,177,0.171875,-0.4473022810003558,80,12,4
BNB/USDT:USDT,1h,oos,C,contained,43,0.5581395348837209,0.0758636829086844,0.0251023147409121,0.6521739130434783,161,0.3953488372093023,18.52876539297411,40,3,0
BNB/USDT:USDT,1h,oos,B,proximal_in,96,0.46875,-0.0105604996988588,0.1436022348066176,0.8418079096045198,177,0.171875,-0.4473022810003558,83,13,0
BNB/USDT:USDT,1h,oos,C,proximal_in,47,0.5531914893617021,0.0676662717408509,0.0295942446910797,0.6296296296296297,162,0.3829787234042553,15.091620742351571,45,2,0
BNB/USDT:USDT,1h,oos,B,touch,96,0.46875,-0.0105604996988588,0.1436022348066176,0.8418079096045198,177,0.171875,-0.4473022810003558,84,12,0
BNB/USDT:USDT,1h,oos,C,touch,47,0.5106382978723404,0.0512500866969472,0.0300622190731257,0.6689655172413793,145,0.2765957446808511,11.261458358392677,45,2,0
XRP/USDT:USDT,1h,full,A,none,268,0.5074626865671642,0.4832965527074491,0.1110070123915464,0.7751371115173674,547,0.2686567164179104,12.703085090878536,0,0,0
XRP/USDT:USDT,1h,full,B,contained,266,0.5075187969924813,0.4784013630642952,0.1110070123915466,0.7743119266055046,545,0.268796992481203,12.699528011583212,206,42,18
XRP/USDT:USDT,1h,full,C,contained,182,0.5384615384615384,0.2604858052800599,0.1038148809065452,0.6354166666666666,480,0.3461538461538461,13.546841462721265,166,14,2
XRP/USDT:USDT,1h,full,B,proximal_in,266,0.5075187969924813,0.4784013630642952,0.1110070123915466,0.7743119266055046,545,0.268796992481203,12.699528011583212,218,40,8
XRP/USDT:USDT,1h,full,C,proximal_in,186,0.532258064516129,0.2486070612769375,0.1129481379235295,0.6268041237113402,485,0.3306451612903225,12.479792453733513,170,14,2
XRP/USDT:USDT,1h,full,B,touch,266,0.5075187969924813,0.4784013630642952,0.1110070123915466,0.7743119266055046,545,0.268796992481203,12.699528011583212,238,24,4
